,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,961663820.0,57440160.0,-432074160.0,-336584160.0
Tax Rate For Calcs,0.2243,0.2712,0.2979,0.2673
Normalized EBITDA,74315400000.0,68028700000.0,51147200000.0,47141200000.0
Total Unusual Items,4287400000.0,211800000.0,373800000.0,-1259200000.0
Total Unusual Items Excluding Goodwill,4287400000.0,211800000.0,-1450400000.0,-1259200000.0
Net Income From Continuing Operation Net Minority Interest,52725200000.0,41215500000.0,28019100000.0,25167500000.0
Reconciled Depreciation,9954500000.0,10510200000.0,10191900000.0,9900800000.0
Reconciled Cost Of Revenue,97627400000.0,95923800000.0,89606300000.0,92297200000.0
EBITDA,78602800000.0,68240500000.0,51521000000.0,45882000000.0
EBIT,68648300000.0,57730300000.0,41329100000.0,35981200000.0
Net Interest Income,2023900000.0,1297100000.0,527000000.0,-267300000.0
Interest Expense,440200000.0,711300000.0,945600000.0,1048500000.0
Interest Income,2644000000.0,2195900000.0,1622400000.0,796200000.0
Normalized Income,49399463820.0,41061140160.0,30861625840.0,26090115840.0
Net Income From Continuing And Discontinued Operation,52725200000.0,41215500000.0,28019100000.0,25167500000.0
Total Expenses,210011800000.0,200779700000.0,184553100000.0,180529300000.0
Rent Expense Supplemental,1118400000.0,926500000.0,868600000.0,781800000.0
Diluted Average Shares,808194958.0,807998981.0,807627733.0,807440947.0
Basic Average Shares,807552253.0,807291686.0,807007965.0,806668279.0
Diluted EPS,65.24,51.01,34.69,31.17
Basic EPS,65.29,51.05,34.72,31.2
Diluted NI Availto Com Stockholders,52725200000.0,41215500000.0,28019100000.0,25167500000.0
Net Income Common Stockholders,52725200000.0,41215500000.0,28019100000.0,25167500000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,52725200000.0,41215500000.0,28019100000.0,25167500000.0
Minority Interests,33200000.0,-321700000.0,-309800000.0,-299000000.0
Net Income Including Noncontrolling Interests,52692000000.0,41537200000.0,28328900000.0,25466500000.0
Net Income Continuous Operations,52692000000.0,41537200000.0,28328900000.0,25466500000.0
Tax Provision,15297600000.0,15465900000.0,12028600000.0,9338000000.0
Pretax Income,68208100000.0,57019000000.0,40383500000.0,34932700000.0
Other Non Operating Income Expenses,545900000.0,814200000.0,477500000.0,538600000.0
Special Income Charges,199200000.0,-2700000000.0,-2881100000.0,-2051600000.0
Other Special Charges,-1314200000.0,-342300000.0,-214600000.0,1432900000.0
Impairment Of Capital Assets,1115000000.0,3042300000.0,1271500000.0,618700000.0
Net Non Operating Interest Income Expense,2023900000.0,1297100000.0,527000000.0,-267300000.0
Total Other Finance Cost,179900000.0,187500000.0,149800000.0,15000000.0
Interest Expense Non Operating,440200000.0,711300000.0,945600000.0,1048500000.0
Interest Income Non Operating,2644000000.0,2195900000.0,1622400000.0,796200000.0
Operating Income,61442200000.0,53686600000.0,40178700000.0,35704300000.0
Operating Expense,112384400000.0,104855900000.0,94946800000.0,88232100000.0
Other Operating Expenses,23511500000.0,22406400000.0,18190200000.0,16064000000.0
Depreciation And Amortization In Income Statement,9954500000.0,9416100000.0,10191900000.0,9900800000.0
Amortization,2664500000.0,2378700000.0,3141700000.0,3065200000.0
Depreciation Income Statement,7290000000.0,7037400000.0,7050200000.0,6835600000.0
Research And Development,3761600000.0,4304600000.0,3853900000.0,2656800000.0
Selling General And Administration,29550200000.0,27839600000.0,26224400000.0,24819700000.0
Selling And Marketing Expense,18348600000.0,17249700000.0,16943000000.0,16700000000.0
General And Administrative Expense,11201600000.0,10589900000.0,9281400000.0,8119700000.0
Rent And Landing Fees,1118400000.0,926500000.0,868600000.0,781800000.0
Gross Profit,173826600000.0,158542500000.0,135125500000.0,123936400000.0
Cost Of Revenue,97627400000.0,95923800000.0,89606300000.0,92297200000.0
Total Revenue,271454000000.0,254466300000.0,224731800000.0,216233600000.0
Operating Revenue,271454000000.0,254466300000.0,224731800000.0,216233600000.0
