,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,70065384.617541,69649482.45023,29365661.152325,20707682.253048,
Tax Rate For Calcs,0.258811,0.2526,0.253918,0.250335,
Normalized EBITDA,3991300000.0,3457780000.0,4203550000.0,3215890000.0,
Total Unusual Items,270720000.0,275730000.0,115650000.0,82720000.0,
Total Unusual Items Excluding Goodwill,270720000.0,275730000.0,115650000.0,82720000.0,
Net Income From Continuing Operation Net Minority Interest,2644050000.0,2440260000.0,2951760000.0,2284950000.0,
Reconciled Depreciation,690550000.0,459260000.0,360900000.0,249180000.0,
Reconciled Cost Of Revenue,3540340000.0,2801370000.0,3275890000.0,2258930000.0,
EBITDA,4262020000.0,3733510000.0,4319200000.0,3298610000.0,
EBIT,3571470000.0,3274250000.0,3958300000.0,3049430000.0,
Net Interest Income,31760000.0,15480000.0,54760000.0,56460000.0,
Interest Expense,4160000.0,9250000.0,1950000.0,1470000.0,
Interest Income,40180000.0,28210000.0,60340000.0,60900000.0,
Normalized Income,2443395384.617541,2234179482.45023,2865475661.152325,2222937682.253048,
Net Income From Continuing And Discontinued Operation,2644050000.0,2440260000.0,2951760000.0,2284950000.0,
Total Expenses,6306930000.0,4932750000.0,5600250000.0,4022680000.0,
Rent Expense Supplemental,0.0,670000.0,2260000.0,1770000.0,
Diluted Average Shares,106274676.0,106269171.0,106260748.0,106251390.0,
Basic Average Shares,106261253.0,106245818.0,106231006.0,106218960.0,
Diluted EPS,24.88,22.96,27.78,21.51,
Basic EPS,24.88,22.97,27.79,21.51,
Diluted NI Availto Com Stockholders,2644050000.0,2440260000.0,2951760000.0,2284950000.0,
Net Income Common Stockholders,2644050000.0,2440260000.0,2951760000.0,2284950000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,2644050000.0,2440260000.0,2951760000.0,2284950000.0,
Minority Interests,,0.0,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,2644050000.0,2440260000.0,2951760000.0,2284950000.0,
Net Income Continuous Operations,2644050000.0,2440260000.0,2951760000.0,2284950000.0,
Tax Provision,923260000.0,824740000.0,1004590000.0,763010000.0,
Pretax Income,3567310000.0,3265000000.0,3956350000.0,3047960000.0,
Other Non Operating Income Expenses,2910000.0,2750000.0,68910000.0,15410000.0,
Special Income Charges,-210000.0,34550000.0,-820000.0,0.0,
Other Special Charges,210000.0,-34550000.0,820000.0,,3120000.0
Net Non Operating Interest Income Expense,31760000.0,15480000.0,54760000.0,56460000.0,
Total Other Finance Cost,4260000.0,3480000.0,3630000.0,2970000.0,
Interest Expense Non Operating,4160000.0,9250000.0,1950000.0,1470000.0,
Interest Income Non Operating,40180000.0,28210000.0,60340000.0,60900000.0,
Operating Income,3190070000.0,2864870000.0,3664490000.0,2752670000.0,
Operating Expense,2766590000.0,2131380000.0,2324360000.0,1763750000.0,
Other Operating Expenses,1235660000.0,949440000.0,1183800000.0,949400000.0,
Depreciation And Amortization In Income Statement,690550000.0,459260000.0,360900000.0,249180000.0,
Amortization,5560000.0,2130000.0,1360000.0,960000.0,
Depreciation Income Statement,684990000.0,457130000.0,359540000.0,248220000.0,
Research And Development,7430000.0,8560000.0,,,
Selling General And Administration,228850000.0,178870000.0,264450000.0,180400000.0,
Selling And Marketing Expense,161580000.0,115440000.0,205070000.0,129450000.0,
General And Administrative Expense,67270000.0,63430000.0,59380000.0,50950000.0,
Rent And Landing Fees,0.0,670000.0,2260000.0,1770000.0,
Gross Profit,5956660000.0,4996250000.0,5988850000.0,4516420000.0,
Cost Of Revenue,3540340000.0,2801370000.0,3275890000.0,2258930000.0,
Total Revenue,9497000000.0,7797620000.0,9264740000.0,6775350000.0,
Operating Revenue,9497000000.0,7797620000.0,9264740000.0,6775350000.0,
