,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,301259520.0,826377200.0,346382820.0,-30533878.155239,
Tax Rate For Calcs,0.2484,0.2344,0.2669,0.264134,
Normalized EBITDA,566641000000.0,559394700000.0,505576600000.0,285980000000.0,
Total Unusual Items,1212800000.0,3525500000.0,1297800000.0,-115600000.0,
Total Unusual Items Excluding Goodwill,1212800000.0,3525500000.0,1297800000.0,-115600000.0,
Net Income From Continuing Operation Net Minority Interest,353581600000.0,374022900000.0,317632300000.0,173581000000.0,
Reconciled Depreciation,91607200000.0,67444900000.0,68667500000.0,44286700000.0,
Reconciled Cost Of Revenue,210412900000.0,196702600000.0,229505400000.0,189226900000.0,
EBITDA,567853800000.0,562920200000.0,506874400000.0,285864400000.0,
EBIT,476246600000.0,495475300000.0,438206900000.0,241577700000.0,
Net Interest Income,44712800000.0,37651000000.0,23954500000.0,-5414900000.0,
Interest Expense,6584700000.0,7349200000.0,5460900000.0,5414900000.0,
Interest Income,53549300000.0,45744400000.0,30690900000.0,16334900000.0,
Normalized Income,352670059520.0,371323777200.0,316680882820.0,173666066121.84476,
Net Income From Continuing And Discontinued Operation,353581600000.0,374022900000.0,317632300000.0,173581000000.0,
Total Expenses,848295400000.0,857331800000.0,897526900000.0,765052000000.0,
Rent Expense Supplemental,,6356400000.0,177592500000.0,141186800000.0,116709600000.0
Diluted Average Shares,6162728327.0,6162728327.0,6162728327.0,6161909833.0,
Basic Average Shares,6162728327.0,6162728327.0,6162728327.0,6161909833.0,
Diluted EPS,57.37,60.69,51.54,28.17,
Basic EPS,57.37,60.69,51.54,28.17,
Diluted NI Availto Com Stockholders,353581600000.0,374022900000.0,317632300000.0,173581000000.0,
Net Income Common Stockholders,353581600000.0,374022900000.0,317632300000.0,173581000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,353581600000.0,374022900000.0,317632300000.0,173581000000.0,
Minority Interests,560600000.0,331600000.0,402500000.0,-203200000.0,
Net Income Including Noncontrolling Interests,353021000000.0,373691300000.0,317229800000.0,173784200000.0,
Net Income Discontinuous Operations,,,,,0.0
Net Income Continuous Operations,353021000000.0,373691300000.0,317229800000.0,173784200000.0,
Tax Provision,116640900000.0,114434800000.0,115516200000.0,62378600000.0,
Pretax Income,469661900000.0,488126100000.0,432746000000.0,236162800000.0,
Other Non Operating Income Expenses,24790700000.0,29221200000.0,30857200000.0,1205500000.0,
Special Income Charges,-1875200000.0,-627900000.0,-1644700000.0,-115600000.0,
Other Special Charges,5300000.0,-188500000.0,-281300000.0,154800000.0,
Write Off,1869900000.0,816400000.0,1926000000.0,115600000.0,
Net Non Operating Interest Income Expense,44712800000.0,37651000000.0,23954500000.0,-5414900000.0,
Total Other Finance Cost,2251800000.0,744200000.0,1275500000.0,311800000.0,
Interest Expense Non Operating,6584700000.0,7349200000.0,5460900000.0,5414900000.0,
Interest Income Non Operating,53549300000.0,45744400000.0,30690900000.0,16334900000.0,
Operating Income,394393300000.0,413412300000.0,376763400000.0,240573700000.0,
Operating Expense,637882500000.0,660629200000.0,668021500000.0,575825100000.0,
Other Operating Expenses,362108700000.0,350041100000.0,136180700000.0,262621500000.0,
Research And Development,2208900000.0,86700000.0,1316600000.0,318200000.0,
Selling General And Administration,7466800000.0,5812200000.0,3282400000.0,2494500000.0,
Selling And Marketing Expense,1130300000.0,1019500000.0,683600000.0,552100000.0,
General And Administrative Expense,6336500000.0,4792700000.0,2598800000.0,1942400000.0,
Rent And Landing Fees,6845000000.0,6356400000.0,177592500000.0,141186800000.0,
Gross Profit,1032275800000.0,1074041500000.0,1044784900000.0,816398800000.0,
Cost Of Revenue,210412900000.0,196702600000.0,229505400000.0,189226900000.0,
Total Revenue,1242688700000.0,1270744100000.0,1274290300000.0,1005625700000.0,
Operating Revenue,1242688700000.0,1270744100000.0,1274290300000.0,1005625700000.0,
