,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-239209749.420199,-25785597.107058,163540881.644549,144313356.469335,
Tax Rate For Calcs,0.264707,0.268606,0.271792,0.263702,
Normalized EBITDA,13644313000.0,12107387000.0,4780659000.0,8279938000.0,
Total Unusual Items,-903679000.0,-95998000.0,601713000.0,547259000.0,
Total Unusual Items Excluding Goodwill,-903679000.0,-95998000.0,601713000.0,547259000.0,
Net Income From Continuing Operation Net Minority Interest,8273305000.0,7832778000.0,3047091000.0,5639614000.0,
Reconciled Depreciation,1048713000.0,803479000.0,688421000.0,696641000.0,
Reconciled Cost Of Revenue,35559648000.0,27738130000.0,19694333000.0,24101311000.0,
EBITDA,12740634000.0,12011389000.0,5382372000.0,8827197000.0,
EBIT,11691921000.0,11207910000.0,4693951000.0,8130556000.0,
Net Interest Income,1426071000.0,1943225000.0,803654000.0,190623000.0,
Interest Expense,440216000.0,498534000.0,509581000.0,471137000.0,
Interest Income,1978117000.0,2405471000.0,1236583000.0,722231000.0,
Normalized Income,8937774250.579802,7902990402.892942,2608918881.644549,5236668356.469335,
Net Income From Continuing And Discontinued Operation,8273305000.0,7832778000.0,3047091000.0,5639614000.0,
Total Expenses,36117641000.0,29085498000.0,20512721000.0,24708716000.0,
Rent Expense Supplemental,133548000.0,129454000.0,59955000.0,60376000.0,
Diluted Average Shares,263062162.0,263109775.0,263133938.0,263103056.0,
Basic Average Shares,263062162.0,263109775.0,263133938.0,263103056.0,
Diluted EPS,31.45,29.77,11.58,21.435,
Basic EPS,31.45,29.77,11.58,21.435,
Diluted NI Availto Com Stockholders,8273305000.0,7832778000.0,3047091000.0,5639614000.0,
Net Income Common Stockholders,8273305000.0,7832778000.0,3047091000.0,5639614000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,8273305000.0,7832778000.0,3047091000.0,5639614000.0,
Minority Interests,0.0,0.0,0.0,0.0,
Net Income Including Noncontrolling Interests,8273305000.0,7832778000.0,3047091000.0,5639614000.0,
Net Income Continuous Operations,8273305000.0,7832778000.0,3047091000.0,5639614000.0,
Tax Provision,2978400000.0,2876598000.0,1137279000.0,2019805000.0,
Pretax Income,11251705000.0,10709376000.0,4184370000.0,7659419000.0,
Other Non Operating Income Expenses,304862000.0,236310000.0,114526000.0,339418000.0,
Special Income Charges,-878833000.0,-23509000.0,601713000.0,529418000.0,
Other Special Charges,-1825000.0,-1238000.0,-615046000.0,-609898000.0,
Write Off,861455000.0,9698000.0,0.0,18581000.0,
Impairment Of Capital Assets,19203000.0,15049000.0,13333000.0,61899000.0,
Net Non Operating Interest Income Expense,1426071000.0,1943225000.0,803654000.0,190623000.0,
Total Other Finance Cost,111830000.0,-36288000.0,-76652000.0,60471000.0,
Interest Expense Non Operating,440216000.0,498534000.0,509581000.0,471137000.0,
Interest Income Non Operating,1978117000.0,2405471000.0,1236583000.0,722231000.0,
Operating Income,10276561000.0,8424571000.0,2675325000.0,6564757000.0,
Operating Expense,557993000.0,1347368000.0,818388000.0,607405000.0,
Other Operating Expenses,1611613000.0,1551762000.0,832778000.0,919610000.0,
Depreciation And Amortization In Income Statement,,,,680193000.0,579677000.0
Amortization,,,,33407000.0,29959000.0
Depreciation Income Statement,,,,646786000.0,549718000.0
Research And Development,204317000.0,62618000.0,86416000.0,0.0,
Selling General And Administration,173775000.0,202457000.0,131950000.0,118526000.0,
Selling And Marketing Expense,63449000.0,108187000.0,42434000.0,31560000.0,
General And Administrative Expense,110326000.0,94270000.0,89516000.0,86966000.0,
Rent And Landing Fees,133548000.0,129454000.0,59955000.0,60376000.0,
Gross Profit,10834554000.0,9771939000.0,3493713000.0,7172162000.0,
Cost Of Revenue,35559648000.0,27738130000.0,19694333000.0,24101311000.0,
Total Revenue,46394202000.0,37510069000.0,23188046000.0,31273473000.0,
Operating Revenue,46394202000.0,37510069000.0,23188046000.0,31273473000.0,
