,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,85581000.0,0.0,-115227000.0,1530000.0,
Tax Rate For Calcs,0.257,0.206,0.217,0.17,
Normalized EBITDA,18604000000.0,15089000000.0,13396000000.0,11487000000.0,
Total Unusual Items,333000000.0,0.0,-531000000.0,9000000.0,
Total Unusual Items Excluding Goodwill,333000000.0,0.0,-531000000.0,9000000.0,
Net Income From Continuing Operation Net Minority Interest,8395000000.0,8213000000.0,6938000000.0,6617000000.0,
Reconciled Depreciation,4683000000.0,3186000000.0,2585000000.0,2272000000.0,
Reconciled Cost Of Revenue,76944000000.0,57800000000.0,50810000000.0,40544000000.0,
EBITDA,18937000000.0,15089000000.0,12865000000.0,11496000000.0,
EBIT,14254000000.0,11903000000.0,10280000000.0,9224000000.0,
Net Interest Income,-437000000.0,-1027000000.0,-649000000.0,-540000000.0,
Interest Expense,1293000000.0,1205000000.0,768000000.0,609000000.0,
Interest Income,910000000.0,228000000.0,157000000.0,110000000.0,
Normalized Income,8147581000.0,8213000000.0,7353773000.0,6609530000.0,
Net Income From Continuing And Discontinued Operation,8121000000.0,8080000000.0,6938000000.0,6617000000.0,
Total Expenses,107720000000.0,78461000000.0,69790000000.0,55403000000.0,
Rent Expense Supplemental,124000000.0,182000000.0,233000000.0,261000000.0,
Diluted Average Shares,332747030.0,311751590.0,311033475.0,310595770.0,
Basic Average Shares,330099240.0,307078140.0,304907055.0,303473800.0,
Diluted EPS,24.406,25.918,22.306,21.304,
Basic EPS,24.602,26.312,22.754,21.804,
Diluted NI Availto Com Stockholders,8121000000.0,8080000000.0,6938000000.0,6617000000.0,
Net Income Common Stockholders,8121000000.0,8080000000.0,6938000000.0,6617000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,8121000000.0,8080000000.0,6938000000.0,6617000000.0,
Minority Interests,-1240000000.0,-276000000.0,-513000000.0,-530000000.0,
Net Income Including Noncontrolling Interests,9361000000.0,8356000000.0,7451000000.0,7147000000.0,
Net Income Discontinuous Operations,-274000000.0,-133000000.0,,,
Net Income Continuous Operations,9635000000.0,8489000000.0,7451000000.0,7147000000.0,
Tax Provision,3326000000.0,2209000000.0,2061000000.0,1468000000.0,
Pretax Income,12961000000.0,10698000000.0,9512000000.0,8615000000.0,
Other Non Operating Income Expenses,333000000.0,34000000.0,77000000.0,66000000.0,
Special Income Charges,212000000.0,0.0,-536000000.0,6000000.0,
Other Special Charges,-212000000.0,,536000000.0,-6000000.0,196000000.0
Net Non Operating Interest Income Expense,-437000000.0,-1027000000.0,-649000000.0,-540000000.0,
Total Other Finance Cost,54000000.0,50000000.0,38000000.0,41000000.0,
Interest Expense Non Operating,1293000000.0,1205000000.0,768000000.0,609000000.0,
Interest Income Non Operating,910000000.0,228000000.0,157000000.0,110000000.0,
Operating Income,12787000000.0,11628000000.0,10356000000.0,8917000000.0,
Operating Expense,30776000000.0,20661000000.0,18980000000.0,14859000000.0,
Other Operating Expenses,3541000000.0,2452000000.0,2172000000.0,1809000000.0,
Depreciation And Amortization In Income Statement,4276000000.0,2972000000.0,2585000000.0,2272000000.0,
Amortization,2115000000.0,1608000000.0,1271000000.0,1049000000.0,
Depreciation Income Statement,2161000000.0,1364000000.0,1314000000.0,1223000000.0,
Selling General And Administration,17802000000.0,11222000000.0,10823000000.0,8181000000.0,
Selling And Marketing Expense,610000000.0,459000000.0,257000000.0,191000000.0,
General And Administrative Expense,,10763000000.0,10566000000.0,7990000000.0,4968000000.0
Rent And Landing Fees,124000000.0,182000000.0,233000000.0,261000000.0,
Gross Profit,43563000000.0,32289000000.0,29336000000.0,23776000000.0,
Cost Of Revenue,76944000000.0,57800000000.0,50810000000.0,40544000000.0,
Total Revenue,120507000000.0,90089000000.0,80146000000.0,64320000000.0,
Operating Revenue,120507000000.0,90089000000.0,80146000000.0,64320000000.0,
