,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-58630516.039052,3264189.051506,9548111.330736,784569.971054
Tax Rate For Calcs,0.249279,0.243596,0.249298,0.245178
Normalized EBITDA,23972300000.0,23590000000.0,22020900000.0,19900400000.0
Total Unusual Items,-235200000.0,13400000.0,38300000.0,3200000.0
Total Unusual Items Excluding Goodwill,-235200000.0,13400000.0,38300000.0,3200000.0
Net Income From Continuing Operation Net Minority Interest,12887500000.0,12469500000.0,11739500000.0,10563700000.0
Reconciled Depreciation,5812400000.0,6213100000.0,5757200000.0,5325200000.0
Reconciled Cost Of Revenue,72866700000.0,71048800000.0,66520100000.0,62709200000.0
EBITDA,23737100000.0,23603400000.0,22059200000.0,19903600000.0
EBIT,17924700000.0,17390300000.0,16302000000.0,14578400000.0
Net Interest Income,3281100000.0,2415900000.0,1630600000.0,1248800000.0
Interest Expense,716700000.0,704900000.0,669300000.0,621200000.0
Interest Income,4004400000.0,3126900000.0,2308500000.0,1874700000.0
Normalized Income,13064069483.960949,12459364189.051506,11710748111.330736,10561284569.971054
Net Income From Continuing And Discontinued Operation,12887500000.0,12469500000.0,11739500000.0,10563700000.0
Total Expenses,68624200000.0,66314500000.0,61529000000.0,64466100000.0
Rent Expense Supplemental,76000000.0,41300000.0,37900000.0,37100000.0
Diluted Average Shares,761625000.0,761625000.0,761625000.0,761625000.0
Basic Average Shares,761625000.0,761625000.0,761625000.0,761625000.0
Diluted EPS,16.921057,16.37223,15.408,13.832
Basic EPS,16.921057,16.37223,15.408,13.832
Diluted NI Availto Com Stockholders,12887500000.0,12469500000.0,11739500000.0,10563700000.0
Net Income Common Stockholders,12887500000.0,12469500000.0,11739500000.0,10563700000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,12887500000.0,12469500000.0,11739500000.0,10563700000.0
Minority Interests,-30900000.0,-15000000.0,4000000.0,28500000.0
Net Income Including Noncontrolling Interests,12918400000.0,12484500000.0,11735500000.0,10535200000.0
Net Income Continuous Operations,12918400000.0,12620900000.0,11735500000.0,10535200000.0
Tax Provision,4289600000.0,4064500000.0,3897200000.0,3422000000.0
Pretax Income,16886600000.0,16384900000.0,15632700000.0,13957200000.0
Other Non Operating Income Expenses,360200000.0,558600000.0,795000000.0,564800000.0
Special Income Charges,-235200000.0,13400000.0,38300000.0,3200000.0
Other Special Charges,232700000.0,-13400000.0,-46900000.0,-5800000.0
Write Off,2500000.0,0.0,8600000.0,2600000.0
Net Non Operating Interest Income Expense,3281100000.0,2415900000.0,1630600000.0,1248800000.0
Total Other Finance Cost,6600000.0,6100000.0,8600000.0,4700000.0
Interest Expense Non Operating,716700000.0,704900000.0,669300000.0,621200000.0
Interest Income Non Operating,4004400000.0,3126900000.0,2308500000.0,1874700000.0
Operating Income,13495100000.0,13333000000.0,12959100000.0,11891400000.0
Operating Expense,-4242500000.0,-4734300000.0,-4991100000.0,1756900000.0
Other Operating Expenses,1622300000.0,1423100000.0,1514200000.0,1290200000.0
Depreciation And Amortization In Income Statement,0.0,27000000.0,27100000.0,27000000.0
Depreciation Income Statement,0.0,27000000.0,27100000.0,27000000.0
Research And Development,15200000.0,14900000.0,23400000.0,12000000.0
Selling General And Administration,239000000.0,163600000.0,137300000.0,140100000.0
Selling And Marketing Expense,14900000.0,17200000.0,18800000.0,19100000.0
General And Administrative Expense,224100000.0,146400000.0,118500000.0,121000000.0
Rent And Landing Fees,76000000.0,41300000.0,37900000.0,37100000.0
Gross Profit,9252600000.0,8598700000.0,7968000000.0,13648300000.0
Cost Of Revenue,72866700000.0,71048800000.0,66520100000.0,62709200000.0
Total Revenue,82119300000.0,79647500000.0,74488100000.0,76357500000.0
Operating Revenue,82119300000.0,79647500000.0,74488100000.0,76357500000.0
