,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,1123838049.531631,19174413.854555,32500005.924083,-5264399.560922,
Tax Rate For Calcs,0.246683,0.250319,0.254702,0.254319,
Normalized EBITDA,28141300000.0,25854300000.0,30492000000.0,22923200000.0,
Total Unusual Items,4555800000.0,76600000.0,127600000.0,-20700000.0,
Total Unusual Items Excluding Goodwill,4555800000.0,76600000.0,127600000.0,-20700000.0,
Net Income From Continuing Operation Net Minority Interest,20664600000.0,16421900000.0,20129300000.0,15284600000.0,
Reconciled Depreciation,2903900000.0,2285600000.0,1819500000.0,1726500000.0,
Reconciled Cost Of Revenue,179890300000.0,166336900000.0,236710100000.0,143645900000.0,
EBITDA,32697100000.0,25930900000.0,30619600000.0,22902500000.0,
EBIT,29793200000.0,23645300000.0,28800100000.0,21176000000.0,
Net Interest Income,-258300000.0,51500000.0,-318200000.0,263600000.0,
Interest Expense,2517700000.0,1760800000.0,1791700000.0,678500000.0,
Interest Income,2366000000.0,1917200000.0,1581800000.0,1018300000.0,
Normalized Income,17232638049.53163,16364474413.854555,20034200005.924084,15300035600.439077,
Net Income From Continuing And Discontinued Operation,20664600000.0,16421900000.0,20129300000.0,15284600000.0,
Total Expenses,135078200000.0,115928400000.0,121881000000.0,102090800000.0,
Rent Expense Supplemental,226400000.0,192000000.0,163200000.0,124100000.0,
Diluted Average Shares,294689648.0,294581083.0,294387404.0,294070820.0,
Basic Average Shares,294539422.0,294289087.0,293814998.0,293433933.0,
Diluted EPS,70.12,55.75,68.38,51.98,
Basic EPS,70.23,55.81,68.51,52.09,
Diluted NI Availto Com Stockholders,20664600000.0,16421900000.0,20129300000.0,15284600000.0,
Net Income Common Stockholders,20664600000.0,16421900000.0,20129300000.0,15284600000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,20664600000.0,16421900000.0,20129300000.0,15284600000.0,
Minority Interests,117500000.0,15500000.0,0.0,,0.0
Net Income Including Noncontrolling Interests,20547100000.0,16406400000.0,20129300000.0,15284600000.0,
Net Income Continuous Operations,20547100000.0,16406400000.0,20129300000.0,15284600000.0,
Tax Provision,6728400000.0,5478100000.0,6879100000.0,5212900000.0,
Pretax Income,27275500000.0,21884500000.0,27008400000.0,20497500000.0,
Other Non Operating Income Expenses,70000000.0,4100000.0,100000.0,5400000.0,
Special Income Charges,3461400000.0,-55800000.0,127200000.0,-56000000.0,
Other Special Charges,-3970800000.0,55800000.0,-127200000.0,56000000.0,
Write Off,509400000.0,0.0,,,3500000.0
Net Non Operating Interest Income Expense,-258300000.0,51500000.0,-318200000.0,263600000.0,
Total Other Finance Cost,106600000.0,104900000.0,108300000.0,76200000.0,
Interest Expense Non Operating,2517700000.0,1760800000.0,1791700000.0,678500000.0,
Interest Income Non Operating,2366000000.0,1917200000.0,1581800000.0,1018300000.0,
Operating Income,24288200000.0,22391700000.0,29107400000.0,20834800000.0,
Operating Expense,-44812100000.0,-50408500000.0,-114829100000.0,-41555100000.0,
Other Operating Expenses,11822800000.0,10348400000.0,10143000000.0,8233100000.0,
Depreciation And Amortization In Income Statement,2903900000.0,2285600000.0,1819500000.0,1726500000.0,
Amortization,123200000.0,85700000.0,16200000.0,19900000.0,
Depreciation Income Statement,2780700000.0,2199900000.0,1803300000.0,1706600000.0,
Selling General And Administration,13867100000.0,12034500000.0,11751300000.0,10669700000.0,
Selling And Marketing Expense,13433900000.0,11620900000.0,11384100000.0,10333600000.0,
General And Administrative Expense,433200000.0,413600000.0,367200000.0,336100000.0,
Rent And Landing Fees,226400000.0,192000000.0,163200000.0,124100000.0,
Gross Profit,-20523900000.0,-28016800000.0,-85721700000.0,-20720300000.0,
Cost Of Revenue,179890300000.0,166336900000.0,236710100000.0,143645900000.0,
Total Revenue,159366400000.0,138320100000.0,150988400000.0,122925600000.0,
Operating Revenue,159366400000.0,138320100000.0,150988400000.0,122925600000.0,
