,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-81393280.178009,-5214814.814815,-4448310.268046,2147952.170977
Tax Rate For Calcs,0.255071,0.241427,0.292652,0.352123
Normalized EBITDA,8551800000.0,8916400000.0,6804500000.0,5308100000.0
Total Unusual Items,-319100000.0,-21600000.0,-15200000.0,6100000.0
Total Unusual Items Excluding Goodwill,-319100000.0,-21600000.0,-15200000.0,6100000.0
Net Income From Continuing Operation Net Minority Interest,1945700000.0,3044700000.0,2483900000.0,1630900000.0
Reconciled Depreciation,3474500000.0,2744600000.0,2216100000.0,2059800000.0
Reconciled Cost Of Revenue,41366600000.0,31156600000.0,21395700000.0,14073400000.0
EBITDA,8232700000.0,8894800000.0,6789300000.0,5314200000.0
EBIT,4758200000.0,6150200000.0,4573200000.0,3254400000.0
Net Interest Income,-2035700000.0,-1704100000.0,-989200000.0,-746800000.0
Interest Expense,2061700000.0,1703300000.0,1025300000.0,737100000.0
Interest Income,99900000.0,30000000.0,73300000.0,23300000.0
Normalized Income,2183406719.821991,3061085185.185185,2494651689.731954,1626947952.170977
Net Income From Continuing And Discontinued Operation,1945700000.0,3044700000.0,2483900000.0,1630900000.0
Total Expenses,51526400000.0,38161600000.0,27008400000.0,18647400000.0
Rent Expense Supplemental,78400000.0,26800000.0,17600000.0,14000000.0
Diluted Average Shares,23250353.0,21128311.0,21128311.0,21128311.0
Basic Average Shares,23250353.0,21128311.0,21128311.0,21128311.0
Diluted EPS,83.68,144.11,117.56,77.19
Basic EPS,83.68,144.11,117.56,77.19
Diluted NI Availto Com Stockholders,1945700000.0,3044700000.0,2483900000.0,1630900000.0
Net Income Common Stockholders,1945700000.0,3044700000.0,2483900000.0,1630900000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,1945700000.0,3044700000.0,2483900000.0,1630900000.0
Minority Interests,-63000000.0,-328600000.0,-25700000.0,0.0
Net Income Including Noncontrolling Interests,2008700000.0,3373300000.0,2509600000.0,1630900000.0
Net Income Continuous Operations,2008700000.0,3373300000.0,2509600000.0,1630900000.0
Tax Provision,687800000.0,1073600000.0,1038300000.0,886400000.0
Pretax Income,2696500000.0,4446900000.0,3547900000.0,2517300000.0
Other Non Operating Income Expenses,36600000.0,16200000.0,6300000.0,2900000.0
Special Income Charges,-316300000.0,-21600000.0,-15200000.0,4700000.0
Other Special Charges,254000000.0,-10700000.0,-4100000.0,-14100000.0
Write Off,56000000.0,0.0,7300000.0,0.0
Impairment Of Capital Assets,6300000.0,32300000.0,12000000.0,9400000.0
Net Non Operating Interest Income Expense,-2035700000.0,-1704100000.0,-989200000.0,-746800000.0
Total Other Finance Cost,73900000.0,30800000.0,37200000.0,33000000.0
Interest Expense Non Operating,2061700000.0,1703300000.0,1025300000.0,737100000.0
Interest Income Non Operating,99900000.0,30000000.0,73300000.0,23300000.0
Operating Income,4922200000.0,6043700000.0,4639300000.0,3291100000.0
Operating Expense,10159800000.0,7005000000.0,5612700000.0,4574000000.0
Other Operating Expenses,137600000.0,20500000.0,23600000.0,12000000.0
Depreciation And Amortization In Income Statement,3463900000.0,2744600000.0,2204100000.0,2050500000.0
Amortization,32700000.0,8000000.0,16900000.0,27400000.0
Depreciation Income Statement,3431200000.0,2736600000.0,2187200000.0,2023100000.0
Selling General And Administration,2569400000.0,1637700000.0,1208200000.0,849500000.0
Selling And Marketing Expense,1360500000.0,945900000.0,727500000.0,508900000.0
General And Administrative Expense,1208900000.0,691800000.0,480700000.0,340600000.0
Rent And Landing Fees,78400000.0,26800000.0,17600000.0,14000000.0
Gross Profit,15082000000.0,13048700000.0,10252000000.0,7865100000.0
Cost Of Revenue,41366600000.0,31156600000.0,21395700000.0,14073400000.0
Total Revenue,56448600000.0,44205300000.0,31647700000.0,21938500000.0
Operating Revenue,56448600000.0,44205300000.0,31647700000.0,21938500000.0
