,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-4573156575.958921,-707731515.382791,-512639322.610411,-1345152278.541567,
Tax Rate For Calcs,0.250356,0.25436,0.252718,0.265646,
Normalized EBITDA,27956100000.0,24864200000.0,15168000000.0,12209100000.0,
Total Unusual Items,-18266600000.0,-2782400000.0,-2028500000.0,-5063700000.0,
Total Unusual Items Excluding Goodwill,-18266600000.0,-2782400000.0,-2028500000.0,-5063700000.0,
Net Income From Continuing Operation Net Minority Interest,5314000000.0,14459300000.0,8260600000.0,3530700000.0,
Reconciled Depreciation,622200000.0,511500000.0,498400000.0,472300000.0,
Reconciled Cost Of Revenue,23886700000.0,21016000000.0,15102500000.0,11886200000.0,
EBITDA,9689500000.0,22081800000.0,13139500000.0,7145400000.0,
EBIT,9067300000.0,21570300000.0,12641100000.0,6673100000.0,
Net Interest Income,-966700000.0,-1416800000.0,-1122900000.0,-1561600000.0,
Interest Expense,1978600000.0,2178500000.0,1586900000.0,1865200000.0,
Interest Income,1092000000.0,875600000.0,496600000.0,338000000.0,
Normalized Income,19007443424.04108,16533968484.617208,9776460677.38959,7249247721.458433,
Net Income From Continuing And Discontinued Operation,5314000000.0,14459300000.0,8260600000.0,3530700000.0,
Total Expenses,29108100000.0,25518500000.0,18820900000.0,14110100000.0,
Rent Expense Supplemental,387000000.0,347700000.0,298900000.0,232900000.0,
Diluted Average Shares,159856540.0,159932924.0,159420412.0,159021047.0,
Basic Average Shares,159490009.0,159100775.0,158735423.0,158398951.0,
Diluted EPS,33.24,90.41,51.82,22.2,
Basic EPS,33.32,90.88,52.04,22.29,
Diluted NI Availto Com Stockholders,5314000000.0,14459300000.0,8260600000.0,3530700000.0,
Net Income Common Stockholders,5314000000.0,14459300000.0,8260600000.0,3530700000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,5314000000.0,14459300000.0,8260600000.0,3530700000.0,
Minority Interests,,,,59400000.0,26200000.0
Net Income Including Noncontrolling Interests,5314000000.0,14459300000.0,8260600000.0,3530700000.0,
Net Income Continuous Operations,5314000000.0,14459300000.0,8260600000.0,3530700000.0,
Tax Provision,1774700000.0,4932500000.0,2793600000.0,1277200000.0,
Pretax Income,7088700000.0,19391800000.0,11054200000.0,4807900000.0,
Other Non Operating Income Expenses,38100000.0,59800000.0,56700000.0,73100000.0,
Special Income Charges,-18780900000.0,-3127500000.0,-2241700000.0,-5242200000.0,
Write Off,18780900000.0,3127500000.0,2241700000.0,5242200000.0,
Net Non Operating Interest Income Expense,-966700000.0,-1416800000.0,-1122900000.0,-1561600000.0,
Total Other Finance Cost,80100000.0,113900000.0,32600000.0,34400000.0,
Interest Expense Non Operating,1978600000.0,2178500000.0,1586900000.0,1865200000.0,
Interest Income Non Operating,1092000000.0,875600000.0,496600000.0,338000000.0,
Operating Income,26283800000.0,23531200000.0,14148900000.0,11360300000.0,
Operating Expense,5221400000.0,4502500000.0,3718400000.0,2223900000.0,
Other Operating Expenses,2672100000.0,2324000000.0,1828600000.0,1388100000.0,
Depreciation And Amortization In Income Statement,622200000.0,511500000.0,498400000.0,472300000.0,
Amortization,228600000.0,222400000.0,228700000.0,221400000.0,
Depreciation Income Statement,393600000.0,289100000.0,269700000.0,250900000.0,
Selling General And Administration,592700000.0,486500000.0,461900000.0,322300000.0,
General And Administrative Expense,592700000.0,486500000.0,461900000.0,322300000.0,
Rent And Landing Fees,387000000.0,347700000.0,298900000.0,232900000.0,
Gross Profit,31505200000.0,28033700000.0,17867300000.0,13584200000.0,
Cost Of Revenue,23886700000.0,21016000000.0,15102500000.0,11886200000.0,
Total Revenue,55391900000.0,49049700000.0,32969800000.0,25470400000.0,
Operating Revenue,55391900000.0,49049700000.0,32969800000.0,25470400000.0,
