,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,162765162.390579,98251151.319581,43591349.676724,168020347.972317
Tax Rate For Calcs,0.261638,0.241166,0.239776,0.246798
Normalized EBITDA,9382400000.0,9344000000.0,8339300000.0,6652700000.0
Total Unusual Items,622100000.0,407400000.0,181800000.0,680800000.0
Total Unusual Items Excluding Goodwill,622100000.0,407400000.0,181800000.0,680800000.0
Net Income From Continuing Operation Net Minority Interest,6840700000.0,6584400000.0,5643900000.0,4658100000.0
Reconciled Depreciation,699500000.0,1037800000.0,1033100000.0,1059800000.0
Reconciled Cost Of Revenue,15787500000.0,15609500000.0,13910000000.0,11614500000.0
EBITDA,10004500000.0,9751400000.0,8521100000.0,7333500000.0
EBIT,9305000000.0,8713600000.0,7488000000.0,6273700000.0
Net Interest Income,39500000.0,51600000.0,-28000000.0,-52200000.0
Interest Expense,40300000.0,36600000.0,64000000.0,89300000.0
Interest Income,79800000.0,88200000.0,36000000.0,37100000.0
Normalized Income,6381365162.390579,6275251151.319581,5505691349.676724,4145320347.972317
Net Income From Continuing And Discontinued Operation,6840700000.0,6584400000.0,5643900000.0,4658100000.0
Total Expenses,24184200000.0,23601500000.0,21411500000.0,17821600000.0
Rent Expense Supplemental,402800000.0,72700000.0,84900000.0,139700000.0
Diluted Average Shares,73126051.0,73106836.0,73051258.0,72827971.0
Basic Average Shares,73124217.0,73094435.0,73006144.0,72750531.0
Diluted EPS,93.55,90.07,77.26,63.96
Basic EPS,93.55,90.08,77.31,64.03
Diluted NI Availto Com Stockholders,6840700000.0,6584400000.0,5643900000.0,4658100000.0
Net Income Common Stockholders,6840700000.0,6584400000.0,5643900000.0,4658100000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,6840700000.0,6584400000.0,5643900000.0,4658100000.0
Minority Interests,0.0,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,6840700000.0,6584400000.0,5643900000.0,4658100000.0
Net Income Continuous Operations,6840700000.0,6584400000.0,5643900000.0,4658100000.0
Tax Provision,2424000000.0,2092600000.0,1780100000.0,1526300000.0
Pretax Income,9264700000.0,8677000000.0,7424000000.0,6184400000.0
Other Non Operating Income Expenses,69300000.0,356200000.0,309700000.0,260500000.0
Special Income Charges,4300000.0,46200000.0,17700000.0,545500000.0
Other Special Charges,-4300000.0,-46200000.0,-17700000.0,-545500000.0
Net Non Operating Interest Income Expense,39500000.0,51600000.0,-28000000.0,-52200000.0
Interest Expense Non Operating,40300000.0,36600000.0,64000000.0,89300000.0
Interest Income Non Operating,79800000.0,88200000.0,36000000.0,37100000.0
Operating Income,8413600000.0,7793700000.0,6275700000.0,5185300000.0
Operating Expense,8396700000.0,7992000000.0,7501500000.0,6207100000.0
Other Operating Expenses,3590500000.0,3480600000.0,3274900000.0,2223000000.0
Depreciation And Amortization In Income Statement,699500000.0,1037800000.0,1033100000.0,1059800000.0
Amortization,214000000.0,264000000.0,267600000.0,301100000.0
Depreciation Income Statement,485500000.0,773800000.0,765500000.0,1059800000.0
Selling General And Administration,1810600000.0,1503700000.0,1466300000.0,1506800000.0
Selling And Marketing Expense,159800000.0,75200000.0,80600000.0,84300000.0
General And Administrative Expense,1650800000.0,1428500000.0,1385700000.0,1422500000.0
Rent And Landing Fees,402800000.0,72700000.0,84900000.0,139700000.0
Gross Profit,16810300000.0,15785700000.0,13777200000.0,11392400000.0
Cost Of Revenue,15787500000.0,15609500000.0,13910000000.0,11614500000.0
Total Revenue,32597800000.0,31395200000.0,27687200000.0,23006900000.0
Operating Revenue,32597800000.0,31395200000.0,27687200000.0,23006900000.0
