,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,17685360.0,40229960.0,17433480.0,41379840.0,
Tax Rate For Calcs,0.2541,0.2291,0.2218,0.2304,
Normalized EBITDA,9498700000.0,7629000000.0,8291800000.0,8110600000.0,
Total Unusual Items,69600000.0,175600000.0,78600000.0,179600000.0,
Total Unusual Items Excluding Goodwill,69600000.0,175600000.0,78600000.0,179600000.0,
Net Income From Continuing Operation Net Minority Interest,5559500000.0,4399200000.0,4632100000.0,5783800000.0,
Reconciled Depreciation,1528300000.0,1288200000.0,1159200000.0,422900000.0,
Reconciled Cost Of Revenue,52868000000.0,50153600000.0,46943200000.0,37175800000.0,
EBITDA,9568300000.0,7804600000.0,8370400000.0,8290200000.0,
EBIT,8040000000.0,6516400000.0,7211200000.0,7867300000.0,
Net Interest Income,-163200000.0,-405800000.0,-632600000.0,-67900000.0,
Interest Expense,477900000.0,785700000.0,1089700000.0,351900000.0,
Interest Income,316600000.0,386100000.0,459200000.0,285200000.0,
Normalized Income,5507585360.0,4263829960.0,4570933480.0,5645579840.0,
Net Income From Continuing And Discontinued Operation,5559500000.0,4399200000.0,4632100000.0,5783800000.0,
Total Expenses,70621700000.0,66796400000.0,61701100000.0,46408800000.0,
Rent Expense Supplemental,181900000.0,147600000.0,156300000.0,116100000.0,
Diluted Average Shares,643511955.0,639721335.0,637202634.0,631011051.0,
Basic Average Shares,643511955.0,639721335.0,634986510.0,628228014.0,
Diluted EPS,8.64,6.88,7.27,9.17,
Basic EPS,8.64,6.88,7.29,9.21,
Diluted NI Availto Com Stockholders,5559500000.0,4399200000.0,4632100000.0,5783800000.0,
Net Income Common Stockholders,5559500000.0,4399200000.0,4632100000.0,5783800000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,5559500000.0,4399200000.0,4632100000.0,5783800000.0,
Minority Interests,-81300000.0,-18600000.0,-131900000.0,0.0,
Net Income Including Noncontrolling Interests,5640800000.0,4417800000.0,4764000000.0,5783800000.0,
Net Income Continuous Operations,5640800000.0,4417800000.0,4764000000.0,5783800000.0,
Tax Provision,1921300000.0,1312900000.0,1357500000.0,1731600000.0,
Pretax Income,7562100000.0,5730700000.0,6121500000.0,7515400000.0,
Other Non Operating Income Expenses,10000000.0,20100000.0,51100000.0,71900000.0,
Special Income Charges,-292100000.0,-92100000.0,-78900000.0,-189800000.0,
Other Special Charges,,,,129700000.0,
Write Off,292100000.0,92100000.0,78900000.0,60100000.0,
Restructuring And Mergern Acquisition,,,,129700000.0,0.0
Net Non Operating Interest Income Expense,-163200000.0,-405800000.0,-632600000.0,-67900000.0,
Total Other Finance Cost,1900000.0,6200000.0,2100000.0,1200000.0,
Interest Expense Non Operating,477900000.0,785700000.0,1089700000.0,351900000.0,
Interest Income Non Operating,316600000.0,386100000.0,459200000.0,285200000.0,
Operating Income,7645700000.0,5940800000.0,6624400000.0,7331800000.0,
Operating Expense,17753700000.0,16642800000.0,14757900000.0,9233000000.0,
Other Operating Expenses,2467000000.0,2402700000.0,2207000000.0,1350300000.0,
Depreciation And Amortization In Income Statement,1528300000.0,1288200000.0,1159200000.0,422800000.0,
Depreciation Income Statement,1528300000.0,1288200000.0,1159200000.0,422800000.0,
Selling General And Administration,7554300000.0,7296500000.0,6198000000.0,3920400000.0,
Selling And Marketing Expense,6562200000.0,6283000000.0,5068600000.0,3029500000.0,
General And Administrative Expense,992100000.0,1013500000.0,1129400000.0,890900000.0,
Rent And Landing Fees,181900000.0,147600000.0,156300000.0,116100000.0,
Gross Profit,25399400000.0,22583600000.0,21382300000.0,16564800000.0,
Cost Of Revenue,52868000000.0,50153600000.0,46943200000.0,37175800000.0,
Total Revenue,78267400000.0,72737200000.0,68325500000.0,53740600000.0,
Operating Revenue,78267400000.0,72737200000.0,68325500000.0,53740600000.0,
