,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,102380.564303,44721.392792,257838.883819,323398.916522
Tax Rate For Calcs,0.206829,0.174693,0.203825,0.228389
Total Unusual Items,495000.0,256000.0,1265000.0,1416000.0
Total Unusual Items Excluding Goodwill,495000.0,256000.0,1265000.0,1416000.0
Net Income From Continuing Operation Net Minority Interest,11236263000.0,10157309000.0,9374795000.0,7601651000.0
Reconciled Depreciation,815894000.0,753902000.0,728522000.0,850211000.0
Net Interest Income,23157134000.0,21234644000.0,21627964000.0,19164880000.0
Interest Expense,35183292000.0,31471008000.0,25515407000.0,21882905000.0
Interest Income,58340426000.0,52705652000.0,47143371000.0,41047785000.0
Normalized Income,11235870380.564302,10157097721.392792,9373787838.88382,7600558398.916522
Net Income From Continuing And Discontinued Operation,11236263000.0,10157309000.0,9374795000.0,7601651000.0
Diluted Average Shares,745581785.0,745956559.0,746020968.0,746988804.0
Basic Average Shares,740781100.0,740495006.0,739822488.0,739096135.0
Diluted EPS,15.07,13.62,12.57,10.18
Basic EPS,15.17,13.72,12.67,10.29
Diluted NI Availto Com Stockholders,11236263000.0,10157309000.0,9374795000.0,7601651000.0
Net Income Common Stockholders,11236263000.0,10157309000.0,9374795000.0,7601651000.0
Net Income,11236263000.0,10157309000.0,9374795000.0,7601651000.0
Net Income Including Noncontrolling Interests,11236263000.0,10157309000.0,9374795000.0,7601651000.0
Net Income Extraordinary,0.0,0.0,0.0,0.0
Net Income Continuous Operations,11236263000.0,10157309000.0,9374795000.0,7601651000.0
Tax Provision,2930000000.0,2150000000.0,2400000000.0,2250000000.0
Pretax Income,14166263000.0,12307309000.0,11774795000.0,9851610000.0
Special Income Charges,495000.0,256000.0,1265000.0,1416000.0
Other Special Charges,-495000.0,-256000.0,-1265000.0,-1416000.0
Gain On Sale Of Security,483315000.0,516390000.0,-278679000.0,513228000.0
Operating Expense,15351495000.0,13483887000.0,11536762000.0,10745114000.0
Other Operating Expenses,4265198000.0,3938978000.0,3241440000.0,2829903000.0
Depreciation And Amortization In Income Statement,815894000.0,753902000.0,728522000.0,850211000.0
Depreciation Income Statement,815894000.0,753902000.0,728522000.0,850211000.0
Selling General And Administration,337899000.0,262041000.0,189429000.0,167004000.0
Selling And Marketing Expense,286032000.0,210083000.0,152794000.0,138322000.0
General And Administrative Expense,51867000.0,51958000.0,36635000.0,28682000.0
Insurance And Claims,736171000.0,685746000.0,633247000.0,586884000.0
Rent And Landing Fees,1840343000.0,1681328000.0,1420348000.0,1256777000.0
Total Revenue,32137263000.0,28650940000.0,29730292000.0,26740308000.0
Operating Revenue,32137263000.0,28650940000.0,29730292000.0,26740308000.0
