,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,27713000.0,-176485000.0,-40653400.0,115759800.0,
Tax Rate For Calcs,0.259,0.235,0.2449,0.2522,
Normalized EBITDA,12243000000.0,13762000000.0,10544000000.0,8840000000.0,
Total Unusual Items,107000000.0,-751000000.0,-166000000.0,459000000.0,
Total Unusual Items Excluding Goodwill,107000000.0,-751000000.0,-166000000.0,459000000.0,
Net Income From Continuing Operation Net Minority Interest,6157000000.0,6828000000.0,5144000000.0,5223000000.0,
Reconciled Depreciation,2672000000.0,2667000000.0,2566000000.0,1922000000.0,
Reconciled Cost Of Revenue,44561000000.0,41657000000.0,34695000000.0,26686000000.0,
EBITDA,12350000000.0,13011000000.0,10378000000.0,9299000000.0,
EBIT,9678000000.0,10344000000.0,7812000000.0,7377000000.0,
Net Interest Income,-186000000.0,-638000000.0,-711000000.0,86000000.0,
Interest Expense,928000000.0,1160000000.0,1000000000.0,393000000.0,
Interest Income,742000000.0,522000000.0,289000000.0,479000000.0,
Normalized Income,6077713000.0,7402515000.0,5269346600.0,4879759800.0,
Net Income From Continuing And Discontinued Operation,6157000000.0,6828000000.0,5144000000.0,5223000000.0,
Total Expenses,64843000000.0,61111000000.0,52690000000.0,38995000000.0,
Rent Expense Supplemental,199000000.0,189000000.0,194000000.0,130000000.0,
Diluted Average Shares,110922831.0,110653781.0,110123755.0,109866751.0,
Basic Average Shares,110042228.0,109705624.0,109365875.0,109379568.0,
Diluted EPS,55.51,61.71,46.71,47.54,
Basic EPS,55.95,62.24,47.03,47.75,
Diluted NI Availto Com Stockholders,6157000000.0,6828000000.0,5144000000.0,5223000000.0,
Net Income Common Stockholders,6157000000.0,6828000000.0,5144000000.0,5223000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,6157000000.0,6828000000.0,5144000000.0,5223000000.0,
Minority Interests,-326000000.0,-200000000.0,0.0,0.0,
Net Income Including Noncontrolling Interests,6483000000.0,7028000000.0,5144000000.0,5223000000.0,
Net Income Continuous Operations,6483000000.0,7028000000.0,5144000000.0,5223000000.0,
Tax Provision,2267000000.0,2156000000.0,1668000000.0,1761000000.0,
Pretax Income,8750000000.0,9184000000.0,6812000000.0,6984000000.0,
Other Non Operating Income Expenses,64000000.0,91000000.0,150000000.0,62000000.0,
Special Income Charges,25000000.0,-661000000.0,-399000000.0,41000000.0,
Other Special Charges,-25000000.0,661000000.0,399000000.0,-41000000.0,
Write Off,,,,0.0,274000000.0
Net Non Operating Interest Income Expense,-186000000.0,-638000000.0,-711000000.0,86000000.0,
Interest Expense Non Operating,928000000.0,1160000000.0,1000000000.0,393000000.0,
Interest Income Non Operating,742000000.0,522000000.0,289000000.0,479000000.0,
Operating Income,8761000000.0,10361000000.0,7469000000.0,6349000000.0,
Operating Expense,20282000000.0,19454000000.0,17995000000.0,12309000000.0,
Other Operating Expenses,11096000000.0,10991000000.0,9062000000.0,6225000000.0,
Depreciation And Amortization In Income Statement,2672000000.0,2667000000.0,2566000000.0,1922000000.0,
Amortization,931000000.0,909000000.0,697000000.0,367000000.0,
Depreciation Income Statement,1741000000.0,1758000000.0,1869000000.0,1555000000.0,
Selling General And Administration,2231000000.0,2077000000.0,3201000000.0,2217000000.0,
Selling And Marketing Expense,178000000.0,229000000.0,99000000.0,274000000.0,
General And Administrative Expense,2053000000.0,1848000000.0,3102000000.0,1943000000.0,
Rent And Landing Fees,199000000.0,189000000.0,194000000.0,130000000.0,
Gross Profit,29043000000.0,29815000000.0,25464000000.0,18658000000.0,
Cost Of Revenue,44561000000.0,41657000000.0,34695000000.0,26686000000.0,
Total Revenue,73604000000.0,71472000000.0,60159000000.0,45344000000.0,
Operating Revenue,73604000000.0,71472000000.0,60159000000.0,45344000000.0,
