,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-17331701.346389,189757009.345794,-202732075.471698,-8203125.0
Tax Rate For Calcs,0.144431,0.201869,0.182642,0.273438
Normalized EBITDA,25610000000.0,28650000000.0,29790000000.0,25730000000.0
Total Unusual Items,-120000000.0,940000000.0,-1110000000.0,130000000.0
Total Unusual Items Excluding Goodwill,-120000000.0,940000000.0,-1110000000.0,-30000000.0
Net Income From Continuing Operation Net Minority Interest,6830000000.0,8270000000.0,10390000000.0,8080000000.0
Reconciled Depreciation,13360000000.0,15040000000.0,13150000000.0,12360000000.0
Reconciled Cost Of Revenue,53410000000.0,59360000000.0,57400000000.0,40850000000.0
EBITDA,25490000000.0,29590000000.0,28680000000.0,25860000000.0
EBIT,12130000000.0,14550000000.0,15530000000.0,13400000000.0
Net Interest Income,-3070000000.0,-2260000000.0,-1760000000.0,-1360000000.0
Interest Expense,3960000000.0,3850000000.0,2280000000.0,1880000000.0
Interest Income,920000000.0,1600000000.0,550000000.0,580000000.0
Normalized Income,6932668298.653611,7519757009.345794,11297267924.528301,8261796875.0
Net Income From Continuing And Discontinued Operation,6830000000.0,8260000000.0,10350000000.0,8160000000.0
Total Expenses,124900000000.0,131900000000.0,122120000000.0,98220000000.0
Rent Expense Supplemental,310000000.0,380000000.0,320000000.0,220000000.0
Diluted Average Shares,187555370.0,187539578.0,187524498.0,187353922.0
Basic Average Shares,187554579.0,187521271.0,187439002.0,187156857.0
Diluted EPS,36.42,44.03,55.19,43.55
Basic EPS,36.42,44.05,55.22,43.6
Diluted NI Availto Com Stockholders,6830000000.0,8260000000.0,10350000000.0,8160000000.0
Net Income Common Stockholders,6830000000.0,8260000000.0,10350000000.0,8160000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,6830000000.0,8260000000.0,10350000000.0,8160000000.0
Minority Interests,-160000000.0,-270000000.0,-440000000.0,-290000000.0
Net Income Including Noncontrolling Interests,6990000000.0,8530000000.0,10790000000.0,8450000000.0
Net Income Discontinuous Operations,0.0,-10000000.0,-40000000.0,80000000.0
Net Income Continuous Operations,6990000000.0,8540000000.0,10830000000.0,8370000000.0
Tax Provision,1180000000.0,2160000000.0,2420000000.0,3150000000.0
Pretax Income,8170000000.0,10700000000.0,13250000000.0,11520000000.0
Other Non Operating Income Expenses,90000000.0,250000000.0,150000000.0,220000000.0
Special Income Charges,-1090000000.0,120000000.0,-1430000000.0,-430000000.0
Other Special Charges,1070000000.0,-140000000.0,-30000000.0,-80000000.0
Write Off,20000000.0,20000000.0,1460000000.0,350000000.0
Net Non Operating Interest Income Expense,-3070000000.0,-2260000000.0,-1760000000.0,-1360000000.0
Total Other Finance Cost,30000000.0,10000000.0,30000000.0,60000000.0
Interest Expense Non Operating,3960000000.0,3850000000.0,2280000000.0,1880000000.0
Interest Income Non Operating,920000000.0,1600000000.0,550000000.0,580000000.0
Operating Income,10780000000.0,11440000000.0,10250000000.0,12380000000.0
Operating Expense,71490000000.0,72540000000.0,64720000000.0,57370000000.0
Other Operating Expenses,17630000000.0,17100000000.0,15590000000.0,13210000000.0
Depreciation And Amortization In Income Statement,13330000000.0,15010000000.0,13120000000.0,12460000000.0
Amortization,3030000000.0,3600000000.0,3400000000.0,3380000000.0
Depreciation Income Statement,10300000000.0,11410000000.0,9720000000.0,9080000000.0
Selling General And Administration,35510000000.0,34950000000.0,31200000000.0,26380000000.0
Selling And Marketing Expense,34280000000.0,33880000000.0,29910000000.0,25010000000.0
General And Administrative Expense,1230000000.0,1070000000.0,1290000000.0,1370000000.0
Rent And Landing Fees,310000000.0,380000000.0,320000000.0,220000000.0
Gross Profit,82270000000.0,83980000000.0,74970000000.0,69750000000.0
Cost Of Revenue,53410000000.0,59360000000.0,57400000000.0,40850000000.0
Total Revenue,135680000000.0,143340000000.0,132370000000.0,110600000000.0
Operating Revenue,135680000000.0,143340000000.0,132370000000.0,110600000000.0
