,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,55146255.16354,38269953.342417,-9068397.743129,-3795768.566494,
Tax Rate For Calcs,0.248967,0.249804,0.24777,0.25475,
Normalized EBITDA,2876900000.0,2433900000.0,1784700000.0,1413200000.0,
Total Unusual Items,221500000.0,153200000.0,-36600000.0,-14900000.0,
Total Unusual Items Excluding Goodwill,221500000.0,153200000.0,-36600000.0,-14900000.0,
Net Income From Continuing Operation Net Minority Interest,2218100000.0,1816900000.0,1239900000.0,939700000.0,
Reconciled Depreciation,139200000.0,161300000.0,84600000.0,66300000.0,
Reconciled Cost Of Revenue,2761000000.0,1651200000.0,1709100000.0,860700000.0,
EBITDA,3098400000.0,2587100000.0,1748100000.0,1398300000.0,
EBIT,2959200000.0,2425800000.0,1663500000.0,1332000000.0,
Net Interest Income,78600000.0,202600000.0,6800000.0,-70400000.0,
Interest Expense,5800000.0,3900000.0,15200000.0,58200000.0,
Interest Income,199400000.0,295900000.0,84200000.0,39600000.0,
Normalized Income,2051746255.16354,1701969953.342417,1267431602.256871,950804231.433506,
Net Income From Continuing And Discontinued Operation,2218100000.0,1816900000.0,1239900000.0,939700000.0,
Total Expenses,4443500000.0,3134300000.0,2828400000.0,1732400000.0,
Rent Expense Supplemental,6600000.0,3300000.0,4400000.0,2000000.0,
Diluted Average Shares,55983969.0,55983969.0,52099935.0,48243718.0,
Basic Average Shares,55983969.0,55983969.0,52099935.0,48243718.0,
Diluted EPS,39.62,32.45,23.8,19.48,
Basic EPS,39.62,32.45,23.8,19.48,
Diluted NI Availto Com Stockholders,2218100000.0,1816900000.0,1239900000.0,939700000.0,
Net Income Common Stockholders,2218100000.0,1816900000.0,1239900000.0,939700000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,2218100000.0,1816900000.0,1239900000.0,939700000.0,
Net Income Including Noncontrolling Interests,2218100000.0,1816900000.0,1239900000.0,949300000.0,
Net Income Continuous Operations,2218100000.0,1816900000.0,1239900000.0,949300000.0,
Tax Provision,735300000.0,605000000.0,408400000.0,324500000.0,
Pretax Income,2953400000.0,2421900000.0,1648300000.0,1273800000.0,
Other Non Operating Income Expenses,1400000.0,1100000.0,92200000.0,39600000.0,
Special Income Charges,-22800000.0,-8800000.0,-44600000.0,-14900000.0,
Write Off,22800000.0,8800000.0,44600000.0,14900000.0,
Impairment Of Capital Assets,,,,0.0,-1200000.0
Net Non Operating Interest Income Expense,78600000.0,202600000.0,6800000.0,-70400000.0,
Total Other Finance Cost,115000000.0,89400000.0,62200000.0,51800000.0,
Interest Expense Non Operating,5800000.0,3900000.0,15200000.0,58200000.0,
Interest Income Non Operating,199400000.0,295900000.0,84200000.0,39600000.0,
Operating Income,2640000000.0,2063700000.0,1706100000.0,1376100000.0,
Operating Expense,1682500000.0,1483100000.0,1119300000.0,871700000.0,
Other Operating Expenses,275800000.0,226900000.0,147900000.0,86600000.0,
Depreciation And Amortization In Income Statement,139200000.0,161300000.0,84600000.0,66300000.0,
Amortization,5100000.0,4600000.0,3700000.0,14700000.0,
Depreciation Income Statement,134100000.0,156700000.0,80900000.0,51600000.0,
Selling General And Administration,109800000.0,90800000.0,87500000.0,83000000.0,
Selling And Marketing Expense,32900000.0,26800000.0,32200000.0,22100000.0,
General And Administrative Expense,76900000.0,64000000.0,55300000.0,60900000.0,
Rent And Landing Fees,6600000.0,3300000.0,4400000.0,2000000.0,
Gross Profit,4322500000.0,3546800000.0,2825400000.0,2247800000.0,
Cost Of Revenue,2761000000.0,1651200000.0,1709100000.0,860700000.0,
Total Revenue,7083500000.0,5198000000.0,4534500000.0,3108500000.0,
Operating Revenue,7083500000.0,5198000000.0,4534500000.0,3108500000.0,
