,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,0.0,504676995.370878,1698966600.0,1523779200.0,
Tax Rate For Calcs,0.381319,0.039796,0.3,0.3,
Normalized EBITDA,-448405000.0,2129247000.0,-5651198000.0,-790137000.0,
Total Unusual Items,0.0,12681442000.0,5663222000.0,5079264000.0,
Total Unusual Items Excluding Goodwill,0.0,12681442000.0,5663222000.0,5079264000.0,
Net Income From Continuing Operation Net Minority Interest,-1255886000.0,13193790000.0,-903837000.0,269274000.0,
Reconciled Depreciation,530373000.0,260657000.0,4233000.0,6925000.0,
Reconciled Cost Of Revenue,9752156000.0,137466000.0,12633915000.0,1266437000.0,
EBITDA,-448405000.0,14810689000.0,12024000.0,4289127000.0,
EBIT,-978778000.0,14550032000.0,-62783000.0,4282202000.0,
Net Interest Income,-929007000.0,-833149000.0,-365152000.0,-2857231000.0,
Interest Expense,929007000.0,833149000.0,542550000.0,2857231000.0,
Interest Income,,240250000.0,178969000.0,155667000.0,7554000.0
Normalized Income,-1255886000.0,1017024995.370878,-4868092400.0,-3286210800.0,
Net Income From Continuing And Discontinued Operation,-1255886000.0,13193790000.0,-903837000.0,269274000.0,
Total Expenses,13035275000.0,1261603000.0,13085875000.0,2948713000.0,
Rent Expense Supplemental,,317014000.0,264048000.0,74589000.0,77955000.0
Diluted Average Shares,538821229.0,459903988.0,306984086.0,256451429.0,
Basic Average Shares,539006867.0,445284813.0,306984086.0,242589189.0,
Diluted EPS,-2.33,28.69,-2.94,1.05,
Basic EPS,-2.33,29.63,-2.94,1.11,
Diluted NI Availto Com Stockholders,-1255886000.0,13193790000.0,-903837000.0,269274000.0,
Net Income Common Stockholders,-1255886000.0,13193790000.0,-903837000.0,269274000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,-1255886000.0,13193790000.0,-903837000.0,269274000.0,
Minority Interests,-75576000.0,22403000.0,-3771000.0,51460000.0,
Net Income Including Noncontrolling Interests,-1180310000.0,13171387000.0,-900066000.0,217814000.0,
Net Income Continuous Operations,-1180310000.0,13171387000.0,-900066000.0,217815000.0,
Tax Provision,-727475000.0,545900000.0,294733000.0,1207156000.0,
Pretax Income,-1907785000.0,13717287000.0,-605333000.0,1424971000.0,
Other Non Operating Income Expenses,481319000.0,95900000.0,14841000.0,470743000.0,
Special Income Charges,231278000.0,12681442000.0,5663222000.0,5079264000.0,
Other Special Charges,,-9627200000.0,-5837432000.0,-5079264000.0,-1765613000.0
Write Off,-332051000.0,-3054242000.0,806090000.0,-2048566000.0,
Impairment Of Capital Assets,,-2092722000.0,-631880000.0,-108300000.0,0.0
Net Non Operating Interest Income Expense,-929007000.0,-833149000.0,-365152000.0,-2857231000.0,
Total Other Finance Cost,,404000.0,1571000.0,-302981000.0,-216048000.0
Interest Expense Non Operating,929007000.0,833149000.0,542550000.0,2857231000.0,
Interest Income Non Operating,,240250000.0,178969000.0,155667000.0,7554000.0
Operating Income,-1500081000.0,1601805000.0,-6197867000.0,-754371000.0,
Operating Expense,2968939000.0,952375000.0,451960000.0,1682276000.0,
Other Operating Expenses,1655353000.0,543755000.0,43746000.0,1606974000.0,
Depreciation And Amortization In Income Statement,530373000.0,260657000.0,74807000.0,6925000.0,
Amortization,,0.0,70574000.0,,
Depreciation Income Statement,530373000.0,260657000.0,4233000.0,6925000.0,
Selling General And Administration,374921000.0,315807000.0,209206000.0,99149000.0,
Selling And Marketing Expense,,71420000.0,98582000.0,31631000.0,18142000.0
General And Administrative Expense,,-140370000.0,110624000.0,67518000.0,41546000.0
Rent And Landing Fees,42991000.0,16561000.0,37046000.0,1655000.0,
Gross Profit,1578649000.0,3437235000.0,-5745907000.0,927905000.0,
Cost Of Revenue,9752156000.0,137466000.0,12633915000.0,1266437000.0,
Total Revenue,11330805000.0,3574701000.0,6888008000.0,2194342000.0,
Operating Revenue,11330805000.0,3574701000.0,6888008000.0,2194342000.0,
