,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,53560568.070025,259469611.286386,107201061.954702,54446268.258718
Tax Rate For Calcs,0.205686,0.304185,0.327532,0.321028
Normalized EBITDA,19722500000.0,13111600000.0,21962300000.0,13696600000.0
Total Unusual Items,260400000.0,853000000.0,327300000.0,169600000.0
Total Unusual Items Excluding Goodwill,260400000.0,853000000.0,327300000.0,169600000.0
Net Income From Continuing Operation Net Minority Interest,9335900000.0,4528400000.0,12101000000.0,6782700000.0
Reconciled Depreciation,4033300000.0,3337300000.0,2392100000.0,2325200000.0
Reconciled Cost Of Revenue,67836500000.0,60231200000.0,77866200000.0,51407200000.0
EBITDA,19982900000.0,13964600000.0,22289600000.0,13866200000.0
EBIT,15949600000.0,10627300000.0,19897500000.0,11540900000.0
Net Interest Income,-3949300000.0,-3800500000.0,-1613300000.0,-1349900000.0
Interest Expense,4056700000.0,3907700000.0,1742300000.0,1415600000.0
Interest Income,179900000.0,237100000.0,330500000.0,175000000.0
Normalized Income,9129060568.070024,3934869611.286386,11880901061.954702,6667546268.258718
Net Income From Continuing And Discontinued Operation,9335900000.0,4528400000.0,12101000000.0,6782700000.0
Total Expenses,68820600000.0,61333800000.0,67196000000.0,53910100000.0
Rent Expense Supplemental,214300000.0,200500000.0,146800000.0,122100000.0
Diluted Average Shares,126237825.0,126237825.0,123856151.0,117845606.0
Basic Average Shares,126237825.0,126237825.0,123856151.0,112226183.0
Diluted EPS,73.95,35.87,97.7,58.25
Basic EPS,73.95,35.87,97.7,60.44
Diluted NI Availto Com Stockholders,9335900000.0,4528400000.0,12101000000.0,6864700000.0
Average Dilution Earnings,0.0,0.0,0.0,82000000.0
Net Income Common Stockholders,9335900000.0,4528400000.0,12101000000.0,6782700000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,9335900000.0,4528400000.0,12101000000.0,6782700000.0
Minority Interests,-110800000.0,-147200000.0,-107800000.0,-92100000.0
Net Income Including Noncontrolling Interests,9446700000.0,4675600000.0,12208800000.0,6874800000.0
Net Income Continuous Operations,9446700000.0,4675600000.0,12208800000.0,6874800000.0
Tax Provision,2446200000.0,2044000000.0,5946400000.0,3250500000.0
Pretax Income,11892900000.0,6719600000.0,18155200000.0,10125300000.0
Other Non Operating Income Expenses,366500000.0,124000000.0,141000000.0,89200000.0
Special Income Charges,148800000.0,518000000.0,-40300000.0,-2200000.0
Other Special Charges,-149500000.0,-529700000.0,-1100000.0,-1500000.0
Write Off,700000.0,11700000.0,41400000.0,3700000.0
Net Non Operating Interest Income Expense,-3949300000.0,-3800500000.0,-1613300000.0,-1349900000.0
Total Other Finance Cost,72500000.0,129900000.0,201500000.0,109300000.0
Interest Expense Non Operating,4056700000.0,3907700000.0,1742300000.0,1415600000.0
Interest Income Non Operating,179900000.0,237100000.0,330500000.0,175000000.0
Operating Income,15581000000.0,9744200000.0,19956600000.0,11669800000.0
Operating Expense,984100000.0,1102600000.0,-10670200000.0,2502900000.0
Other Operating Expenses,4723700000.0,3971200000.0,3307400000.0,3194100000.0
Depreciation And Amortization In Income Statement,4033300000.0,3337300000.0,2392100000.0,2325300000.0
Amortization,75500000.0,65300000.0,62000000.0,45100000.0
Depreciation Income Statement,3957800000.0,3272000000.0,2330100000.0,2280200000.0
Selling General And Administration,4517600000.0,3998900000.0,3383500000.0,2984400000.0
Selling And Marketing Expense,3571600000.0,2997700000.0,2517200000.0,2166900000.0
General And Administrative Expense,946000000.0,1001200000.0,866300000.0,817500000.0
Rent And Landing Fees,214300000.0,200500000.0,146800000.0,122100000.0
Gross Profit,16565100000.0,10846800000.0,9286400000.0,14172700000.0
Cost Of Revenue,67836500000.0,60231200000.0,77866200000.0,51407200000.0
Total Revenue,84401600000.0,71078000000.0,87152600000.0,65579900000.0
Operating Revenue,84401600000.0,71078000000.0,87152600000.0,65579900000.0
