,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,2486282.578875,2602866.389274,9202195.018995,-4024032.849192
Tax Rate For Calcs,0.248628,0.260287,0.230055,0.196294
Normalized EBITDA,33190000000.0,25430000000.0,27080000000.0,39974300000.0
Total Unusual Items,10000000.0,10000000.0,40000000.0,-20500000.0
Total Unusual Items Excluding Goodwill,10000000.0,10000000.0,40000000.0,-20500000.0
Net Income From Continuing Operation Net Minority Interest,21910000000.0,16000000000.0,18240000000.0,29604500000.0
Reconciled Depreciation,4020000000.0,3780000000.0,3430000000.0,3115100000.0
Reconciled Cost Of Revenue,38700000000.0,32690000000.0,31780000000.0,30918800000.0
EBITDA,33200000000.0,25440000000.0,27120000000.0,39953800000.0
EBIT,29180000000.0,21660000000.0,23690000000.0,36838700000.0
Net Interest Income,2920000000.0,2970000000.0,2030000000.0,669600000.0
Interest Expense,20000000.0,30000000.0,0.0,3700000.0
Interest Income,2950000000.0,3010000000.0,2050000000.0,689600000.0
Normalized Income,21902486282.578876,15992602866.389275,18209202195.018993,29620975967.150806
Net Income From Continuing And Discontinued Operation,21910000000.0,16000000000.0,18240000000.0,29604500000.0
Total Expenses,67540000000.0,59640000000.0,56380000000.0,52254600000.0
Rent Expense Supplemental,150000000.0,120000000.0,120000000.0,107700000.0
Diluted Average Shares,265468580.0,265468580.0,265468580.0,265468580.0
Basic Average Shares,265468580.0,265468580.0,265468580.0,265468580.0
Diluted EPS,82.53,60.27,68.69,111.52
Basic EPS,82.53,60.27,68.69,111.52
Diluted NI Availto Com Stockholders,21910000000.0,16000000000.0,18240000000.0,29604500000.0
Net Income Common Stockholders,21910000000.0,16000000000.0,18240000000.0,29604500000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,21910000000.0,16000000000.0,18240000000.0,29604500000.0
Minority Interests,0.0,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,21910000000.0,16000000000.0,18240000000.0,29604500000.0
Net Income Continuous Operations,21910000000.0,16000000000.0,18240000000.0,29604500000.0
Tax Provision,7250000000.0,5630000000.0,5450000000.0,7230500000.0
Pretax Income,29160000000.0,21630000000.0,23690000000.0,36835000000.0
Other Non Operating Income Expenses,40000000.0,30000000.0,50000000.0,42400000.0
Special Income Charges,-40000000.0,-40000000.0,-10000000.0,-20500000.0
Other Special Charges,40000000.0,40000000.0,10000000.0,20500000.0
Net Non Operating Interest Income Expense,2920000000.0,2970000000.0,2030000000.0,669600000.0
Total Other Finance Cost,10000000.0,10000000.0,20000000.0,16300000.0
Interest Expense Non Operating,20000000.0,30000000.0,0.0,3700000.0
Interest Income Non Operating,2950000000.0,3010000000.0,2050000000.0,689600000.0
Operating Income,25710000000.0,18320000000.0,20270000000.0,35737700000.0
Operating Expense,28840000000.0,26950000000.0,24600000000.0,21335800000.0
Other Operating Expenses,9510000000.0,10080000000.0,9600000000.0,7679000000.0
Depreciation And Amortization In Income Statement,4020000000.0,3780000000.0,3430000000.0,3115100000.0
Amortization,30000000.0,30000000.0,40000000.0,31800000.0
Depreciation Income Statement,3990000000.0,3750000000.0,3390000000.0,3083300000.0
Research And Development,270000000.0,350000000.0,300000000.0,202900000.0
Selling General And Administration,2790000000.0,2150000000.0,2400000000.0,2354700000.0
Selling And Marketing Expense,1360000000.0,900000000.0,1140000000.0,1270100000.0
General And Administrative Expense,1430000000.0,1250000000.0,1260000000.0,1084600000.0
Rent And Landing Fees,150000000.0,120000000.0,120000000.0,107700000.0
Gross Profit,54550000000.0,45270000000.0,44870000000.0,57073500000.0
Cost Of Revenue,38700000000.0,32690000000.0,31780000000.0,30918800000.0
Total Revenue,93250000000.0,77960000000.0,76650000000.0,87992300000.0
Operating Revenue,93250000000.0,77960000000.0,76650000000.0,87992300000.0
