,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,1011917780.608995,15121697.750238,-1847177.910552,3184751.285776,
Tax Rate For Calcs,0.214817,0.240791,0.260166,0.252758,
Normalized EBITDA,15238900000.0,7207900000.0,5164600000.0,3801300000.0,
Total Unusual Items,4710600000.0,62800000.0,-7100000.0,12600000.0,
Total Unusual Items Excluding Goodwill,4710600000.0,62800000.0,-7100000.0,12600000.0,
Net Income From Continuing Operation Net Minority Interest,10955400000.0,3677500000.0,2555200000.0,1901700000.0,
Reconciled Depreciation,2810200000.0,1618800000.0,1146300000.0,839500000.0,
Reconciled Cost Of Revenue,359616700000.0,160925900000.0,110486000000.0,98035900000.0,
EBITDA,19949500000.0,7270700000.0,5157500000.0,3813900000.0,
EBIT,17139300000.0,5651900000.0,4011200000.0,2974400000.0,
Net Interest Income,-1534000000.0,-798400000.0,-627800000.0,-487400000.0,
Interest Expense,1441300000.0,713600000.0,563400000.0,427300000.0,
Interest Income,81200000.0,11200000.0,12900000.0,6600000.0,
Normalized Income,7256717780.608995,3629821697.750238,2560452822.089448,1892284751.285776,
Net Income From Continuing And Discontinued Operation,10955400000.0,3677500000.0,2555200000.0,1901700000.0,
Total Expenses,373257500000.0,170717700000.0,117660800000.0,103684000000.0,
Rent Expense Supplemental,77900000.0,29700000.0,70200000.0,74500000.0,
Diluted Average Shares,60844524.0,60022586.0,59853182.0,59473503.0,
Basic Average Shares,59922869.0,59661976.0,59422005.0,58899761.0,
Diluted EPS,180.055645,61.268603,42.69113,31.975584,
Basic EPS,182.825025,61.638924,43.000905,32.287058,
Diluted NI Availto Com Stockholders,10955400000.0,3677500000.0,2555200000.0,1901700000.0,
Net Income Common Stockholders,10955400000.0,3677500000.0,2555200000.0,1901700000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,10955400000.0,3677500000.0,2555200000.0,1901700000.0,
Minority Interests,-1370400000.0,-71700000.0,4400000.0,-1600000.0,
Net Income Including Noncontrolling Interests,12325800000.0,3749200000.0,2550800000.0,1903300000.0,
Net Income Continuous Operations,12325800000.0,3749200000.0,2550800000.0,1903300000.0,
Tax Provision,3372200000.0,1189100000.0,897000000.0,643800000.0,
Pretax Income,15698000000.0,4938300000.0,3447800000.0,2547100000.0,
Other Non Operating Income Expenses,37000000.0,54700000.0,16000000.0,4500000.0,
Special Income Charges,4703900000.0,59500000.0,-15200000.0,6800000.0,
Other Special Charges,-4704400000.0,-59500000.0,31300000.0,-7800000.0,
Write Off,500000.0,0.0,1000000.0,1000000.0,
Impairment Of Capital Assets,,0.0,-17100000.0,0.0,20500000.0
Net Non Operating Interest Income Expense,-1534000000.0,-798400000.0,-627800000.0,-487400000.0,
Total Other Finance Cost,173900000.0,96000000.0,77300000.0,66700000.0,
Interest Expense Non Operating,1441300000.0,713600000.0,563400000.0,427300000.0,
Interest Income Non Operating,81200000.0,11200000.0,12900000.0,6600000.0,
Operating Income,12675400000.0,5421400000.0,4072700000.0,3016100000.0,
Operating Expense,13640800000.0,9791800000.0,7174800000.0,5648100000.0,
Other Operating Expenses,2551300000.0,1788700000.0,1140100000.0,956100000.0,
Depreciation And Amortization In Income Statement,2810200000.0,1618800000.0,1146300000.0,839500000.0,
Amortization,91000000.0,61100000.0,44800000.0,12200000.0,
Depreciation Income Statement,2719200000.0,1557700000.0,1101500000.0,827300000.0,
Selling General And Administration,569500000.0,465900000.0,402300000.0,359400000.0,
Selling And Marketing Expense,360300000.0,334900000.0,300600000.0,270400000.0,
General And Administrative Expense,209200000.0,131000000.0,101700000.0,89000000.0,
Rent And Landing Fees,77900000.0,29700000.0,70200000.0,74500000.0,
Gross Profit,26316200000.0,15213200000.0,11247500000.0,8664200000.0,
Cost Of Revenue,359616700000.0,160925900000.0,110486000000.0,98035900000.0,
Total Revenue,385932900000.0,176139100000.0,121733500000.0,106700100000.0,
Operating Revenue,385932900000.0,176139100000.0,121733500000.0,106700100000.0,
