,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,38317920.205191,67503453.296854,15795638.363578,-526262.039029
Tax Rate For Calcs,0.262812,0.267446,0.222788,0.27698
Normalized EBITDA,45967400000.0,42247900000.0,37589600000.0,26160000000.0
Total Unusual Items,145800000.0,252400000.0,70900000.0,-1900000.0
Total Unusual Items Excluding Goodwill,145800000.0,252400000.0,70900000.0,-1900000.0
Net Income From Continuing Operation Net Minority Interest,27080200000.0,25361700000.0,23785100000.0,14925500000.0
Reconciled Depreciation,8695200000.0,7307600000.0,6388700000.0,4980800000.0
Reconciled Cost Of Revenue,505855500000.0,433061700000.0,364139100000.0,264242000000.0
EBITDA,46113200000.0,42500300000.0,37660500000.0,26158100000.0
EBIT,37418000000.0,35192700000.0,31271800000.0,21177300000.0
Net Interest Income,183800000.0,493300000.0,401500000.0,501700000.0
Interest Expense,691300000.0,579400000.0,670900000.0,536100000.0
Interest Income,878300000.0,1074600000.0,1075600000.0,1039600000.0
Normalized Income,26972717920.205193,25176803453.296852,23729995638.36358,14926873737.960972
Net Income From Continuing And Discontinued Operation,27080200000.0,25361700000.0,23785100000.0,14925500000.0
Total Expenses,556081600000.0,473257900000.0,397354800000.0,288809400000.0
Rent Expense Supplemental,120000000.0,99800000.0,39300000.0,15000000.0
Diluted Average Shares,652318596.0,651536951.0,651758267.0,652893283.0
Basic Average Shares,650733068.0,650437695.0,647780053.0,647774691.0
Diluted EPS,41.5,38.93,36.49,22.86
Basic EPS,41.61,38.99,36.72,23.04
Diluted NI Availto Com Stockholders,27080200000.0,25361700000.0,23785100000.0,14925500000.0
Net Income Common Stockholders,27080200000.0,25361700000.0,23785100000.0,14925500000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,27080200000.0,25361700000.0,23785100000.0,14925500000.0
Minority Interests,5700000.0,5600000.0,1700000.0,1500000.0
Net Income Including Noncontrolling Interests,27074500000.0,25356100000.0,23783400000.0,14924000000.0
Net Income Continuous Operations,27074500000.0,25356100000.0,23783400000.0,14924000000.0
Tax Provision,9652200000.0,9257200000.0,6817500000.0,5717200000.0
Pretax Income,36726700000.0,34613300000.0,30600900000.0,20641200000.0
Other Non Operating Income Expenses,104700000.0,92700000.0,67900000.0,71700000.0
Special Income Charges,-71800000.0,-18700000.0,-17400000.0,-38500000.0
Other Special Charges,71800000.0,18700000.0,17400000.0,38500000.0
Net Non Operating Interest Income Expense,183800000.0,493300000.0,401500000.0,501700000.0
Total Other Finance Cost,3200000.0,1900000.0,3200000.0,1800000.0
Interest Expense Non Operating,691300000.0,579400000.0,670900000.0,536100000.0
Interest Income Non Operating,878300000.0,1074600000.0,1075600000.0,1039600000.0
Operating Income,36249900000.0,33748800000.0,29999000000.0,20042700000.0
Operating Expense,50226100000.0,40196200000.0,33215700000.0,24567400000.0
Other Operating Expenses,15578300000.0,13174400000.0,10581600000.0,7238100000.0
Depreciation And Amortization In Income Statement,8695200000.0,7307600000.0,6388700000.0,4980800000.0
Amortization,82000000.0,67900000.0,60000000.0,187000000.0
Depreciation Income Statement,8613200000.0,7239700000.0,6328700000.0,4793800000.0
Selling General And Administration,461300000.0,338400000.0,313800000.0,271200000.0
General And Administrative Expense,461300000.0,338400000.0,313800000.0,271200000.0
Rent And Landing Fees,120000000.0,99800000.0,39300000.0,15000000.0
Gross Profit,86476000000.0,73945000000.0,63214700000.0,44610100000.0
Cost Of Revenue,505855500000.0,433061700000.0,364139100000.0,264242000000.0
Total Revenue,592331500000.0,507006700000.0,427353800000.0,308852100000.0
Operating Revenue,592331500000.0,507006700000.0,427353800000.0,308852100000.0
