,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,1728528111.079087,1716661961.122795,701185138.816148,0.0,
Tax Rate For Calcs,0.202025,0.230874,0.233099,0.23875,
Normalized EBITDA,58611400000.0,51069500000.0,40530500000.0,26732200000.0,
Total Unusual Items,8556000000.0,7435500000.0,3008100000.0,1510700000.0,
Total Unusual Items Excluding Goodwill,8556000000.0,7435500000.0,3008100000.0,1510700000.0,
Net Income From Continuing Operation Net Minority Interest,47344400000.0,40010100000.0,29139400000.0,16766000000.0,
Reconciled Depreciation,7293300000.0,5976000000.0,5262100000.0,4519300000.0,
Reconciled Cost Of Revenue,105836400000.0,92197900000.0,84741500000.0,59556800000.0,
EBITDA,67167400000.0,58505000000.0,43538600000.0,26732200000.0,
EBIT,59874100000.0,52529000000.0,38276500000.0,22212900000.0,
Net Interest Income,2629800000.0,1529200000.0,1491600000.0,-187800000.0,
Interest Expense,543400000.0,508800000.0,280200000.0,187800000.0,
Interest Income,3173200000.0,2038000000.0,1771800000.0,2453800000.0,
Normalized Income,40516928111.07909,34291261961.122795,26832485138.816147,16766000000.0,
Net Income From Continuing And Discontinued Operation,47344400000.0,40010100000.0,29139400000.0,16766000000.0,
Total Expenses,145348400000.0,124364700000.0,112106400000.0,84067500000.0,
Rent Expense Supplemental,766400000.0,680300000.0,,281100000.0,144500000.0
Diluted Average Shares,274662263.0,274189231.0,273454538.0,273685929.0,
Basic Average Shares,274050145.0,273712460.0,273454538.0,273373553.0,
Diluted EPS,172.37,145.92,106.38,61.26,
Basic EPS,172.76,146.18,106.56,61.33,
Diluted NI Availto Com Stockholders,47344400000.0,40010100000.0,29139400000.0,16766000000.0,
Net Income Common Stockholders,47344400000.0,40010100000.0,29139400000.0,16766000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,47344400000.0,40010100000.0,29139400000.0,16766000000.0,
Minority Interests,0.0,0.0,0.0,0.0,
Net Income Including Noncontrolling Interests,47344400000.0,40010100000.0,29139400000.0,16766000000.0,
Net Income Continuous Operations,47344400000.0,40010100000.0,29139400000.0,16766000000.0,
Tax Provision,11986300000.0,12010100000.0,8856900000.0,5258500000.0,
Pretax Income,59330700000.0,52020200000.0,37996300000.0,22025100000.0,
Other Non Operating Income Expenses,820300000.0,543900000.0,497700000.0,4408200000.0,
Special Income Charges,-77000000.0,237500000.0,-3100000.0,-42300000.0,
Other Special Charges,77000000.0,-237500000.0,3100000.0,42300000.0,
Write Off,,,,,1700000.0
Net Non Operating Interest Income Expense,2629800000.0,1529200000.0,1491600000.0,-187800000.0,
Total Other Finance Cost,,,,,-7000000.0
Interest Expense Non Operating,543400000.0,508800000.0,280200000.0,187800000.0,
Interest Income Non Operating,3173200000.0,2038000000.0,1771800000.0,2453800000.0,
Operating Income,40033700000.0,37975500000.0,29652600000.0,17203200000.0,
Operating Expense,39512000000.0,32166800000.0,27364900000.0,24510700000.0,
Other Operating Expenses,6852100000.0,6355400000.0,6640300000.0,13488800000.0,
Depreciation And Amortization In Income Statement,7293300000.0,5976000000.0,5262100000.0,4519300000.0,
Amortization,1544300000.0,1250700000.0,944200000.0,773000000.0,
Depreciation Income Statement,5749000000.0,4725300000.0,4317900000.0,4519300000.0,
Research And Development,370800000.0,365400000.0,148200000.0,120400000.0,
Selling General And Administration,13739800000.0,10108200000.0,8415300000.0,6003600000.0,
Selling And Marketing Expense,11998700000.0,8776200000.0,7414300000.0,4964800000.0,
General And Administrative Expense,1741100000.0,1332000000.0,1001000000.0,1038800000.0,
Rent And Landing Fees,766400000.0,680300000.0,,281100000.0,144500000.0
Gross Profit,79545700000.0,70142300000.0,57017500000.0,41713900000.0,
Cost Of Revenue,105836400000.0,92197900000.0,84741500000.0,59556800000.0,
Total Revenue,185382100000.0,162340200000.0,141759000000.0,101270700000.0,
Operating Revenue,185382100000.0,162340200000.0,141759000000.0,101270700000.0,
