,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,1313533730.684147,132053546.30796,168972928.926587,132284574.775376,
Tax Rate For Calcs,0.277867,0.256365,0.287222,0.260865,
Normalized EBITDA,28316000000.0,28079200000.0,31569600000.0,25456500000.0,
Total Unusual Items,4727200000.0,515100000.0,588300000.0,507100000.0,
Total Unusual Items Excluding Goodwill,4727200000.0,515100000.0,588300000.0,507100000.0,
Net Income From Continuing Operation Net Minority Interest,8783500000.0,8996700000.0,9474800000.0,9068300000.0,
Reconciled Depreciation,5123900000.0,4207800000.0,3764700000.0,3339900000.0,
Reconciled Cost Of Revenue,245120500000.0,228923500000.0,282063400000.0,178379400000.0,
EBITDA,33043200000.0,28594300000.0,32157900000.0,25963600000.0,
EBIT,27919300000.0,24386500000.0,28393200000.0,22623700000.0,
Net Interest Income,-1296000000.0,-972700000.0,-1340400000.0,-457000000.0,
Interest Expense,3373400000.0,2634300000.0,2750700000.0,1332600000.0,
Interest Income,2428300000.0,1981600000.0,1641600000.0,1062100000.0,
Normalized Income,5369833730.684147,8613653546.30796,9055472928.926586,8693484574.775375,
Net Income From Continuing And Discontinued Operation,8783500000.0,8996700000.0,9474800000.0,9068300000.0,
Total Expenses,212058700000.0,189340100000.0,178603800000.0,145333200000.0,
Rent Expense Supplemental,348300000.0,302800000.0,278900000.0,266000000.0,
Diluted Average Shares,177691433.0,177578148.0,177532502.0,177313487.0,
Basic Average Shares,177575251.0,177517591.0,177465424.0,177234827.0,
Diluted EPS,49.33,50.61,53.25,51.04,
Basic EPS,49.47,50.68,53.39,51.17,
Diluted NI Availto Com Stockholders,8765300000.0,8986800000.0,9453300000.0,9050100000.0,
Average Dilution Earnings,-18200000.0,-9900000.0,-21500000.0,-18200000.0,
Net Income Common Stockholders,8783500000.0,8996700000.0,9474800000.0,9068300000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,8783500000.0,8996700000.0,9474800000.0,9068300000.0,
Minority Interests,-8941900000.0,-7179000000.0,-8802600000.0,-6668700000.0,
Net Income Including Noncontrolling Interests,17725400000.0,16175700000.0,18277400000.0,15737000000.0,
Net Income Continuous Operations,17725400000.0,16175700000.0,18277400000.0,15737000000.0,
Tax Provision,6820500000.0,5576500000.0,7365100000.0,5554100000.0,
Pretax Income,24545900000.0,21752200000.0,25642500000.0,21291100000.0,
Other Non Operating Income Expenses,306000000.0,246600000.0,195500000.0,328000000.0,
Special Income Charges,3605600000.0,524800000.0,537200000.0,-130200000.0,
Other Special Charges,-4129600000.0,-538200000.0,-569700000.0,116500000.0,
Write Off,14600000.0,13400000.0,32500000.0,13700000.0,
Impairment Of Capital Assets,509400000.0,0.0,,,12800000.0
Net Non Operating Interest Income Expense,-1296000000.0,-972700000.0,-1340400000.0,-457000000.0,
Total Other Finance Cost,350900000.0,320000000.0,231300000.0,186500000.0,
Interest Expense Non Operating,3373400000.0,2634300000.0,2750700000.0,1332600000.0,
Interest Income Non Operating,2428300000.0,1981600000.0,1641600000.0,1062100000.0,
Operating Income,22133400000.0,22605900000.0,28211000000.0,21199500000.0,
Operating Expense,-33061800000.0,-39583400000.0,-103459600000.0,-33046200000.0,
Other Operating Expenses,15854000000.0,14336700000.0,13567700000.0,10808600000.0,
Depreciation And Amortization In Income Statement,5123900000.0,4207800000.0,3764700000.0,3339900000.0,
Amortization,144900000.0,107700000.0,44100000.0,50400000.0,
Depreciation Income Statement,4979000000.0,4100100000.0,3720600000.0,3289500000.0,
Research And Development,33000000.0,53400000.0,34400000.0,28100000.0,
Selling General And Administration,17204800000.0,14702700000.0,15737700000.0,13527700000.0,
Selling And Marketing Expense,16126800000.0,13638700000.0,14691100000.0,12475800000.0,
General And Administrative Expense,1078000000.0,1064000000.0,1046600000.0,1051900000.0,
Rent And Landing Fees,348300000.0,302800000.0,278900000.0,266000000.0,
Gross Profit,-10928400000.0,-16977500000.0,-75248600000.0,-11846700000.0,
Cost Of Revenue,245120500000.0,228923500000.0,282063400000.0,178379400000.0,
Total Revenue,234192100000.0,211946000000.0,206814800000.0,166532700000.0,
Operating Revenue,234192100000.0,211946000000.0,206814800000.0,166532700000.0,
