,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,30639421.196715,6134341.828183,-34362156.483458,-3569165.733282
Tax Rate For Calcs,0.226959,0.235936,0.207878,0.176125
Normalized EBITDA,5951200000.0,5200200000.0,3732500000.0,2518887000.0
Total Unusual Items,135000000.0,26000000.0,-165300000.0,-20265000.0
Total Unusual Items Excluding Goodwill,135000000.0,26000000.0,-165300000.0,-20265000.0
Net Income From Continuing Operation Net Minority Interest,4151000000.0,3555800000.0,2375100000.0,1404925000.0
Reconciled Depreciation,607600000.0,509200000.0,490400000.0,485764000.0
Reconciled Cost Of Revenue,11873500000.0,10182700000.0,8357200000.0,6612553000.0
EBITDA,6086200000.0,5226200000.0,3567200000.0,2498622000.0
EBIT,5478600000.0,4717000000.0,3076800000.0,2012858000.0
Net Interest Income,198900000.0,98100000.0,-76900000.0,-362618000.0
Interest Expense,108900000.0,63200000.0,78400000.0,307594000.0
Interest Income,332200000.0,187000000.0,60800000.0,18350000.0
Normalized Income,4046639421.196715,3535934341.828183,2506037843.516542,1421620834.266718
Net Income From Continuing And Discontinued Operation,4151000000.0,3555800000.0,2375100000.0,1404925000.0
Total Expenses,17112700000.0,14740600000.0,11938800000.0,9884237000.0
Rent Expense Supplemental,156000000.0,164000000.0,199100000.0,142302000.0
Diluted Average Shares,224399930.0,224399930.0,224399930.0,224399930.0
Basic Average Shares,224399930.0,224399930.0,224399930.0,224399930.0
Diluted EPS,18.5,7.925,10.585,6.26
Basic EPS,18.5,7.925,10.585,6.26
Diluted NI Availto Com Stockholders,4151000000.0,3555800000.0,2375100000.0,1404925000.0
Net Income Common Stockholders,4151000000.0,3555800000.0,2375100000.0,1404925000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,4151000000.0,3555800000.0,2375100000.0,1404925000.0
Minority Interests,0.0,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,4151000000.0,3555800000.0,2375100000.0,1404925000.0
Net Income Continuous Operations,4151000000.0,3555800000.0,2375100000.0,1404925000.0
Tax Provision,1218700000.0,1098000000.0,623300000.0,300339000.0
Pretax Income,5369700000.0,4653800000.0,2998400000.0,1705264000.0
Other Non Operating Income Expenses,66900000.0,92500000.0,84200000.0,40184000.0
Special Income Charges,24400000.0,10400000.0,-152500000.0,-19077000.0
Other Special Charges,-8100000.0,-64400000.0,14800000.0,45553000.0
Write Off,-16300000.0,54000000.0,137700000.0,-26476000.0
Net Non Operating Interest Income Expense,198900000.0,98100000.0,-76900000.0,-362618000.0
Total Other Finance Cost,24400000.0,25700000.0,59300000.0,73374000.0
Interest Expense Non Operating,108900000.0,63200000.0,78400000.0,307594000.0
Interest Income Non Operating,332200000.0,187000000.0,60800000.0,18350000.0
Operating Income,4857300000.0,4324700000.0,3075000000.0,2044980000.0
Operating Expense,5239200000.0,4557900000.0,3581600000.0,3271684000.0
Other Operating Expenses,2014300000.0,1757900000.0,1160800000.0,1119991000.0
Depreciation And Amortization In Income Statement,607600000.0,509200000.0,490400000.0,485764000.0
Amortization,28700000.0,24400000.0,,
Depreciation Income Statement,578900000.0,484800000.0,490400000.0,485764000.0
Selling General And Administration,665000000.0,542500000.0,509500000.0,426311000.0
Selling And Marketing Expense,491600000.0,375200000.0,370000000.0,296076000.0
General And Administrative Expense,173400000.0,167300000.0,139500000.0,130235000.0
Rent And Landing Fees,156000000.0,164000000.0,199100000.0,142302000.0
Gross Profit,10096500000.0,8882600000.0,6656600000.0,5316664000.0
Cost Of Revenue,11873500000.0,10182700000.0,8357200000.0,6612553000.0
Total Revenue,21970000000.0,19065300000.0,15013800000.0,11929217000.0
Operating Revenue,21970000000.0,19065300000.0,15013800000.0,11929217000.0
