,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,39074912.459049,12990746.203749,29825893.790959,161964000.0
Tax Rate For Calcs,0.101938,0.084337,0.062935,0.3
Normalized EBITDA,10430815000.0,9713126000.0,8767980000.0,9738678000.0
Total Unusual Items,383322000.0,154033000.0,473918000.0,539880000.0
Total Unusual Items Excluding Goodwill,383322000.0,154033000.0,473918000.0,539880000.0
Net Income From Continuing Operation Net Minority Interest,8064681000.0,7235297000.0,6395720000.0,8389850000.0
Reconciled Depreciation,1782140000.0,1859000000.0,2472490000.0,3347779000.0
Reconciled Cost Of Revenue,12167873000.0,11821367000.0,12237710000.0,10730664000.0
EBITDA,10814137000.0,9867159000.0,9241898000.0,10278558000.0
EBIT,9031997000.0,8008100000.0,6769408000.0,6930779000.0
Net Interest Income,106595000.0,25550000.0,27310000.0,227070000.0
Interest Expense,93369000.0,99772000.0,73914000.0,50729000.0
Interest Income,199964000.0,125322000.0,101224000.0,277799000.0
Normalized Income,7720433912.459049,7094254746.203749,5951627893.790959,8011934000.0
Net Income From Continuing And Discontinued Operation,8064681000.0,7235297000.0,6395720000.0,8389850000.0
Total Expenses,29179404000.0,27648265000.0,27465032000.0,25351226000.0
Rent Expense Supplemental,135064000.0,112440000.0,114020000.0,68521000.0
Diluted Average Shares,436500000.0,437265000.0,441150000.0,444377648.0
Basic Average Shares,436500000.0,437265000.0,441150000.0,444377648.0
Diluted EPS,18.48,16.55,14.5,18.88
Basic EPS,18.48,16.55,14.5,18.88
Diluted NI Availto Com Stockholders,8064681000.0,7235297000.0,6395720000.0,8389850000.0
Net Income Common Stockholders,8064681000.0,7235297000.0,6395720000.0,8389850000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,8064681000.0,7235297000.0,6395720000.0,8389850000.0
Minority Interests,37235000.0,-6063000.0,121605000.0,23200000.0
Net Income Including Noncontrolling Interests,8027446000.0,7241360000.0,6274115000.0,8366650000.0
Net Income Continuous Operations,8027446000.0,7241360000.0,6274115000.0,8366650000.0
Tax Provision,911182000.0,666968000.0,421379000.0,-1486600000.0
Pretax Income,8938628000.0,7908328000.0,6695494000.0,6880050000.0
Other Non Operating Income Expenses,82694000.0,115838000.0,101397000.0,82972000.0
Special Income Charges,-2370000.0,-18874000.0,47419000.0,-43687000.0
Other Special Charges,1881000.0,17832000.0,-47419000.0,43687000.0
Write Off,489000.0,1042000.0,0.0,0.0
Restructuring And Mergern Acquisition,0.0,59000000.0,,
Net Non Operating Interest Income Expense,106595000.0,25550000.0,27310000.0,227070000.0
Interest Expense Non Operating,93369000.0,99772000.0,73914000.0,50729000.0
Interest Income Non Operating,199964000.0,125322000.0,101224000.0,277799000.0
Operating Income,8471330000.0,7654416000.0,6155062000.0,6175970000.0
Operating Expense,17011531000.0,15826898000.0,15227322000.0,14620562000.0
Other Operating Expenses,2330067000.0,2338683000.0,2291786000.0,8440086000.0
Depreciation And Amortization In Income Statement,1782140000.0,1859059000.0,2472490000.0,3347779000.0
Amortization,925535000.0,931847000.0,1498920000.0,2405667000.0
Depreciation Income Statement,856605000.0,927212000.0,973570000.0,942112000.0
Selling General And Administration,8550356000.0,7901012000.0,7039384000.0,6373716000.0
Selling And Marketing Expense,8010408000.0,7552985000.0,6558106000.0,6040732000.0
General And Administrative Expense,539948000.0,348027000.0,481278000.0,332984000.0
Rent And Landing Fees,135064000.0,112440000.0,114020000.0,68521000.0
Gross Profit,25482861000.0,23481314000.0,21382384000.0,20796532000.0
Cost Of Revenue,12167873000.0,11821367000.0,12237710000.0,10730664000.0
Total Revenue,37650734000.0,35302681000.0,33620094000.0,31527196000.0
Operating Revenue,37650734000.0,35302681000.0,33620094000.0,31527196000.0
