,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,91456937.0,-568215.0,-63476538.747215,-6565548.23001,
Tax Rate For Calcs,0.2717,0.2745,0.248081,0.277613,
Normalized EBITDA,14618240000.0,12405330000.0,11958350000.0,13522320000.0,
Total Unusual Items,336610000.0,-2070000.0,-255870000.0,-23650000.0,
Total Unusual Items Excluding Goodwill,336610000.0,-2070000.0,-255870000.0,-23650000.0,
Net Income From Continuing Operation Net Minority Interest,6813320000.0,4981830000.0,5320190000.0,6622000000.0,
Reconciled Depreciation,3841280000.0,3124070000.0,2601180000.0,2448550000.0,
Reconciled Cost Of Revenue,33222630000.0,26095770000.0,24080930000.0,23940820000.0,
EBITDA,14954850000.0,12403260000.0,11702480000.0,13498670000.0,
EBIT,11113570000.0,9279190000.0,9101300000.0,11050120000.0,
Net Interest Income,-1614960000.0,-2080150000.0,-1797710000.0,-1512570000.0,
Interest Expense,1400080000.0,2006910000.0,1629150000.0,1324640000.0,
Interest Income,90440000.0,207590000.0,118340000.0,101970000.0,
Normalized Income,6568166937.0,4983331785.0,5512583461.252785,6639084451.76999,
Net Income From Continuing And Discontinued Operation,6813320000.0,4981830000.0,5320190000.0,6622000000.0,
Total Expenses,67235450000.0,56646760000.0,49904500000.0,46787860000.0,
Rent Expense Supplemental,66290000.0,71400000.0,67060000.0,53530000.0,
Diluted Average Shares,180872608.0,180719481.0,180792757.0,180792757.0,
Basic Average Shares,180872608.0,180719481.0,180792757.0,180792757.0,
Diluted EPS,36.43,27.566646,29.427009,36.627574,
Basic EPS,36.43,27.566646,29.427009,36.627574,
Diluted NI Availto Com Stockholders,6813320000.0,4981830000.0,5320190000.0,6622000000.0,
Net Income Common Stockholders,6813320000.0,4981830000.0,5320190000.0,6622000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,6813320000.0,4981830000.0,5320190000.0,6622000000.0,
Minority Interests,-261350000.0,-293920000.0,-298260000.0,-403560000.0,
Net Income Including Noncontrolling Interests,7074670000.0,5275750000.0,5618450000.0,7025560000.0,
Net Income Discontinuous Operations,,,0.0,0.0,-1886580000.0
Net Income Continuous Operations,7074670000.0,5275750000.0,5618450000.0,7025560000.0,
Tax Provision,2638820000.0,1996530000.0,1853700000.0,2699920000.0,
Pretax Income,9713490000.0,7272280000.0,7472150000.0,9725480000.0,
Other Non Operating Income Expenses,141780000.0,133220000.0,149350000.0,164980000.0,
Special Income Charges,278570000.0,-27390000.0,-257080000.0,-23650000.0,
Other Special Charges,-278570000.0,-71920000.0,3330000.0,4080000.0,
Write Off,,385470000.0,253750000.0,19570000.0,25280000.0
Impairment Of Capital Assets,,,0.0,0.0,0.0
Restructuring And Mergern Acquisition,,99310000.0,,,
Net Non Operating Interest Income Expense,-1614960000.0,-2080150000.0,-1797710000.0,-1512570000.0,
Total Other Finance Cost,305320000.0,280830000.0,286900000.0,289900000.0,
Interest Expense Non Operating,1400080000.0,2006910000.0,1629150000.0,1324640000.0,
Interest Income Non Operating,90440000.0,207590000.0,118340000.0,101970000.0,
Operating Income,10847260000.0,9173160000.0,9406260000.0,10874180000.0,
Operating Expense,34012820000.0,30550990000.0,25823570000.0,22847040000.0,
Other Operating Expenses,8138820000.0,7455890000.0,6077230000.0,5387780000.0,
Depreciation And Amortization In Income Statement,3841280000.0,3124070000.0,2601180000.0,2448550000.0,
Amortization,997790000.0,627780000.0,523240000.0,533650000.0,
Depreciation Income Statement,2843490000.0,2496290000.0,2077940000.0,1914900000.0,
Selling General And Administration,8376320000.0,7737520000.0,6448170000.0,5725400000.0,
Selling And Marketing Expense,5927740000.0,5165770000.0,4145240000.0,3973630000.0,
General And Administrative Expense,2448580000.0,2571750000.0,2302930000.0,1751770000.0,
Rent And Landing Fees,66290000.0,71400000.0,67060000.0,53530000.0,
Gross Profit,44860080000.0,39724150000.0,35229830000.0,33721220000.0,
Cost Of Revenue,33222630000.0,26095770000.0,24080930000.0,23940820000.0,
Total Revenue,78082710000.0,65819920000.0,59310760000.0,57662040000.0,
Operating Revenue,78082710000.0,65819920000.0,59310760000.0,57662040000.0,
