,2025-09-30,2024-09-30
Tax Effect Of Unusual Items,-74224537.815126,0.0
Tax Rate For Calcs,0.260437,0.255768
Normalized EBITDA,16472000000.0,8706000000.0
Total Unusual Items,-285000000.0,
Total Unusual Items Excluding Goodwill,-285000000.0,
Net Income From Continuing Operation Net Minority Interest,11001000000.0,6000000000.0
Reconciled Depreciation,1030000000.0,460000000.0
Reconciled Cost Of Revenue,45842000000.0,29270000000.0
EBITDA,16187000000.0,8706000000.0
EBIT,15157000000.0,8246000000.0
Net Interest Income,607000000.0,-184000000.0
Interest Expense,282000000.0,184000000.0
Interest Income,999000000.0,
Normalized Income,11211775462.184874,6000000000.0
Net Income From Continuing And Discontinued Operation,11001000000.0,6000000000.0
Total Expenses,63596000000.0,35158000000.0
Rent Expense Supplemental,358000000.0,
Diluted Average Shares,,356120505.0
Basic Average Shares,,356120505.0
Diluted EPS,,16.84823
Basic EPS,,16.84823
Diluted NI Availto Com Stockholders,11001000000.0,6000000000.0
Net Income Common Stockholders,11001000000.0,6000000000.0
Otherunder Preferred Stock Dividend,0.0,0.0
Net Income,11001000000.0,6000000000.0
Net Income Including Noncontrolling Interests,11001000000.0,6000000000.0
Net Income Continuous Operations,11001000000.0,6000000000.0
Tax Provision,3874000000.0,2062000000.0
Pretax Income,14875000000.0,8062000000.0
Other Non Operating Income Expenses,1107000000.0,-4192000000.0
Special Income Charges,-359000000.0,
Other Special Charges,75000000.0,
Write Off,284000000.0,
Net Non Operating Interest Income Expense,607000000.0,-184000000.0
Total Other Finance Cost,110000000.0,
Interest Expense Non Operating,282000000.0,184000000.0
Interest Income Non Operating,999000000.0,
Operating Income,14229000000.0,12438000000.0
Operating Expense,17754000000.0,5888000000.0
Other Operating Expenses,5597000000.0,
Depreciation And Amortization In Income Statement,1030000000.0,460000000.0
Amortization,1000000.0,
Depreciation Income Statement,1029000000.0,460000000.0
Research And Development,15000000.0,
Selling General And Administration,1342000000.0,
Selling And Marketing Expense,121000000.0,
General And Administrative Expense,1221000000.0,
Rent And Landing Fees,358000000.0,
Gross Profit,31983000000.0,18326000000.0
Cost Of Revenue,45842000000.0,29270000000.0
Total Revenue,77825000000.0,47596000000.0
Operating Revenue,77825000000.0,47596000000.0
