,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,1290243902.439024,1290000000.0,56354679.802956,177600000.0,
Tax Rate For Calcs,0.243902,0.3,0.04335,0.3,
Normalized EBITDA,11820000000.0,4560000000.0,-6620000000.0,-11192000000.0,
Total Unusual Items,5290000000.0,4300000000.0,1300000000.0,592000000.0,
Total Unusual Items Excluding Goodwill,5290000000.0,4300000000.0,1300000000.0,592000000.0,
Net Income From Continuing Operation Net Minority Interest,5270000000.0,3510000000.0,-9710000000.0,-12087000000.0,
Reconciled Depreciation,8630000000.0,5260000000.0,4370000000.0,1503000000.0,
Reconciled Cost Of Revenue,55650000000.0,28820000000.0,13950000000.0,5802000000.0,
EBITDA,17110000000.0,8860000000.0,-5320000000.0,-10600000000.0,
EBIT,8480000000.0,3600000000.0,-9690000000.0,-12103000000.0,
Net Interest Income,1410000000.0,1850000000.0,3880000000.0,3842000000.0,
Interest Expense,1510000000.0,690000000.0,460000000.0,102000000.0,
Interest Income,4680000000.0,3690000000.0,5290000000.0,3966000000.0,
Normalized Income,1270243902.439024,500000000.0,-10953645320.197044,-12501400000.0,
Net Income From Continuing And Discontinued Operation,5270000000.0,3510000000.0,-9710000000.0,-12087000000.0,
Total Expenses,202330000000.0,124670000000.0,86200000000.0,61661000000.0,
Rent Expense Supplemental,680000000.0,440000000.0,420000000.0,96000000.0,
Diluted Average Shares,9135875433.0,8755246830.0,8101158888.0,7227673482.0,
Basic Average Shares,8828694006.0,8493497136.0,8101158888.0,7227673482.0,
Diluted EPS,0.58,0.4,-1.2,-1.67,
Basic EPS,0.6,0.41,-1.2,-1.67,
Diluted NI Availto Com Stockholders,5270000000.0,3510000000.0,-9710000000.0,-12087000000.0,
Net Income Common Stockholders,5270000000.0,3510000000.0,-9710000000.0,-12087000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,5270000000.0,3510000000.0,-9710000000.0,-12087000000.0,
Minority Interests,0.0,0.0,0.0,138000000.0,
Net Income Including Noncontrolling Interests,5270000000.0,3510000000.0,-9710000000.0,-12225000000.0,
Net Income Continuous Operations,5270000000.0,3510000000.0,-9710000000.0,-12225000000.0,
Tax Provision,1700000000.0,-600000000.0,-440000000.0,20000000.0,
Pretax Income,6970000000.0,2910000000.0,-10150000000.0,-12205000000.0,
Other Non Operating Income Expenses,180000000.0,280000000.0,500000000.0,385000000.0,
Special Income Charges,-620000000.0,-190000000.0,390000000.0,6000000.0,
Other Special Charges,110000000.0,10000000.0,-90000000.0,-12000000.0,
Write Off,510000000.0,180000000.0,-300000000.0,4000000.0,
Impairment Of Capital Assets,,,0.0,2000000.0,7000000.0
Net Non Operating Interest Income Expense,1410000000.0,1850000000.0,3880000000.0,3842000000.0,
Total Other Finance Cost,1760000000.0,1150000000.0,950000000.0,22000000.0,
Interest Expense Non Operating,1510000000.0,690000000.0,460000000.0,102000000.0,
Interest Income Non Operating,4680000000.0,3690000000.0,5290000000.0,3966000000.0,
Operating Income,100000000.0,-3530000000.0,-15850000000.0,-20465000000.0,
Operating Expense,146680000000.0,95850000000.0,72250000000.0,55859000000.0,
Other Operating Expenses,83760000000.0,54320000000.0,36990000000.0,24520000000.0,
Depreciation And Amortization In Income Statement,8630000000.0,5260000000.0,4370000000.0,1503000000.0,
Amortization,2870000000.0,2420000000.0,2560000000.0,1075000000.0,
Depreciation Income Statement,5760000000.0,2840000000.0,1810000000.0,428000000.0,
Selling General And Administration,28030000000.0,19240000000.0,16260000000.0,14137000000.0,
Selling And Marketing Expense,22970000000.0,16020000000.0,13420000000.0,12168000000.0,
General And Administrative Expense,5060000000.0,3220000000.0,2840000000.0,1969000000.0,
Rent And Landing Fees,680000000.0,440000000.0,420000000.0,96000000.0,
Gross Profit,146780000000.0,92320000000.0,56400000000.0,35394000000.0,
Cost Of Revenue,55650000000.0,28820000000.0,13950000000.0,5802000000.0,
Total Revenue,202430000000.0,121140000000.0,70350000000.0,41196000000.0,
Operating Revenue,202430000000.0,121140000000.0,70350000000.0,41196000000.0,
