,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,58309582.122269,-729541200.0,0.0,0.0,
Tax Rate For Calcs,0.232759,0.3,0.0,0.0,
Normalized EBITDA,3079231000.0,5556730000.0,8794969000.0,7047470000.0,
Total Unusual Items,250515000.0,-2431804000.0,82324000.0,-892566000.0,
Total Unusual Items Excluding Goodwill,250515000.0,-2431804000.0,82324000.0,-892566000.0,
Net Income From Continuing Operation Net Minority Interest,412320000.0,1282749000.0,6128321000.0,3463755000.0,
Reconciled Depreciation,366181000.0,265729000.0,301112000.0,271871000.0,
Reconciled Cost Of Revenue,29199180000.0,33647826000.0,37840140000.0,28114459000.0,
EBITDA,3329746000.0,3124926000.0,8877293000.0,6154904000.0,
EBIT,2963565000.0,2859197000.0,8576181000.0,5883033000.0,
Net Interest Income,-424436000.0,-551242000.0,-1327378000.0,-1520113000.0,
Interest Expense,2426159000.0,2440689000.0,2447860000.0,2419278000.0,
Interest Income,2004206000.0,1891701000.0,1122671000.0,899196000.0,
Normalized Income,220114582.122269,2985011800.0,6045997000.0,4356321000.0,
Net Income From Continuing And Discontinued Operation,412320000.0,1282749000.0,6128321000.0,3463755000.0,
Total Expenses,23765195000.0,26131734000.0,24038280000.0,21328654000.0,
Rent Expense Supplemental,116567000.0,93789000.0,44553000.0,43627000.0,
Diluted Average Shares,647071974.0,647071974.0,647071974.0,647430841.0,
Basic Average Shares,647071974.0,647071974.0,647071974.0,647430841.0,
Diluted EPS,0.64,1.98,9.47,5.35,
Basic EPS,0.64,1.98,9.47,5.35,
Diluted NI Availto Com Stockholders,412320000.0,1282749000.0,6128321000.0,3463755000.0,
Net Income Common Stockholders,412320000.0,1282749000.0,6128321000.0,3463755000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,412320000.0,1282749000.0,6128321000.0,3463755000.0,
Net Income Including Noncontrolling Interests,412320000.0,1282749000.0,6128321000.0,3463755000.0,
Net Income Discontinuous Operations,0.0,0.0,0.0,0.0,
Net Income Continuous Operations,412320000.0,1282749000.0,6128321000.0,3463755000.0,
Tax Provision,125086000.0,864241000.0,0.0,0.0,
Pretax Income,537406000.0,418508000.0,6128321000.0,3463755000.0,
Other Non Operating Income Expenses,150369000.0,102106000.0,139882000.0,187563000.0,
Special Income Charges,250515000.0,-2431804000.0,82324000.0,-892566000.0,
Other Special Charges,-250515000.0,2431804000.0,-83828000.0,890678000.0,
Write Off,,0.0,1504000.0,1888000.0,0.0
Net Non Operating Interest Income Expense,-424436000.0,-551242000.0,-1327378000.0,-1520113000.0,
Total Other Finance Cost,2483000.0,2254000.0,2189000.0,31000.0,
Interest Expense Non Operating,2426159000.0,2440689000.0,2447860000.0,2419278000.0,
Interest Income Non Operating,2004206000.0,1891701000.0,1122671000.0,899196000.0,
Operating Income,631013000.0,3258253000.0,7517086000.0,5861520000.0,
Operating Expense,11189400000.0,-7516092000.0,-13801860000.0,-6785805000.0,
Other Operating Expenses,4649679000.0,7307545000.0,10681759000.0,5283609000.0,
Depreciation And Amortization In Income Statement,366181000.0,265729000.0,301112000.0,271871000.0,
Amortization,1139000.0,3212000.0,4059000.0,,
Depreciation Income Statement,365042000.0,262517000.0,297053000.0,271871000.0,
Research And Development,,5763000.0,3567000.0,7597000.0,5926000.0
Selling General And Administration,2586174000.0,2879932000.0,2502292000.0,2157069000.0,
Selling And Marketing Expense,2544439000.0,2843034000.0,2465581000.0,2128606000.0,
General And Administrative Expense,41735000.0,36898000.0,36711000.0,28463000.0,
Rent And Landing Fees,116567000.0,93789000.0,44553000.0,43627000.0,
Gross Profit,-4802972000.0,-4257839000.0,-6284774000.0,-924285000.0,
Cost Of Revenue,29199180000.0,33647826000.0,37840140000.0,28114459000.0,
Total Revenue,24396208000.0,29389987000.0,31555366000.0,27190174000.0,
Operating Revenue,24396208000.0,29389987000.0,31555366000.0,27190174000.0,
