,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-148659000.0,0.0,45072251.729053,0.0,
Tax Rate For Calcs,0.3,4e-05,0.082902,0.3,
Normalized EBITDA,3743030000.0,1584450000.0,-2162690000.0,1020640000.0,
Total Unusual Items,-495530000.0,0.0,543680000.0,,0.0
Total Unusual Items Excluding Goodwill,-495530000.0,0.0,543680000.0,,0.0
Net Income From Continuing Operation Net Minority Interest,-1914670000.0,-2742770000.0,-4414060000.0,-949720000.0,
Reconciled Depreciation,4045670000.0,3708730000.0,2942830000.0,1108880000.0,
Reconciled Cost Of Revenue,48024860000.0,41662260000.0,35297260000.0,24070720000.0,
EBITDA,3247500000.0,1584450000.0,-1619010000.0,1020640000.0,
EBIT,-798170000.0,-2124280000.0,-4582500000.0,-320380000.0,
Net Interest Income,-662850000.0,-634570000.0,-720980000.0,-424360000.0,
Interest Expense,1521780000.0,1090920000.0,720980000.0,424360000.0,
Interest Income,920410000.0,519060000.0,,,1030340000.0
Normalized Income,-1567799000.0,-2742770000.0,-4912667748.270947,-949720000.0,
Net Income From Continuing And Discontinued Operation,-1914670000.0,-2742770000.0,-4414060000.0,-949720000.0,
Total Expenses,76426640000.0,66258930000.0,58736210000.0,37509120000.0,
Rent Expense Supplemental,727870000.0,800510000.0,,,33270000.0
Diluted Average Shares,509421770.0,519184169.0,519184169.0,519184169.0,
Basic Average Shares,465884309.0,442543130.0,519184169.0,519184169.0,
Diluted EPS,-4.11,-6.2,-8.501916,-1.829255,
Basic EPS,-4.11,-6.2,-8.501916,-1.829255,
Diluted NI Availto Com Stockholders,-1914670000.0,-2742770000.0,-4414060000.0,-949720000.0,
Net Income Common Stockholders,-1914670000.0,-2742770000.0,-4414060000.0,-949720000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,-1914670000.0,-2742770000.0,-4414060000.0,-949720000.0,
Minority Interests,733400000.0,472300000.0,449750000.0,67560000.0,
Net Income Including Noncontrolling Interests,-2648070000.0,-3215070000.0,-4863810000.0,-1017280000.0,
Net Income Continuous Operations,-2648070000.0,-3215070000.0,-4863810000.0,-1017280000.0,
Tax Provision,328120000.0,-130000.0,-439670000.0,272540000.0,
Pretax Income,-2319950000.0,-3215200000.0,-5303480000.0,-744740000.0,
Other Non Operating Income Expenses,584360000.0,423190000.0,988140000.0,1213700000.0,
Special Income Charges,-495530000.0,0.0,543680000.0,,0.0
Other Special Charges,153330000.0,,,,
Write Off,107010000.0,0.0,,,
Impairment Of Capital Assets,235190000.0,0.0,,,
Restructuring And Mergern Acquisition,,0.0,-543680000.0,,0.0
Net Non Operating Interest Income Expense,-662850000.0,-634570000.0,-720980000.0,-424360000.0,
Total Other Finance Cost,61480000.0,62710000.0,,,
Interest Expense Non Operating,1521780000.0,1090920000.0,720980000.0,424360000.0,
Interest Income Non Operating,920410000.0,519060000.0,,,1030340000.0
Operating Income,-1745930000.0,-3003820000.0,-6114310000.0,-1534080000.0,
Operating Expense,28401780000.0,24596670000.0,23438950000.0,13438400000.0,
Other Operating Expenses,4469210000.0,3715080000.0,12753480000.0,8419900000.0,
Depreciation And Amortization In Income Statement,4045670000.0,3708730000.0,2963490000.0,1341020000.0,
Amortization,1055730000.0,1087030000.0,,,63390000.0
Depreciation Income Statement,2989940000.0,2621700000.0,2963490000.0,1341020000.0,
Selling General And Administration,13790080000.0,11061010000.0,,,2268320000.0
Selling And Marketing Expense,6471000000.0,4821820000.0,,,1640180000.0
General And Administrative Expense,7319080000.0,6239190000.0,,,628140000.0
Rent And Landing Fees,727870000.0,800510000.0,,,33270000.0
Gross Profit,26655850000.0,21592850000.0,17324640000.0,11904320000.0,
Cost Of Revenue,48024860000.0,41662260000.0,35297260000.0,24070720000.0,
Total Revenue,74680710000.0,63255110000.0,52621900000.0,35975040000.0,
Operating Revenue,74680710000.0,63255110000.0,52621900000.0,35975040000.0,
