,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,40727817.597801,-19967379.724075,5184121.030256,0.0
Tax Rate For Calcs,0.234203,0.269102,0.258689,0.257678
Normalized EBITDA,11762600000.0,10121600000.0,21173999000.0,13290300000.0
Total Unusual Items,173900000.0,-74200000.0,20040000.0,148886000.0
Total Unusual Items Excluding Goodwill,173900000.0,-74200000.0,20040000.0,148886000.0
Net Income From Continuing Operation Net Minority Interest,5460600000.0,4349500000.0,13288124000.0,7871800000.0
Reconciled Depreciation,3546800000.0,2861100000.0,2360524000.0,2054400000.0
Reconciled Cost Of Revenue,16740300000.0,15764200000.0,17311419000.0,12145700000.0
EBITDA,11936500000.0,10047400000.0,21194039000.0,13290300000.0
EBIT,8389700000.0,7186300000.0,18833515000.0,11235900000.0
Net Interest Income,-1061300000.0,-961000000.0,-373117000.0,-784100000.0
Interest Expense,1260400000.0,1235400000.0,986143000.0,784100000.0
Interest Income,201700000.0,276500000.0,631363000.0,817303000.0
Normalized Income,5327427817.597801,4403732620.275925,13273268121.030256,7871800000.0
Net Income From Continuing And Discontinued Operation,5460600000.0,4349500000.0,13288124000.0,7871800000.0
Total Expenses,38688800000.0,35642900000.0,38645887000.0,29905400000.0
Rent Expense Supplemental,430700000.0,432500000.0,435068000.0,225683000.0
Diluted Average Shares,109850000.0,109850000.0,109850000.0,111451225.0
Basic Average Shares,109850000.0,109850000.0,109850000.0,111451225.0
Diluted EPS,49.709604,39.59,120.966081,70.63
Basic EPS,49.709604,39.59,120.966081,70.63
Diluted NI Availto Com Stockholders,5460600000.0,4349500000.0,13288124000.0,7871800000.0
Net Income Common Stockholders,5460600000.0,4349500000.0,13288124000.0,7871800000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,5460600000.0,4349500000.0,13288124000.0,7871800000.0
Minority Interests,1000000.0,0.0,57665000.0,113200000.0
Net Income Including Noncontrolling Interests,5459600000.0,4349500000.0,13230459000.0,7758600000.0
Net Income Continuous Operations,5459600000.0,4349500000.0,13230459000.0,7758600000.0
Tax Provision,1669700000.0,1601400000.0,4616913000.0,2693200000.0
Pretax Income,7129300000.0,5950900000.0,17847372000.0,10451800000.0
Other Non Operating Income Expenses,188000000.0,311700000.0,237752000.0,1314400000.0
Special Income Charges,-3200000.0,-74000000.0,26338000.0,137972000.0
Other Special Charges,-5300000.0,74000000.0,-26338000.0,-137972000.0
Write Off,8500000.0,0.0,,
Net Non Operating Interest Income Expense,-1061300000.0,-961000000.0,-373117000.0,-784100000.0
Total Other Finance Cost,2600000.0,2100000.0,18337000.0,16506000.0
Interest Expense Non Operating,1260400000.0,1235400000.0,986143000.0,784100000.0
Interest Income Non Operating,201700000.0,276500000.0,631363000.0,817303000.0
Operating Income,7457900000.0,6293800000.0,17296516000.0,9630500000.0
Operating Expense,21948500000.0,19878700000.0,21334468000.0,17759700000.0
Other Operating Expenses,11512800000.0,10738600000.0,12748288000.0,13050700000.0
Depreciation And Amortization In Income Statement,3546800000.0,2861000000.0,2360524000.0,2054400000.0
Amortization,66700000.0,61800000.0,57432000.0,54600000.0
Depreciation Income Statement,3480100000.0,2799200000.0,2303092000.0,2054400000.0
Selling General And Administration,2634000000.0,2575900000.0,2811829000.0,2181935000.0
Selling And Marketing Expense,1722100000.0,1600600000.0,1857950000.0,1449641000.0
General And Administrative Expense,911900000.0,975300000.0,953879000.0,732294000.0
Rent And Landing Fees,407600000.0,413500000.0,435068000.0,225683000.0
Gross Profit,29406400000.0,26172500000.0,38630984000.0,27390200000.0
Cost Of Revenue,16740300000.0,15764200000.0,17311419000.0,12145700000.0
Total Revenue,46146700000.0,41936700000.0,55942403000.0,39535900000.0
Operating Revenue,46146700000.0,41936700000.0,55942403000.0,39535900000.0
