,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-187990970.73633,38990803.277938,191908219.241333,630282948.775186
Tax Rate For Calcs,0.196279,0.247967,0.222072,0.200288
Normalized EBITDA,16432652000.0,12927871000.0,11513871000.0,11012143000.0
Total Unusual Items,-957772000.0,157242000.0,864170000.0,3146889000.0
Total Unusual Items Excluding Goodwill,-957772000.0,157242000.0,864170000.0,3146889000.0
Net Income From Continuing Operation Net Minority Interest,7742152000.0,5988755000.0,5887308000.0,5551185000.0
Reconciled Depreciation,3856148000.0,3424975000.0,3157360000.0,3008422000.0
Reconciled Cost Of Revenue,35388080000.0,31554304000.0,28390241000.0,25192764000.0
EBITDA,15474880000.0,13085113000.0,12378041000.0,14159032000.0
EBIT,11618732000.0,9660138000.0,9220681000.0,11150610000.0
Net Interest Income,-1245803000.0,-1010513000.0,-1052629000.0,-1252975000.0
Interest Expense,1548259000.0,1080475000.0,1083885000.0,1272741000.0
Interest Income,598345000.0,298938000.0,238293000.0,215477000.0
Normalized Income,8511933029.26367,5870503803.277938,5215046219.241333,3034578948.775186
Net Income From Continuing And Discontinued Operation,7742152000.0,5988755000.0,5887308000.0,5551185000.0
Total Expenses,65311714000.0,59228076000.0,54429138000.0,48949325000.0
Rent Expense Supplemental,732002000.0,714893000.0,764539000.0,645423000.0
Diluted Average Shares,754958148.0,754958148.0,754958148.0,754958148.0
Basic Average Shares,754958148.0,754958148.0,754958148.0,754958148.0
Diluted EPS,10.26,7.93,7.8,7.35
Basic EPS,10.26,7.93,7.8,7.35
Diluted NI Availto Com Stockholders,7742152000.0,5988755000.0,5887308000.0,5551185000.0
Net Income Common Stockholders,7742152000.0,5988755000.0,5887308000.0,5551185000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,7742152000.0,5988755000.0,5887308000.0,5551185000.0
Minority Interests,-351694000.0,-463436000.0,-442531000.0,-2348269000.0
Net Income Including Noncontrolling Interests,8093846000.0,6452191000.0,6329839000.0,7899454000.0
Net Income Discontinuous Operations,0.0,0.0,0.0,0.0
Net Income Continuous Operations,8093846000.0,6452191000.0,6329839000.0,7899454000.0
Tax Provision,1976627000.0,2127472000.0,1806957000.0,1978415000.0
Pretax Income,10070473000.0,8579663000.0,8136796000.0,9877869000.0
Other Non Operating Income Expenses,239151000.0,218676000.0,249863000.0,289438000.0
Special Income Charges,-960356000.0,149600000.0,838575000.0,3147582000.0
Other Special Charges,-278394000.0,-104399000.0,-164739000.0,-3185023000.0
Write Off,743455000.0,-88897000.0,-673836000.0,37441000.0
Impairment Of Capital Assets,393784000.0,0.0,,
Restructuring And Mergern Acquisition,101511000.0,43696000.0,0.0,
Net Non Operating Interest Income Expense,-1245803000.0,-1010513000.0,-1052629000.0,-1252975000.0
Total Other Finance Cost,295889000.0,228976000.0,207037000.0,195711000.0
Interest Expense Non Operating,1548259000.0,1080475000.0,1083885000.0,1272741000.0
Interest Income Non Operating,598345000.0,298938000.0,238293000.0,215477000.0
Operating Income,11927208000.0,9122791000.0,7702411000.0,7437146000.0
Operating Expense,29923634000.0,27673772000.0,26038897000.0,23756561000.0
Other Operating Expenses,7845590000.0,7335344000.0,7035243000.0,6460170000.0
Depreciation And Amortization In Income Statement,3856148000.0,3424975000.0,3157360000.0,3008422000.0
Amortization,412853000.0,428617000.0,384779000.0,293678000.0
Depreciation Income Statement,3443295000.0,2996358000.0,2772581000.0,2714744000.0
Selling General And Administration,4763946000.0,3973941000.0,3564323000.0,2951268000.0
Selling And Marketing Expense,3420038000.0,2702487000.0,2319938000.0,1619164000.0
General And Administrative Expense,1343908000.0,1271454000.0,1244385000.0,1332104000.0
Rent And Landing Fees,732002000.0,714893000.0,764539000.0,645423000.0
Gross Profit,41850842000.0,36796563000.0,33741308000.0,31193707000.0
Cost Of Revenue,35388080000.0,31554304000.0,28390241000.0,25192764000.0
Total Revenue,77238922000.0,68350867000.0,62131549000.0,56386471000.0
Operating Revenue,77238922000.0,68350867000.0,62131549000.0,56386471000.0
