,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,21034295.5049,1131837.852861,6655609.859968,4659660.810291,
Tax Rate For Calcs,0.197394,0.182554,0.164988,0.170871,
Normalized EBITDA,12332760000.0,9926640000.0,9533210000.0,9576860000.0,
Total Unusual Items,106560000.0,6200000.0,40340000.0,27270000.0,
Total Unusual Items Excluding Goodwill,106560000.0,6200000.0,40340000.0,27270000.0,
Net Income From Continuing Operation Net Minority Interest,5944550000.0,5147290000.0,5137200000.0,5373740000.0,
Reconciled Depreciation,3270350000.0,2602240000.0,2631700000.0,2493730000.0,
Reconciled Cost Of Revenue,47637620000.0,37891650000.0,37414810000.0,38154700000.0,
EBITDA,12439320000.0,9932840000.0,9573550000.0,9604130000.0,
EBIT,8885270000.0,7330600000.0,6941850000.0,7110400000.0,
Net Interest Income,-1813480000.0,-1405990000.0,-1092180000.0,-860290000.0,
Interest Expense,1478760000.0,1033850000.0,789700000.0,639390000.0,
Interest Income,26840000.0,9880000.0,10340000.0,4740000.0,
Normalized Income,5859024295.5049,5142221837.852861,5103515609.859968,5351129660.810291,
Net Income From Continuing And Discontinued Operation,5944550000.0,5147290000.0,5137200000.0,5373740000.0,
Total Expenses,70837290000.0,55981100000.0,53913100000.0,51326910000.0,
Rent Expense Supplemental,1161790000.0,1220110000.0,1042330000.0,855550000.0,
Diluted Average Shares,705666630.0,701621410.0,701660739.0,705501744.0,
Basic Average Shares,688845126.0,684300932.0,680585300.0,680124130.0,
Diluted EPS,8.42,7.34,7.32,7.62,
Basic EPS,8.63,7.52,7.55,7.9,
Diluted NI Availto Com Stockholders,5944550000.0,5147290000.0,5137200000.0,5373740000.0,
Net Income Common Stockholders,5944550000.0,5147290000.0,5137200000.0,5373740000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,5944550000.0,5147290000.0,5137200000.0,5373740000.0,
Minority Interests,40000.0,40000.0,80000.0,8440000.0,
Net Income Including Noncontrolling Interests,5944510000.0,5147250000.0,5137120000.0,5365300000.0,
Net Income Continuous Operations,5944510000.0,5147250000.0,5137120000.0,5365300000.0,
Tax Provision,1462000000.0,1149500000.0,1015030000.0,1105710000.0,
Pretax Income,7406510000.0,6296750000.0,6152150000.0,6471010000.0,
Other Non Operating Income Expenses,9010000.0,335280000.0,1285030000.0,780000.0,
Special Income Charges,38110000.0,-55910000.0,-7200000.0,-3100000.0,
Other Special Charges,329630000.0,55910000.0,7200000.0,3100000.0,
Write Off,,,,,32750000.0
Impairment Of Capital Assets,283700000.0,,,,
Restructuring And Mergern Acquisition,-651440000.0,,,,
Net Non Operating Interest Income Expense,-1813480000.0,-1405990000.0,-1092180000.0,-860290000.0,
Total Other Finance Cost,361560000.0,382020000.0,312820000.0,225640000.0,
Interest Expense Non Operating,1478760000.0,1033850000.0,789700000.0,639390000.0,
Interest Income Non Operating,26840000.0,9880000.0,10340000.0,4740000.0,
Operating Income,8883710000.0,7344180000.0,5946170000.0,7330490000.0,
Operating Expense,23199670000.0,18089450000.0,16498290000.0,13172210000.0,
Other Operating Expenses,10820040000.0,8664550000.0,8094580000.0,6649130000.0,
Depreciation And Amortization In Income Statement,3554050000.0,2602240000.0,2631700000.0,2493730000.0,
Amortization,793390000.0,461960000.0,464360000.0,358300000.0,
Depreciation Income Statement,2760660000.0,2140280000.0,2167340000.0,2135430000.0,
Selling General And Administration,5063630000.0,3926510000.0,3312730000.0,1996470000.0,
Selling And Marketing Expense,884270000.0,683440000.0,407460000.0,586440000.0,
General And Administrative Expense,4179360000.0,3243070000.0,2905270000.0,1410030000.0,
Rent And Landing Fees,1161790000.0,1220110000.0,1042330000.0,855550000.0,
Gross Profit,32083380000.0,25433630000.0,22444460000.0,20502700000.0,
Cost Of Revenue,47637620000.0,37891650000.0,37414810000.0,38154700000.0,
Total Revenue,79721000000.0,63325280000.0,59859270000.0,58657400000.0,
Operating Revenue,79721000000.0,63325280000.0,59859270000.0,58657400000.0,
