,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,5847721859.325986,-336743827.9128,86200913.265292,-456935421.495235
Tax Rate For Calcs,0.225693,0.213751,0.228832,0.204345
Normalized EBITDA,182681900000.0,171905100000.0,103855000000.0,183094900000.0
Total Unusual Items,25910100000.0,-1575400000.0,376700000.0,-2236100000.0
Total Unusual Items Excluding Goodwill,25910100000.0,-1575400000.0,376700000.0,-2236100000.0
Net Income From Continuing Operation Net Minority Interest,124498000000.0,98992200000.0,56160000000.0,122560700000.0
Reconciled Depreciation,40105430000.0,37114800000.0,27959900000.0,24218700000.0
Reconciled Cost Of Revenue,1223716700000.0,1146753900000.0,1348377200000.0,739220100000.0
EBITDA,208592000000.0,170329700000.0,104231700000.0,180858800000.0
EBIT,168486500000.0,133214900000.0,76271800000.0,156640100000.0
Net Interest Income,-3442900000.0,-3529200000.0,-426700000.0,591500000.0
Interest Expense,7531400000.0,7264800000.0,3708000000.0,2004900000.0
Interest Income,4088500000.0,3735600000.0,3281300000.0,2596400000.0
Normalized Income,104435621859.32599,100230856172.0872,55869500913.26529,124339864578.50476
Net Income From Continuing And Discontinued Operation,124498000000.0,98992200000.0,56160000000.0,122560700000.0
Total Expenses,1297348200000.0,1217808000000.0,1403458300000.0,793929800000.0
Rent Expense Supplemental,1526700000.0,1230000000.0,1273000000.0,1146800000.0
Diluted Average Shares,6575100000.0,6575100000.0,6594100000.0,6660577838.0
Basic Average Shares,6575100000.0,6575100000.0,6594100000.0,6660577838.0
Diluted EPS,18.93,15.06,8.52,18.4
Basic EPS,18.93,15.06,8.52,18.4
Diluted NI Availto Com Stockholders,124498000000.0,98992200000.0,56160000000.0,122560700000.0
Net Income Common Stockholders,124498000000.0,98992200000.0,56160000000.0,122560700000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,124498000000.0,98992200000.0,56160000000.0,122560700000.0
Minority Interests,-130700000.0,-35900000.0,201100000.0,-475600000.0
Net Income Including Noncontrolling Interests,124628700000.0,99028100000.0,55958900000.0,123036300000.0
Net Income Continuous Operations,124628700000.0,99028100000.0,55958900000.0,123036300000.0
Tax Provision,36326400000.0,26922000000.0,16604900000.0,31598900000.0
Pretax Income,160955100000.0,125950100000.0,72563800000.0,154635200000.0
Other Non Operating Income Expenses,615400000.0,445700000.0,491300000.0,499800000.0
Special Income Charges,25735900000.0,-1633900000.0,-902500000.0,-119400000.0
Other Special Charges,-23684800000.0,272700000.0,213300000.0,120800000.0
Write Off,29000000.0,2800000.0,502600000.0,6900000.0
Impairment Of Capital Assets,-2080100000.0,1358400000.0,186600000.0,-8300000.0
Net Non Operating Interest Income Expense,-3442900000.0,-3529200000.0,-426700000.0,591500000.0
Interest Expense Non Operating,7531400000.0,7264800000.0,3708000000.0,2004900000.0
Interest Income Non Operating,4088500000.0,3735600000.0,3281300000.0,2596400000.0
Operating Income,118266600000.0,110777600000.0,49787400000.0,131390700000.0
Operating Expense,73631500000.0,71054100000.0,55081100000.0,54709700000.0
Other Operating Expenses,9784700000.0,10876700000.0,8635900000.0,10709400000.0
Depreciation And Amortization In Income Statement,40105500000.0,37114800000.0,27959900000.0,24218700000.0
Depreciation Income Statement,40105500000.0,37114800000.0,27959900000.0,24218700000.0
Research And Development,162000000.0,203600000.0,123900000.0,117300000.0
Selling General And Administration,5826100000.0,4522400000.0,3442100000.0,3695200000.0
Selling And Marketing Expense,3022900000.0,2405400000.0,1401100000.0,1704300000.0
General And Administrative Expense,2803200000.0,2117000000.0,2041000000.0,1990900000.0
Rent And Landing Fees,1526700000.0,1230000000.0,1273000000.0,1146800000.0
Gross Profit,191898100000.0,181831700000.0,104868500000.0,186100400000.0
Cost Of Revenue,1223716700000.0,1146753900000.0,1348377200000.0,739220100000.0
Total Revenue,1415614800000.0,1328585600000.0,1453245700000.0,925320500000.0
Operating Revenue,1415614800000.0,1328585600000.0,1453245700000.0,925320500000.0
