,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,221084327.433592,168503403.38037,922800000.0,438960000.0
Tax Rate For Calcs,0.047703,0.029766,0.3,0.3
Normalized EBITDA,30295000000.0,30999300000.0,32358500000.0,14528700000.0
Total Unusual Items,4634600000.0,5661000000.0,3076000000.0,1463200000.0
Total Unusual Items Excluding Goodwill,4634600000.0,5661000000.0,3076000000.0,1463200000.0
Net Income From Continuing Operation Net Minority Interest,23442600000.0,26141800000.0,25750100000.0,6296800000.0
Reconciled Depreciation,8132300000.0,7260700000.0,7120500000.0,6979300000.0
Reconciled Cost Of Revenue,30553700000.0,27727300000.0,29789700000.0,25048400000.0
EBITDA,34929600000.0,36660300000.0,35434500000.0,15991900000.0
EBIT,26797300000.0,29399600000.0,28314000000.0,9012600000.0
Net Interest Income,269000000.0,-400700000.0,-2066300000.0,-2670700000.0
Interest Expense,2180400000.0,2455800000.0,2778600000.0,2815800000.0
Interest Income,2512900000.0,2118000000.0,787300000.0,217500000.0
Normalized Income,19029084327.433594,20649303403.38037,23596900000.0,5272560000.0
Net Income From Continuing And Discontinued Operation,23442600000.0,26141800000.0,25750100000.0,6296800000.0
Total Expenses,34315800000.0,30688700000.0,32754700000.0,27469100000.0
Rent Expense Supplemental,20600000.0,13900000.0,9800000.0,7000000.0
Diluted Average Shares,143058656.0,143057730.0,143055720.0,146745900.0
Basic Average Shares,142767161.0,142767161.0,142767161.0,146460377.0
Diluted EPS,163.87,182.74,180.0,42.91
Basic EPS,164.2,183.11,180.36,42.99
Diluted NI Availto Com Stockholders,23442600000.0,26141800000.0,25750100000.0,6296800000.0
Net Income Common Stockholders,23442600000.0,26141800000.0,25750100000.0,6296800000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,23442600000.0,26141800000.0,25750100000.0,6296800000.0
Minority Interests,0.0,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,23442600000.0,26141800000.0,25750100000.0,6296800000.0
Net Income Continuous Operations,23442600000.0,26141800000.0,25750100000.0,6296800000.0
Tax Provision,1174300000.0,802000000.0,-214700000.0,-100000000.0
Pretax Income,24616900000.0,26943800000.0,25535400000.0,6196800000.0
Other Non Operating Income Expenses,27500000.0,14200000.0,31400000.0,186900000.0
Special Income Charges,4274200000.0,2518400000.0,1619300000.0,317300000.0
Other Special Charges,-4902400000.0,-2401800000.0,-1619300000.0,-405600000.0
Write Off,17600000.0,13700000.0,0.0,10900000.0
Impairment Of Capital Assets,610600000.0,-130300000.0,0.0,77400000.0
Net Non Operating Interest Income Expense,269000000.0,-400700000.0,-2066300000.0,-2670700000.0
Total Other Finance Cost,63500000.0,62900000.0,75000000.0,72400000.0
Interest Expense Non Operating,2180400000.0,2455800000.0,2778600000.0,2815800000.0
Interest Income Non Operating,2512900000.0,2118000000.0,787300000.0,217500000.0
Operating Income,18544300000.0,21067500000.0,23848000000.0,7251000000.0
Operating Expense,3762100000.0,2961400000.0,2965000000.0,2420700000.0
Other Operating Expenses,2905200000.0,2444400000.0,2439700000.0,1991900000.0
Selling General And Administration,855100000.0,801000000.0,698000000.0,529800000.0
General And Administrative Expense,855100000.0,801000000.0,698000000.0,529800000.0
Gross Profit,22306400000.0,24028900000.0,26813000000.0,9671700000.0
Cost Of Revenue,30553700000.0,27727300000.0,29789700000.0,25048400000.0
Total Revenue,52860100000.0,51756200000.0,56602700000.0,34720100000.0
Operating Revenue,52860100000.0,51756200000.0,56602700000.0,34720100000.0
