,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-1872168.617135,-89386.504074,197341.45304,-638700.0
Tax Rate For Calcs,0.234021,0.178773,0.181047,0.3
Total Unusual Items,-8000000.0,-500000.0,1090000.0,-2129000.0
Total Unusual Items Excluding Goodwill,-8000000.0,-500000.0,1090000.0,-2129000.0
Net Income From Continuing Operation Net Minority Interest,74318500000.0,66858300000.0,69073065000.0,23862785000.0
Reconciled Depreciation,145600000.0,118600000.0,96913000.0,137481000.0
EBIT,91754300000.0,80087200000.0,81119272000.0,38173971000.0
Net Interest Income,-687000000.0,-790500000.0,-587962000.0,-627479000.0
Interest Expense,707800000.0,838100000.0,807499000.0,627479000.0
Interest Income,82701300000.0,73790100000.0,62146215000.0,50614627000.0
Normalized Income,74324627831.38286,66858710613.495926,69072172341.45303,23864275300.0
Net Income From Continuing And Discontinued Operation,74318500000.0,66858300000.0,69073065000.0,23862785000.0
Total Expenses,417286400000.0,398230200000.0,403110102000.0,477326028000.0
Rent Expense Supplemental,84100000.0,63500000.0,52360000.0,60973000.0
Diluted Average Shares,1754400000.0,1754400000.0,1754400000.0,1754400000.0
Basic Average Shares,1754400000.0,1754400000.0,1754400000.0,1754400000.0
Diluted EPS,42.36,38.11,39.37,13.6
Basic EPS,42.36,38.11,39.37,13.6
Diluted NI Availto Com Stockholders,74318500000.0,66858300000.0,69073065000.0,23862785000.0
Net Income Common Stockholders,74318500000.0,66858300000.0,69073065000.0,23862785000.0
Net Income,74318500000.0,66858300000.0,69073065000.0,23862785000.0
Net Income Including Noncontrolling Interests,74318500000.0,66858800000.0,69073065000.0,23862785000.0
Net Income Continuous Operations,74318500000.0,66858800000.0,69073065000.0,23862785000.0
Tax Provision,21306800000.0,14167600000.0,14540222000.0,15558874000.0
Pretax Income,91046500000.0,79249100000.0,80311773000.0,37546492000.0
Other Income Expense,2015400000.0,1436100000.0,9227881000.0,5346123000.0
Special Income Charges,-8000000.0,-500000.0,1090000.0,-2129000.0
Other Special Charges,3600000.0,500000.0,-1090000.0,2069000.0
Write Off,4400000.0,0.0,0.0,60000.0
Net Non Operating Interest Income Expense,-687000000.0,-790500000.0,-587962000.0,-627479000.0
Interest Expense Non Operating,707800000.0,838100000.0,807499000.0,627479000.0
Interest Income Non Operating,20800000.0,47600000.0,219537000.0,0.0
Other Operating Expenses,3762900000.0,7507800000.0,3987994000.0,16867665000.0
Depreciation And Amortization In Income Statement,145600000.0,118600000.0,96913000.0,137481000.0
Depreciation Income Statement,145600000.0,118600000.0,96913000.0,137481000.0
Selling General And Administration,359300000.0,233600000.0,286343000.0,216971000.0
Selling And Marketing Expense,31800000.0,27200000.0,60438000.0,44691000.0
General And Administrative Expense,327500000.0,206400000.0,225905000.0,172280000.0
Rent And Landing Fees,84100000.0,63500000.0,52360000.0,60973000.0
Total Revenue,507023400000.0,465495600000.0,483421876000.0,514872520000.0
Operating Revenue,507023400000.0,465495600000.0,483421876000.0,514872520000.0
Net Policyholder Benefits And Claims,263421300000.0,269019300000.0,266745083000.0,313043917000.0
