,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,7796425.0,-12334520.0,-118545800.0,10088682.0
Tax Rate For Calcs,0.3427,0.3179,0.2594,0.2514
Normalized EBITDA,14756560000.0,15027780000.0,12533050000.0,17282370000.0
Total Unusual Items,22750000.0,-38800000.0,-457000000.0,40130000.0
Total Unusual Items Excluding Goodwill,22750000.0,-38800000.0,-457000000.0,40130000.0
Net Income From Continuing Operation Net Minority Interest,6985260000.0,7724600000.0,7810430000.0,12116640000.0
Reconciled Depreciation,3778740000.0,3445660000.0,1467360000.0,1102960000.0
Reconciled Cost Of Revenue,20903810000.0,21730880000.0,16854270000.0,21092170000.0
EBITDA,14779310000.0,14988980000.0,12076050000.0,17322500000.0
EBIT,11000570000.0,11543320000.0,10608690000.0,16219540000.0
Net Interest Income,1622780000.0,1244050000.0,1719700000.0,1334030000.0
Interest Expense,373990000.0,217900000.0,62870000.0,34020000.0
Interest Income,2042780000.0,1506050000.0,1794170000.0,1386450000.0
Normalized Income,6970306425.0,7751065480.0,8148884200.0,12086598682.0
Net Income From Continuing And Discontinued Operation,6985260000.0,7724600000.0,7810430000.0,12116640000.0
Total Expenses,46936240000.0,46456400000.0,27217450000.0,29837690000.0
Rent Expense Supplemental,104340000.0,99240000.0,14160000.0,11180000.0
Diluted Average Shares,164745847.0,164733251.0,164679737.0,164537783.0
Basic Average Shares,164744598.0,164702188.0,164636953.0,164153034.0
Diluted EPS,42.4,46.89,47.43,73.64
Basic EPS,42.4,46.9,47.44,73.81
Diluted NI Availto Com Stockholders,6985260000.0,7724600000.0,7810430000.0,12116640000.0
Net Income Common Stockholders,6985260000.0,7724600000.0,7810430000.0,12116640000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,6985260000.0,7724600000.0,7810430000.0,12116640000.0
Minority Interests,0.0,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,6985260000.0,7724600000.0,7810430000.0,12116640000.0
Net Income Continuous Operations,6985260000.0,7724600000.0,7810430000.0,12116640000.0
Tax Provision,3641320000.0,3600820000.0,2735390000.0,4068880000.0
Pretax Income,10626580000.0,11325420000.0,10545820000.0,16185520000.0
Other Non Operating Income Expenses,78400000.0,53200000.0,10530000.0,15550000.0
Special Income Charges,10480000.0,-42280000.0,-485480000.0,-4760000.0
Other Special Charges,-67240000.0,-33570000.0,400120000.0,1340000.0
Write Off,56760000.0,75850000.0,85360000.0,3420000.0
Net Non Operating Interest Income Expense,1622780000.0,1244050000.0,1719700000.0,1334030000.0
Total Other Finance Cost,46010000.0,44100000.0,11600000.0,18400000.0
Interest Expense Non Operating,373990000.0,217900000.0,62870000.0,34020000.0
Interest Income Non Operating,2042780000.0,1506050000.0,1794170000.0,1386450000.0
Operating Income,8900020000.0,9960920000.0,8701140000.0,14003760000.0
Operating Expense,26032430000.0,24725520000.0,10363180000.0,8745520000.0
Other Operating Expenses,6650910000.0,6822200000.0,3851760000.0,3273380000.0
Depreciation And Amortization In Income Statement,3778740000.0,3445660000.0,1467360000.0,1102960000.0
Amortization,185590000.0,186880000.0,8740000.0,4470000.0
Depreciation Income Statement,3593150000.0,3258780000.0,1458620000.0,1098490000.0
Research And Development,332840000.0,320320000.0,403770000.0,426560000.0
Selling General And Administration,1411210000.0,1699070000.0,755640000.0,711410000.0
Selling And Marketing Expense,274820000.0,374640000.0,270320000.0,409810000.0
General And Administrative Expense,1136390000.0,1324430000.0,485320000.0,301600000.0
Rent And Landing Fees,104340000.0,99240000.0,14160000.0,11180000.0
Gross Profit,34932450000.0,34686440000.0,19064320000.0,22749280000.0
Cost Of Revenue,20903810000.0,21730880000.0,16854270000.0,21092170000.0
Total Revenue,55836260000.0,56417320000.0,35918590000.0,43841450000.0
Operating Revenue,55836260000.0,56417320000.0,35918590000.0,43841450000.0
