,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,185057980.8,-260405379.810458,81578185.6,37477800.0,
Tax Rate For Calcs,0.2541,0.277175,0.2734,0.3,
Normalized EBITDA,12551558000.0,9816160000.0,8741410000.0,8367376000.0,
Total Unusual Items,728288000.0,-939498000.0,298384000.0,124926000.0,
Total Unusual Items Excluding Goodwill,728288000.0,-939498000.0,298384000.0,124926000.0,
Net Income From Continuing Operation Net Minority Interest,9275829000.0,5899610000.0,6076422000.0,3807689000.0,
Reconciled Depreciation,667925000.0,696796000.0,657672000.0,681860000.0,
Reconciled Cost Of Revenue,14730341000.0,14198485000.0,13587230000.0,14496539000.0,
EBITDA,13279846000.0,8876662000.0,9039794000.0,8492302000.0,
EBIT,12611921000.0,8179866000.0,8382122000.0,7810442000.0,
Net Interest Income,700656000.0,660516000.0,679997000.0,691567000.0,
Interest Expense,13137000.0,17987000.0,18122000.0,19961000.0,
Interest Income,713793000.0,678503000.0,698119000.0,711528000.0,
Normalized Income,8732598980.8,6578702620.189542,5859616185.6,3720240800.0,
Net Income From Continuing And Discontinued Operation,9275829000.0,5899610000.0,6106868000.0,16947193000.0,
Total Expenses,26116850000.0,26032852000.0,24779523000.0,25652469000.0,
Rent Expense Supplemental,19768000.0,20052000.0,20979000.0,18129000.0,
Diluted Average Shares,169406034.0,169406034.0,169406034.0,169406034.0,
Basic Average Shares,169406034.0,169406034.0,169406034.0,169406034.0,
Diluted EPS,54.76,34.83,36.05,100.04,
Basic EPS,54.76,34.83,36.05,100.04,
Diluted NI Availto Com Stockholders,9275829000.0,5899610000.0,6106868000.0,16947193000.0,
Net Income Common Stockholders,9275829000.0,5899610000.0,6106868000.0,16947193000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,9275829000.0,5899610000.0,6106868000.0,16947193000.0,
Net Income Including Noncontrolling Interests,9275829000.0,5899610000.0,6106868000.0,16947193000.0,
Net Income Discontinuous Operations,,0.0,30446000.0,13139504000.0,708784000.0
Net Income Continuous Operations,9275829000.0,5899610000.0,6076422000.0,3807689000.0,
Tax Provision,3322955000.0,2262269000.0,2287578000.0,3982792000.0,
Pretax Income,12598784000.0,8161879000.0,8364000000.0,7790481000.0,
Other Non Operating Income Expenses,49006000.0,50778000.0,428000.0,37001000.0,
Special Income Charges,31792000.0,-1427260000.0,-9401000.0,119003000.0,
Other Special Charges,-31792000.0,-205767000.0,-104294000.0,-317238000.0,
Write Off,,,0.0,14402000.0,0.0
Impairment Of Capital Assets,,,0.0,-17010000.0,2090000000.0
Restructuring And Mergern Acquisition,0.0,1633027000.0,113695000.0,200843000.0,
Net Non Operating Interest Income Expense,700656000.0,660516000.0,679997000.0,691567000.0,
Interest Expense Non Operating,13137000.0,17987000.0,18122000.0,19961000.0,
Interest Income Non Operating,713793000.0,678503000.0,698119000.0,711528000.0,
Operating Income,11143497000.0,8384856000.0,7484264000.0,6988343000.0,
Operating Expense,11386509000.0,11834367000.0,11192293000.0,11155930000.0,
Other Operating Expenses,2724866000.0,2687260000.0,2728963000.0,2106625000.0,
Depreciation And Amortization In Income Statement,667925000.0,696796000.0,657672000.0,681860000.0,
Amortization,102221000.0,105370000.0,96942000.0,94696000.0,
Depreciation Income Statement,565704000.0,591426000.0,560730000.0,587164000.0,
Selling General And Administration,2392796000.0,2284033000.0,2070773000.0,2372233000.0,
Selling And Marketing Expense,1875968000.0,1797739000.0,1662579000.0,1831034000.0,
General And Administrative Expense,516828000.0,486294000.0,408194000.0,541199000.0,
Rent And Landing Fees,19768000.0,20052000.0,20979000.0,18129000.0,
Gross Profit,22530006000.0,20219223000.0,18676557000.0,18144273000.0,
Cost Of Revenue,14730341000.0,14198485000.0,13587230000.0,14496539000.0,
Total Revenue,37260347000.0,34417708000.0,32263787000.0,32640812000.0,
Operating Revenue,37260347000.0,34417708000.0,32263787000.0,32640812000.0,
