,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,18536281.227296,1612800.0,441180.0,1018200.0,
Tax Rate For Calcs,0.233454,0.252,0.27,0.3,
Normalized EBITDA,9842600000.0,8798500000.0,17302175000.0,8771019000.0,
Total Unusual Items,79400000.0,6400000.0,1634000.0,3394000.0,
Total Unusual Items Excluding Goodwill,79400000.0,6400000.0,1634000.0,3394000.0,
Net Income From Continuing Operation Net Minority Interest,6857900000.0,5973600000.0,12044468000.0,4459017000.0,
Reconciled Depreciation,953700000.0,797800000.0,813010000.0,979834000.0,
Reconciled Cost Of Revenue,18766100000.0,15306300000.0,18458272000.0,17822751000.0,
EBITDA,9922000000.0,8804900000.0,17303809000.0,8774413000.0,
EBIT,8968300000.0,8007100000.0,16490799000.0,7794579000.0,
Net Interest Income,2855300000.0,2045700000.0,3616755000.0,1231556000.0,
Interest Expense,21800000.0,25900000.0,23848000.0,32974000.0,
Interest Income,2877100000.0,2075000000.0,3640603000.0,1264530000.0,
Normalized Income,6797036281.227296,5968812800.0,12043275180.0,4456641200.0,
Net Income From Continuing And Discontinued Operation,6857900000.0,5973600000.0,12044468000.0,4459017000.0,
Total Expenses,22852600000.0,19263900000.0,22371918000.0,21046338000.0,
Rent Expense Supplemental,,116400000.0,115036000.0,101689000.0,93254000.0
Diluted Average Shares,318000000.0,318000000.0,318000000.0,318000000.0,
Basic Average Shares,318000000.0,318000000.0,318000000.0,318000000.0,
Diluted EPS,21.57,18.78,37.88,14.02,
Basic EPS,21.57,18.78,37.88,14.02,
Diluted NI Availto Com Stockholders,6857900000.0,5973600000.0,12044468000.0,4459017000.0,
Net Income Common Stockholders,6857900000.0,5973600000.0,12044468000.0,4459017000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,6857900000.0,5973600000.0,12044468000.0,4459017000.0,
Net Income Including Noncontrolling Interests,6857900000.0,5973600000.0,12044468000.0,4459017000.0,
Net Income Continuous Operations,6857900000.0,5973600000.0,12044468000.0,4459017000.0,
Tax Provision,2088600000.0,2007600000.0,4446892000.0,3317408000.0,
Pretax Income,8946500000.0,7981200000.0,16466951000.0,7761605000.0,
Other Non Operating Income Expenses,244200000.0,292400000.0,132438000.0,153011000.0,
Special Income Charges,79400000.0,4000000.0,1634000.0,3394000.0,
Other Special Charges,,-4000000.0,-1634000.0,-3394000.0,-902000.0
Impairment Of Capital Assets,,,,0.0,3965949000.0
Net Non Operating Interest Income Expense,2855300000.0,2045700000.0,3616755000.0,1231556000.0,
Total Other Finance Cost,,3400000.0,,,6000.0
Interest Expense Non Operating,21800000.0,25900000.0,23848000.0,32974000.0,
Interest Income Non Operating,2877100000.0,2075000000.0,3640603000.0,1264530000.0,
Operating Income,5655800000.0,5364900000.0,12606881000.0,6274456000.0,
Operating Expense,4086500000.0,3957600000.0,3913646000.0,3223587000.0,
Other Operating Expenses,-195900000.0,-50900000.0,-18793000.0,3377000.0,
Depreciation And Amortization In Income Statement,953700000.0,797800000.0,813010000.0,979834000.0,
Amortization,241800000.0,111000000.0,135993000.0,307754000.0,
Depreciation Income Statement,711900000.0,686800000.0,813010000.0,672080000.0,
Selling General And Administration,1725500000.0,1625900000.0,1451522000.0,836967000.0,
Selling And Marketing Expense,58800000.0,110600000.0,158344000.0,16174000.0,
General And Administrative Expense,1666700000.0,1515300000.0,1293178000.0,820793000.0,
Rent And Landing Fees,119300000.0,114800000.0,114955000.0,100817000.0,
Gross Profit,9742300000.0,9322500000.0,16520527000.0,9498043000.0,
Cost Of Revenue,18766100000.0,15306300000.0,18458272000.0,17822751000.0,
Total Revenue,28508400000.0,24628800000.0,34978799000.0,27320794000.0,
Operating Revenue,28508400000.0,24628800000.0,34978799000.0,27320794000.0,
