,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0
Total Unusual Items,-2800000.0,1200000.0,-370000.0,-2110000.0
Total Unusual Items Excluding Goodwill,-2800000.0,1200000.0,-370000.0,-2110000.0
Net Income From Continuing Operation Net Minority Interest,4249400000.0,1816800000.0,355470000.0,-2958510000.0
Reconciled Depreciation,203100000.0,178300000.0,151420000.0,124490000.0
EBIT,4942000000.0,2209300000.0,570350000.0,-2834760000.0
Net Interest Income,-692600000.0,-388900000.0,-212460000.0,-123750000.0
Interest Expense,692600000.0,392500000.0,214880000.0,123750000.0
Interest Income,13262700000.0,9944800000.0,7099880000.0,4239710000.0
Normalized Income,4252200000.0,1815600000.0,355840000.0,-2956400000.0
Net Income From Continuing And Discontinued Operation,4249400000.0,1816800000.0,355470000.0,-2958510000.0
Total Expenses,92906100000.0,84839000000.0,59621930000.0,41668340000.0
Rent Expense Supplemental,222700000.0,284600000.0,295490000.0,121790000.0
Diluted Average Shares,919562651.0,917202340.0,917202340.0,917202340.0
Basic Average Shares,914253089.0,917202340.0,917202340.0,917202340.0
Diluted EPS,4.62,1.980806,0.387559,-3.225581
Basic EPS,4.65,1.980806,0.387559,-3.225581
Diluted NI Availto Com Stockholders,4249400000.0,1816800000.0,355470000.0,-2958510000.0
Net Income Common Stockholders,4249400000.0,1816800000.0,355470000.0,-2958510000.0
Net Income,4249400000.0,1816800000.0,355470000.0,-2958510000.0
Net Income Including Noncontrolling Interests,4249400000.0,1816800000.0,355470000.0,-2958510000.0
Net Income Continuous Operations,4249400000.0,1816800000.0,355470000.0,-2958510000.0
Tax Provision,0.0,0.0,0.0,0.0
Pretax Income,4249400000.0,1816800000.0,355470000.0,-2958510000.0
Other Income Expense,3244600000.0,4675500000.0,50000.0,30000.0
Special Income Charges,-2800000.0,1200000.0,-370000.0,-2110000.0
Other Special Charges,2800000.0,-1200000.0,370000.0,2110000.0
Net Non Operating Interest Income Expense,-692600000.0,-388900000.0,-212460000.0,-123750000.0
Interest Expense Non Operating,692600000.0,392500000.0,214880000.0,123750000.0
Interest Income Non Operating,0.0,3600000.0,2420000.0,0.0
Other Operating Expenses,3764700000.0,4772200000.0,78670000.0,25890000.0
Depreciation And Amortization In Income Statement,203100000.0,178300000.0,151420000.0,124490000.0
Depreciation Income Statement,203100000.0,178300000.0,151420000.0,124490000.0
Selling General And Administration,2781600000.0,6002200000.0,17298080000.0,10057970000.0
Selling And Marketing Expense,2671700000.0,5138200000.0,11501550000.0,6645360000.0
General And Administrative Expense,109900000.0,864000000.0,5796530000.0,3412610000.0
Rent And Landing Fees,222700000.0,284600000.0,295490000.0,121790000.0
Total Revenue,97155500000.0,86655800000.0,59977400000.0,38709830000.0
Operating Revenue,97155500000.0,86655800000.0,59977400000.0,38709830000.0
Net Policyholder Benefits And Claims,39607200000.0,34577900000.0,19378810000.0,10099040000.0
