,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-41201720.0,-67922200.0,84577800.0,-44217750.0,
Tax Rate For Calcs,0.2716,0.2395,0.219,0.2175,
Normalized EBITDA,9270700000.0,8219700000.0,6220800000.0,7971000000.0,
Total Unusual Items,-151700000.0,-283600000.0,386200000.0,-203300000.0,
Total Unusual Items Excluding Goodwill,-151700000.0,-283600000.0,386200000.0,-203300000.0,
Net Income From Continuing Operation Net Minority Interest,4297200000.0,3596700000.0,3019100000.0,4025900000.0,
Reconciled Depreciation,2261000000.0,2142900000.0,1854700000.0,1733400000.0,
Reconciled Cost Of Revenue,72601100000.0,75580700000.0,76994400000.0,65656100000.0,
EBITDA,9119000000.0,7936100000.0,6607000000.0,7767700000.0,
EBIT,6858000000.0,5793200000.0,4752300000.0,6034300000.0,
Net Interest Income,-1201800000.0,-975800000.0,-878200000.0,-589100000.0,
Interest Expense,1320000000.0,1066700000.0,975500000.0,618600000.0,
Interest Income,131700000.0,102900000.0,113000000.0,41700000.0,
Normalized Income,4407698280.0,3812377800.0,2717477800.0,4184982250.0,
Net Income From Continuing And Discontinued Operation,4297200000.0,3596700000.0,3019100000.0,4025900000.0,
Total Expenses,87451000000.0,90076000000.0,89292000000.0,77003700000.0,
Rent Expense Supplemental,304700000.0,207900000.0,211500000.0,117400000.0,
Diluted Average Shares,192334977.0,192275897.0,192223342.0,192177391.0,
Basic Average Shares,192255956.0,192204919.0,192154441.0,192104728.0,
Diluted EPS,22.34,18.71,15.71,20.95,
Basic EPS,22.35,18.71,15.71,20.96,
Diluted NI Availto Com Stockholders,4297200000.0,3596700000.0,3019100000.0,4025900000.0,
Net Income Common Stockholders,4297200000.0,3596700000.0,3019100000.0,4025900000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,4297200000.0,3596700000.0,3019100000.0,4025900000.0,
Minority Interests,263500000.0,2200000.0,65500000.0,-165600000.0,
Net Income Including Noncontrolling Interests,4033700000.0,3594500000.0,2953600000.0,4191500000.0,
Net Income Continuous Operations,4033700000.0,3594500000.0,2953600000.0,4191500000.0,
Tax Provision,1504300000.0,1132000000.0,823200000.0,1224200000.0,
Pretax Income,5538000000.0,4726500000.0,3776800000.0,5415700000.0,
Other Non Operating Income Expenses,253100000.0,237100000.0,187700000.0,190800000.0,
Special Income Charges,-151700000.0,-284300000.0,385900000.0,-203300000.0,
Other Special Charges,17800000.0,12200000.0,-735000000.0,147600000.0,
Write Off,123800000.0,272100000.0,349100000.0,476500000.0,
Impairment Of Capital Assets,10100000.0,0.0,,,
Restructuring And Mergern Acquisition,,,0.0,-420800000.0,0.0
Net Non Operating Interest Income Expense,-1201800000.0,-975800000.0,-878200000.0,-589100000.0,
Total Other Finance Cost,13500000.0,12000000.0,15700000.0,12200000.0,
Interest Expense Non Operating,1320000000.0,1066700000.0,975500000.0,618600000.0,
Interest Income Non Operating,131700000.0,102900000.0,113000000.0,41700000.0,
Operating Income,6110500000.0,5188500000.0,3711500000.0,5450300000.0,
Operating Expense,14849900000.0,14495300000.0,12297600000.0,11347600000.0,
Other Operating Expenses,4519500000.0,4418900000.0,3940500000.0,3577600000.0,
Depreciation And Amortization In Income Statement,2261000000.0,2142900000.0,1854700000.0,1733400000.0,
Amortization,41200000.0,42400000.0,50100000.0,36000000.0,
Depreciation Income Statement,2219800000.0,2100500000.0,1804600000.0,1697400000.0,
Research And Development,151900000.0,66300000.0,72200000.0,38700000.0,
Selling General And Administration,2563000000.0,2553300000.0,2376600000.0,2117400000.0,
Selling And Marketing Expense,2450900000.0,2432600000.0,2231200000.0,1989900000.0,
General And Administrative Expense,112100000.0,120700000.0,145400000.0,127500000.0,
Rent And Landing Fees,304700000.0,207900000.0,211500000.0,117400000.0,
Gross Profit,20960400000.0,19683800000.0,16009100000.0,16797900000.0,
Cost Of Revenue,72601100000.0,75580700000.0,76994400000.0,65656100000.0,
Total Revenue,93561500000.0,95264500000.0,93003500000.0,82454000000.0,
Operating Revenue,93561500000.0,95264500000.0,93003500000.0,82454000000.0,
