,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-142513918.611919,-7324140000.0,-169648311.319295,-38096979.482754,
Tax Rate For Calcs,0.306745,0.3,0.201746,0.172541,
Normalized EBITDA,32634600000.0,17380900000.0,25541300000.0,23994800000.0,
Total Unusual Items,-464600000.0,-10506300000.0,-780600000.0,381100000.0,
Total Unusual Items Excluding Goodwill,-464600000.0,-24413800000.0,-840900000.0,-220800000.0,
Net Income From Continuing Operation Net Minority Interest,18523000000.0,-5605500000.0,17024600000.0,17833900000.0,
Reconciled Depreciation,2340000000.0,2409600000.0,2362900000.0,2099300000.0,
Reconciled Cost Of Revenue,68716500000.0,66331800000.0,70439400000.0,64118200000.0,
EBITDA,32170000000.0,6874600000.0,24760700000.0,24375900000.0,
EBIT,29830000000.0,4465000000.0,22397800000.0,22276600000.0,
Net Interest Income,-830300000.0,-975600000.0,-126400000.0,-430200000.0,
Interest Expense,3111100000.0,2482700000.0,1070500000.0,724000000.0,
Interest Income,2506300000.0,1869300000.0,1219500000.0,605600000.0,
Normalized Income,18845086081.38808,25391660000.0,17756151688.680706,18618503020.517246,
Net Income From Continuing And Discontinued Operation,18523000000.0,-5605500000.0,17024600000.0,17833900000.0,
Total Expenses,114990400000.0,111259200000.0,108776700000.0,98751500000.0,
Rent Expense Supplemental,565400000.0,634300000.0,605500000.0,667200000.0,
Diluted Average Shares,1023362784.0,1023178732.0,1022865713.0,1022664446.0,
Basic Average Shares,1022919401.0,1022765649.0,1022636084.0,1022545027.0,
Diluted EPS,18.11,-5.48,16.65,17.44,
Basic EPS,18.11,-5.48,16.65,17.44,
Diluted NI Availto Com Stockholders,18523000000.0,-5605500000.0,17024600000.0,17833900000.0,
Net Income Common Stockholders,18523000000.0,-5605500000.0,17024600000.0,17833900000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,18523000000.0,-5605500000.0,17024600000.0,17833900000.0,
Minority Interests,0.0,0.0,0.0,0.0,
Net Income Including Noncontrolling Interests,18523000000.0,-5605500000.0,17024600000.0,17833900000.0,
Net Income Continuous Operations,18523000000.0,-5605500000.0,17024600000.0,17833900000.0,
Tax Provision,8195900000.0,7587800000.0,4302700000.0,3718700000.0,
Pretax Income,26718900000.0,1982300000.0,21327300000.0,21552600000.0,
Other Non Operating Income Expenses,156200000.0,160200000.0,171500000.0,176300000.0,
Special Income Charges,-735900000.0,-25005500000.0,-1121600000.0,-336000000.0,
Other Special Charges,56500000.0,9460200000.0,714200000.0,-345200000.0,
Write Off,47600000.0,47900000.0,54000000.0,32000000.0,
Impairment Of Capital Assets,,13908000000.0,60000000.0,621600000.0,616800000.0
Restructuring And Mergern Acquisition,631800000.0,1589900000.0,293100000.0,47300000.0,
Net Non Operating Interest Income Expense,-830300000.0,-975600000.0,-126400000.0,-430200000.0,
Total Other Finance Cost,225500000.0,362200000.0,275400000.0,311800000.0,
Interest Expense Non Operating,3111100000.0,2482700000.0,1070500000.0,724000000.0,
Interest Income Non Operating,2506300000.0,1869300000.0,1219500000.0,605600000.0,
Operating Income,27857700000.0,28481400000.0,23210100000.0,22990700000.0,
Operating Expense,46273900000.0,44927400000.0,38337300000.0,34633300000.0,
Other Operating Expenses,6323000000.0,6201900000.0,5920500000.0,5234300000.0,
Depreciation And Amortization In Income Statement,2340000000.0,2409600000.0,2362900000.0,2099300000.0,
Amortization,117900000.0,269600000.0,299300000.0,317300000.0,
Depreciation Income Statement,2222100000.0,2140000000.0,2063600000.0,1782000000.0,
Selling General And Administration,26352500000.0,24408700000.0,19506500000.0,16613900000.0,
Selling And Marketing Expense,24860900000.0,23036500000.0,18183700000.0,15574100000.0,
General And Administrative Expense,1491600000.0,1372200000.0,1322800000.0,1039800000.0,
Rent And Landing Fees,565400000.0,634300000.0,605500000.0,667200000.0,
Gross Profit,74131600000.0,73408800000.0,61547400000.0,57624000000.0,
Cost Of Revenue,68716500000.0,66331800000.0,70439400000.0,64118200000.0,
Total Revenue,142848100000.0,139740600000.0,131986800000.0,121742200000.0,
Operating Revenue,142848100000.0,139740600000.0,131986800000.0,121742200000.0,
