,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,2854545681.551616,2553225598.274646,345771025.479299,337983372.064007,
Tax Rate For Calcs,0.210321,0.382896,0.154673,0.226091,
Normalized EBITDA,31680600000.0,17193200000.0,25744700000.0,19959400000.0,
Total Unusual Items,13572300000.0,6668200000.0,2235500000.0,1494900000.0,
Total Unusual Items Excluding Goodwill,13572300000.0,6668200000.0,2235500000.0,1494900000.0,
Net Income From Continuing Operation Net Minority Interest,9813800000.0,599700000.0,9747800000.0,6537300000.0,
Reconciled Depreciation,4301800000.0,3707500000.0,3045200000.0,3401600000.0,
Reconciled Cost Of Revenue,127678400000.0,114733200000.0,121895600000.0,106117000000.0,
EBITDA,45252900000.0,23861400000.0,27980200000.0,21454300000.0,
EBIT,40951000000.0,20153900000.0,24935000000.0,18052700000.0,
Net Interest Income,-12245500000.0,-7624800000.0,-3172000000.0,-11200000.0,
Interest Expense,17419400000.0,10509500000.0,8129200000.0,5229100000.0,
Interest Income,7960600000.0,6208500000.0,6354800000.0,6220200000.0,
Normalized Income,-903954318.448384,-3515274401.725354,7858071025.479299,5380383372.064007,
Net Income From Continuing And Discontinued Operation,9813800000.0,599700000.0,9747800000.0,6537300000.0,
Total Expenses,178643400000.0,156095600000.0,154598600000.0,133300600000.0,
Rent Expense Supplemental,457500000.0,296800000.0,251100000.0,139500000.0,
Diluted Average Shares,336851890.0,336806014.0,336740889.0,336690820.0,
Basic Average Shares,336731601.0,336676501.0,336624771.0,336567373.0,
Diluted EPS,29.13,1.78,28.95,19.42,
Basic EPS,29.14,1.78,28.96,19.42,
Diluted NI Availto Com Stockholders,9813800000.0,599700000.0,9747800000.0,6537300000.0,
Net Income Common Stockholders,9813800000.0,599700000.0,9747800000.0,6537300000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,9813800000.0,599700000.0,9747800000.0,6537300000.0,
Minority Interests,-8768600000.0,-5351900000.0,-4458600000.0,-3387000000.0,
Net Income Including Noncontrolling Interests,18582400000.0,5951600000.0,14206400000.0,9924300000.0,
Net Income Discontinuous Operations,,,,0.0,12700000.0
Net Income Continuous Operations,18582400000.0,5951600000.0,14206400000.0,9924300000.0,
Tax Provision,4949200000.0,3692800000.0,2599400000.0,2899300000.0,
Pretax Income,23531600000.0,9644400000.0,16805800000.0,12823600000.0,
Other Non Operating Income Expenses,1190400000.0,1741600000.0,1292900000.0,849500000.0,
Special Income Charges,9073800000.0,4479900000.0,369500000.0,-184400000.0,
Other Special Charges,19200000.0,3800000.0,-718600000.0,136400000.0,
Write Off,210500000.0,487000000.0,349100000.0,468800000.0,
Impairment Of Capital Assets,,,0.0,0.0,0.0
Restructuring And Mergern Acquisition,-9303500000.0,-4970700000.0,0.0,-420800000.0,
Net Non Operating Interest Income Expense,-12245500000.0,-7624800000.0,-3172000000.0,-11200000.0,
Total Other Finance Cost,2786700000.0,3323800000.0,1397600000.0,1002300000.0,
Interest Expense Non Operating,17419400000.0,10509500000.0,8129200000.0,5229100000.0,
Interest Income Non Operating,7960600000.0,6208500000.0,6354800000.0,6220200000.0,
Operating Income,17285300000.0,9359000000.0,12487900000.0,7674000000.0,
Operating Expense,50965000000.0,41362400000.0,32703000000.0,27183600000.0,
Other Operating Expenses,20221000000.0,18430400000.0,15359600000.0,13196800000.0,
Depreciation And Amortization In Income Statement,4301900000.0,3707500000.0,3045200000.0,3401600000.0,
Amortization,256900000.0,204500000.0,170400000.0,101100000.0,
Depreciation Income Statement,4045000000.0,3503000000.0,2874800000.0,3300500000.0,
Research And Development,185300000.0,100300000.0,100100000.0,62900000.0,
Selling General And Administration,11671600000.0,6975400000.0,4739600000.0,3037200000.0,
Selling And Marketing Expense,9368900000.0,5608400000.0,3783200000.0,2193400000.0,
General And Administrative Expense,2302700000.0,1367000000.0,956400000.0,843800000.0,
Rent And Landing Fees,457500000.0,296800000.0,251100000.0,139500000.0,
Gross Profit,68250300000.0,50721400000.0,45190900000.0,34857600000.0,
Cost Of Revenue,127678400000.0,114733200000.0,121895600000.0,106117000000.0,
Total Revenue,195928700000.0,165454600000.0,167086500000.0,140974600000.0,
Operating Revenue,195928700000.0,165454600000.0,167086500000.0,140974600000.0,
