,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,2467028250.0,1600452360.0,311202387.868271,417684817.84905,
Tax Rate For Calcs,0.1935,0.2529,0.219636,0.321074,
Normalized EBITDA,5152500000.0,2990500000.0,7519200000.0,4974500000.0,
Total Unusual Items,12749500000.0,6328400000.0,1416900000.0,1300900000.0,
Total Unusual Items Excluding Goodwill,12749500000.0,6328400000.0,1416900000.0,1300900000.0,
Net Income From Continuing Operation Net Minority Interest,13998900000.0,7252700000.0,5713900000.0,3523700000.0,
Reconciled Depreciation,736600000.0,445600000.0,241400000.0,214300000.0,
Reconciled Cost Of Revenue,29245500000.0,18080300000.0,12418800000.0,11938700000.0,
EBITDA,17902000000.0,9318900000.0,8936100000.0,6275400000.0,
EBIT,17165400000.0,8873300000.0,8694700000.0,6061100000.0,
Net Interest Income,5661300000.0,4408800000.0,4428500000.0,4449300000.0,
Interest Expense,-60800000.0,-1126600000.0,742000000.0,897800000.0,
Interest Income,7398200000.0,5929900000.0,6170800000.0,6124100000.0,
Normalized Income,3716428250.0,2524752360.0,4608202387.868271,2640484817.84905,
Net Income From Continuing And Discontinued Operation,13998900000.0,7252700000.0,5713900000.0,3523700000.0,
Total Expenses,48282100000.0,30956000000.0,19429300000.0,16128700000.0,
Rent Expense Supplemental,99600000.0,46500000.0,12600000.0,10700000.0,
Diluted Average Shares,285643622.0,278082906.0,278033135.0,278003188.0,
Basic Average Shares,285595175.0,278033758.0,278012613.0,277979086.0,
Diluted EPS,49.01,26.08,20.55,12.67,
Basic EPS,49.02,26.09,20.55,12.68,
Diluted NI Availto Com Stockholders,13998900000.0,7252700000.0,5713900000.0,3523700000.0,
Net Income Common Stockholders,13998900000.0,7252700000.0,5713900000.0,3523700000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,13998900000.0,7252700000.0,5713900000.0,3523700000.0,
Minority Interests,106600000.0,-217900000.0,-492100000.0,18200000.0,
Net Income Including Noncontrolling Interests,13892300000.0,7470600000.0,6206000000.0,3505500000.0,
Net Income Continuous Operations,13892300000.0,7470600000.0,6206000000.0,3505500000.0,
Tax Provision,3333900000.0,2529300000.0,1746700000.0,1657800000.0,
Pretax Income,17226200000.0,9999900000.0,7952700000.0,5163300000.0,
Other Non Operating Income Expenses,294400000.0,727700000.0,279700000.0,183100000.0,
Special Income Charges,9309700000.0,4970700000.0,3300000.0,11600000.0,
Other Special Charges,-6200000.0,,-3300000.0,-11600000.0,-2900000.0
Restructuring And Mergern Acquisition,-9303500000.0,-4970700000.0,0.0,,
Net Non Operating Interest Income Expense,5661300000.0,4408800000.0,4428500000.0,4449300000.0,
Total Other Finance Cost,1797700000.0,2647700000.0,1000300000.0,777000000.0,
Interest Expense Non Operating,-60800000.0,-1126600000.0,742000000.0,897800000.0,
Interest Income Non Operating,7398200000.0,5929900000.0,6170800000.0,6124100000.0,
Operating Income,-293000000.0,-1742400000.0,2234900000.0,1117300000.0,
Operating Expense,19036600000.0,12875700000.0,7010500000.0,4190000000.0,
Other Operating Expenses,6579000000.0,5898000000.0,2871600000.0,2592300000.0,
Depreciation And Amortization In Income Statement,736600000.0,445600000.0,241400000.0,214300000.0,
Amortization,26600000.0,23300000.0,24800000.0,27100000.0,
Depreciation Income Statement,710000000.0,422300000.0,216600000.0,187200000.0,
Selling General And Administration,8352000000.0,4315000000.0,2559200000.0,1273000000.0,
Selling And Marketing Expense,7318600000.0,3648200000.0,2219200000.0,939200000.0,
General And Administrative Expense,1033400000.0,666800000.0,340000000.0,333800000.0,
Rent And Landing Fees,99600000.0,46500000.0,12600000.0,10700000.0,
Gross Profit,18743600000.0,11133300000.0,9245400000.0,5307300000.0,
Cost Of Revenue,29245500000.0,18080300000.0,12418800000.0,11938700000.0,
Total Revenue,47989100000.0,29213600000.0,21664200000.0,17246000000.0,
Operating Revenue,47989100000.0,29213600000.0,21664200000.0,17246000000.0,
