,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,7728579.6,57064706.8,-28049730.44138,228291456.590496,
Tax Rate For Calcs,0.2569,0.2572,0.267156,0.233384,
Normalized EBITDA,12647216000.0,13969430000.0,12319013000.0,19519917000.0,
Total Unusual Items,30084000.0,221869000.0,-104994000.0,978179000.0,
Total Unusual Items Excluding Goodwill,30084000.0,221869000.0,-104994000.0,978179000.0,
Net Income From Continuing Operation Net Minority Interest,8116675000.0,9353421000.0,7934019000.0,14812743000.0,
Reconciled Depreciation,1551834000.0,1413098000.0,1235360000.0,1046968000.0,
Reconciled Cost Of Revenue,36419613000.0,36166653000.0,40258851000.0,29273813000.0,
EBITDA,12677300000.0,14191299000.0,12214019000.0,20498096000.0,
EBIT,11125466000.0,12778201000.0,10978659000.0,19451127000.0,
Net Interest Income,321519000.0,187142000.0,51223000.0,1102000.0,
Interest Expense,205205000.0,218453000.0,152895000.0,120464000.0,
Interest Income,875437000.0,783477000.0,565200000.0,197978000.0,
Normalized Income,8094319579.6,9188616706.8,8010963269.55862,14062855456.590496,
Net Income From Continuing And Discontinued Operation,8116675000.0,9353421000.0,7934019000.0,14666658000.0,
Total Expenses,43294590000.0,42474856000.0,47031521000.0,35861964000.0,
Rent Expense Supplemental,7006000.0,5615000.0,8022000.0,6095000.0,
Diluted Average Shares,617499400.0,628355260.0,648624940.0,658224940.0,
Basic Average Shares,613043807.0,623624940.0,648624940.0,658224940.0,
Diluted EPS,13.14,14.89,12.232,22.282,
Basic EPS,13.24,15.0,12.232,22.282,
Diluted NI Availto Com Stockholders,8116700000.0,9353400000.0,7934019000.0,14666658000.0,
Net Income Common Stockholders,8116675000.0,9353421000.0,7934019000.0,14666658000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,8116675000.0,9353421000.0,7934019000.0,14666658000.0,
Minority Interests,-13233000.0,-2421000.0,418000.0,-6450000.0,
Net Income Including Noncontrolling Interests,8129908000.0,9355842000.0,7933602000.0,14673108000.0,
Net Income Discontinuous Operations,,,0.0,-146085000.0,150854000.0
Net Income Continuous Operations,8129908000.0,9355842000.0,7933602000.0,14819193000.0,
Tax Provision,2790353000.0,3203907000.0,2892163000.0,4511470000.0,
Pretax Income,10920261000.0,12559748000.0,10825764000.0,19330663000.0,
Other Non Operating Income Expenses,57227000.0,26567000.0,423617000.0,71244000.0,
Special Income Charges,22284000.0,164152000.0,-154023000.0,977169000.0,
Other Special Charges,-22585000.0,-179336000.0,154023000.0,-977169000.0,
Write Off,301000.0,15184000.0,0.0,,
Net Non Operating Interest Income Expense,321519000.0,187142000.0,51223000.0,1102000.0,
Total Other Finance Cost,348713000.0,377882000.0,361082000.0,76412000.0,
Interest Expense Non Operating,205205000.0,218453000.0,152895000.0,120464000.0,
Interest Income Non Operating,875437000.0,783477000.0,565200000.0,197978000.0,
Operating Income,10418852000.0,11989725000.0,10418553000.0,17628413000.0,
Operating Expense,6874977000.0,6308203000.0,6772670000.0,6588151000.0,
Other Operating Expenses,1668388000.0,1536270000.0,1351503000.0,924629000.0,
Depreciation And Amortization In Income Statement,1551833000.0,1413098000.0,1235360000.0,1046969000.0,
Amortization,103053000.0,103140000.0,102731000.0,102254000.0,
Depreciation Income Statement,1448780000.0,1309958000.0,1132629000.0,944715000.0,
Selling General And Administration,741796000.0,1189066000.0,2179175000.0,3516912000.0,
Selling And Marketing Expense,511832000.0,1011998000.0,2013566000.0,3269201000.0,
General And Administrative Expense,229964000.0,177068000.0,165609000.0,247711000.0,
Rent And Landing Fees,7006000.0,5615000.0,8022000.0,6095000.0,
Gross Profit,17293829000.0,18297928000.0,17191223000.0,24216564000.0,
Cost Of Revenue,36419613000.0,36166653000.0,40258851000.0,29273813000.0,
Total Revenue,53713442000.0,54464581000.0,57450074000.0,53490377000.0,
Operating Revenue,53713442000.0,54464581000.0,57450074000.0,53490377000.0,
