,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,891263069.402392,2416141626.41773,-111891292.056293,558789783.277264
Tax Rate For Calcs,0.224987,0.208304,0.381621,0.27156
Normalized EBITDA,2953100000.0,-463100000.0,4204100000.0,5462800000.0
Total Unusual Items,3961400000.0,11599100000.0,-293200000.0,2057700000.0
Total Unusual Items Excluding Goodwill,3961400000.0,11599100000.0,-293200000.0,2057700000.0
Net Income From Continuing Operation Net Minority Interest,4621100000.0,8081000000.0,1993500000.0,5045600000.0
Reconciled Depreciation,895200000.0,804400000.0,570400000.0,551200000.0
Reconciled Cost Of Revenue,13609300000.0,21916300000.0,16468400000.0,14221400000.0
EBITDA,6914500000.0,11136000000.0,3910900000.0,7520500000.0
EBIT,6019300000.0,10331600000.0,3340500000.0,6969300000.0
Net Interest Income,612400000.0,541200000.0,574700000.0,863500000.0
Interest Expense,107400000.0,165700000.0,121600000.0,43400000.0
Interest Income,724000000.0,712600000.0,706600000.0,909200000.0
Normalized Income,1550963069.402392,-1101958373.58227,2174808707.943707,3546689783.277264
Net Income From Continuing And Discontinued Operation,4621100000.0,8081000000.0,1993500000.0,5045600000.0
Total Expenses,23763800000.0,31492700000.0,29022100000.0,25782400000.0
Rent Expense Supplemental,27400000.0,25000000.0,28000000.0,11800000.0
Diluted Average Shares,195375594.0,195375594.0,195375594.0,195375594.0
Basic Average Shares,195375594.0,195375594.0,195375594.0,195375594.0
Diluted EPS,23.65,41.36,10.19,25.82
Basic EPS,23.65,41.36,10.19,25.82
Diluted NI Availto Com Stockholders,4621100000.0,8081000000.0,1993500000.0,5045600000.0
Net Income Common Stockholders,4621100000.0,8081000000.0,1993500000.0,5045600000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,4621100000.0,8081000000.0,1993500000.0,5045600000.0
Minority Interests,39300000.0,32700000.0,3000000.0,500000.0
Net Income Including Noncontrolling Interests,4581800000.0,8048300000.0,1990500000.0,5045100000.0
Net Income Continuous Operations,4581800000.0,8048300000.0,1990500000.0,5045100000.0
Tax Provision,1330100000.0,2117600000.0,1228400000.0,1880800000.0
Pretax Income,5911900000.0,10165900000.0,3218900000.0,6925900000.0
Other Non Operating Income Expenses,207700000.0,217700000.0,170900000.0,172700000.0
Special Income Charges,36200000.0,9531000000.0,-529200000.0,2700000.0
Other Special Charges,-42200000.0,-9532000000.0,528400000.0,-4100000.0
Write Off,6000000.0,1000000.0,800000.0,1400000.0
Net Non Operating Interest Income Expense,612400000.0,541200000.0,574700000.0,863500000.0
Total Other Finance Cost,4200000.0,5700000.0,10300000.0,2300000.0
Interest Expense Non Operating,107400000.0,165700000.0,121600000.0,43400000.0
Interest Income Non Operating,724000000.0,712600000.0,706600000.0,909200000.0
Operating Income,1071300000.0,-2255400000.0,2583600000.0,3847300000.0
Operating Expense,10154500000.0,9576400000.0,12553700000.0,11561000000.0
Other Operating Expenses,4423300000.0,4289300000.0,6726800000.0,5767800000.0
Depreciation And Amortization In Income Statement,895200000.0,804400000.0,570400000.0,551200000.0
Amortization,10300000.0,11700000.0,10700000.0,4900000.0
Depreciation Income Statement,884900000.0,792700000.0,559700000.0,546300000.0
Selling General And Administration,1445100000.0,1326400000.0,1717700000.0,1824100000.0
Selling And Marketing Expense,1084800000.0,962100000.0,1121000000.0,1544400000.0
General And Administrative Expense,360300000.0,364300000.0,596700000.0,279700000.0
Rent And Landing Fees,27400000.0,25000000.0,28000000.0,11800000.0
Gross Profit,11225800000.0,7321000000.0,15137300000.0,15408300000.0
Cost Of Revenue,13609300000.0,21916300000.0,16468400000.0,14221400000.0
Total Revenue,24835100000.0,29237300000.0,31605700000.0,29629700000.0
Operating Revenue,24835100000.0,29237300000.0,31605700000.0,29629700000.0
