,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,31416587.849787,40068426.488431,28629156.421036,36510853.900769,
Tax Rate For Calcs,0.25009,0.257118,0.252586,0.263234,
Normalized EBITDA,7435427000.0,5181530000.0,3395305000.0,2810963000.0,
Total Unusual Items,125621000.0,155837000.0,113344000.0,138701000.0,
Total Unusual Items Excluding Goodwill,125621000.0,155837000.0,113344000.0,138701000.0,
Net Income From Continuing Operation Net Minority Interest,5274038000.0,3572677000.0,2281240000.0,1895268000.0,
Reconciled Depreciation,424923000.0,413266000.0,391663000.0,362960000.0,
Reconciled Cost Of Revenue,40203894000.0,27779185000.0,19309189000.0,11992623000.0,
EBITDA,7561048000.0,5337367000.0,3508649000.0,2949664000.0,
EBIT,7136125000.0,4924101000.0,3116986000.0,2586704000.0,
Net Interest Income,2338764000.0,2550384000.0,1679357000.0,1283597000.0,
Interest Expense,103228000.0,114892000.0,64807000.0,14288000.0,
Interest Income,2497368000.0,2713547000.0,1783400000.0,1301900000.0,
Normalized Income,5179833587.849787,3456908426.488431,2196525156.421036,1793077853.900769,
Net Income From Continuing And Discontinued Operation,5274038000.0,3572677000.0,2281240000.0,1895268000.0,
Total Expenses,46539200000.0,33771008000.0,24212953000.0,16330178000.0,
Rent Expense Supplemental,125879000.0,134507000.0,66224000.0,58645000.0,
Diluted Average Shares,114552000.0,114552000.0,114552000.0,114552000.0,
Basic Average Shares,114552000.0,114552000.0,114552000.0,114552000.0,
Diluted EPS,46.04,31.19,19.91,16.55,
Basic EPS,46.04,31.19,19.91,16.55,
Diluted NI Availto Com Stockholders,5274038000.0,3572677000.0,2281240000.0,1895268000.0,
Net Income Common Stockholders,5274038000.0,3572677000.0,2281240000.0,1895268000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,5274038000.0,3572677000.0,2281240000.0,1895268000.0,
Net Income Including Noncontrolling Interests,5274038000.0,3572677000.0,2281240000.0,1895268000.0,
Net Income Continuous Operations,5274038000.0,3572677000.0,2281240000.0,1895268000.0,
Tax Provision,1758859000.0,1236532000.0,770939000.0,677148000.0,
Pretax Income,7032897000.0,4809209000.0,3052179000.0,2572416000.0,
Other Non Operating Income Expenses,320645000.0,15336000.0,29327000.0,23004000.0,
Special Income Charges,12702000.0,-25293000.0,7160000.0,-53237000.0,
Other Special Charges,-13328000.0,-18639000.0,-14737000.0,50456000.0,
Impairment Of Capital Assets,626000.0,43932000.0,7577000.0,2781000.0,
Net Non Operating Interest Income Expense,2338764000.0,2550384000.0,1679357000.0,1283597000.0,
Total Other Finance Cost,55376000.0,48271000.0,39236000.0,4015000.0,
Interest Expense Non Operating,103228000.0,114892000.0,64807000.0,14288000.0,
Interest Income Non Operating,2497368000.0,2713547000.0,1783400000.0,1301900000.0,
Operating Income,4170631000.0,2113623000.0,1265419000.0,1122624000.0,
Operating Expense,6335306000.0,5991823000.0,4903764000.0,4337555000.0,
Other Operating Expenses,826254000.0,1048299000.0,839341000.0,825118000.0,
Depreciation And Amortization In Income Statement,424923000.0,413266000.0,391663000.0,357101000.0,
Amortization,27509000.0,25855000.0,23010000.0,21886000.0,
Depreciation Income Statement,397414000.0,387411000.0,368653000.0,335215000.0,
Research And Development,,,,,50341000.0
Selling General And Administration,1396830000.0,948210000.0,570508000.0,285516000.0,
Selling And Marketing Expense,51799000.0,94900000.0,71112000.0,46716000.0,
General And Administrative Expense,1345031000.0,853310000.0,499396000.0,238800000.0,
Rent And Landing Fees,125879000.0,134507000.0,66224000.0,58645000.0,
Gross Profit,10505937000.0,8105446000.0,6169183000.0,5460179000.0,
Cost Of Revenue,40203894000.0,27779185000.0,19309189000.0,11992623000.0,
Total Revenue,50709831000.0,35884631000.0,25478372000.0,17452802000.0,
Operating Revenue,50709831000.0,35884631000.0,25478372000.0,17452802000.0,
