,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-4068021.81401,-76336242.654492,1794732.088583,16696474.137931,
Tax Rate For Calcs,0.260453,0.255948,0.241552,0.234415,
Normalized EBITDA,4269743000.0,4571290000.0,1702018000.0,1546979000.0,
Total Unusual Items,-15619000.0,-298249000.0,7430000.0,71226000.0,
Total Unusual Items Excluding Goodwill,-15619000.0,-298249000.0,7430000.0,71226000.0,
Net Income From Continuing Operation Net Minority Interest,2769201000.0,2808863000.0,986528000.0,939025000.0,
Reconciled Depreciation,409928000.0,380357000.0,354621000.0,350842000.0,
Reconciled Cost Of Revenue,12271497000.0,14846186000.0,9815566000.0,8936690000.0,
EBITDA,4254124000.0,4273041000.0,1709448000.0,1618205000.0,
EBIT,3812238000.0,3860474000.0,1354827000.0,1267363000.0,
Net Interest Income,-13639000.0,-65997000.0,-9270000.0,-7623000.0,
Interest Expense,73769000.0,92627000.0,56842000.0,43331000.0,
Interest Income,116574000.0,63368000.0,56194000.0,67135000.0,
Normalized Income,2780751978.18599,3030775757.345508,980892732.088583,884495474.137931,
Net Income From Continuing And Discontinued Operation,2769201000.0,2808863000.0,986528000.0,939025000.0,
Total Expenses,16052379000.0,18375066000.0,12410795000.0,11050679000.0,
Rent Expense Supplemental,36497000.0,39735000.0,26765000.0,18500000.0,
Diluted Average Shares,277194946.0,277194946.0,277194946.0,277194946.0,
Basic Average Shares,278032229.0,278933764.0,277194946.0,277194946.0,
Diluted EPS,9.990085,10.133168,3.55,3.387598,
Basic EPS,9.990085,10.133168,3.55,3.387598,
Diluted NI Availto Com Stockholders,2769201000.0,2808863000.0,986528000.0,939025000.0,
Net Income Common Stockholders,2769201000.0,2808863000.0,986528000.0,939025000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,2769201000.0,2808863000.0,986528000.0,939025000.0,
Minority Interests,4429000.0,5389000.0,2074000.0,1925000.0,
Net Income Including Noncontrolling Interests,2764772000.0,2803474000.0,984454000.0,937100000.0,
Net Income Extraordinary,,0.0,0.0,0.0,0.0
Net Income Continuous Operations,2764772000.0,2803474000.0,984454000.0,937100000.0,
Tax Provision,973697000.0,964373000.0,313531000.0,286932000.0,
Pretax Income,3738469000.0,3767847000.0,1297985000.0,1224032000.0,
Other Non Operating Income Expenses,32810000.0,52493000.0,32039000.0,19335000.0,
Special Income Charges,-8353000.0,-298249000.0,7430000.0,71226000.0,
Other Special Charges,-2426000.0,11208000.0,-45720000.0,-191899000.0,
Write Off,10779000.0,287041000.0,38290000.0,119979000.0,
Restructuring And Mergern Acquisition,,0.0,0.0,694000.0,0.0
Net Non Operating Interest Income Expense,-13639000.0,-65997000.0,-9270000.0,-7623000.0,
Total Other Finance Cost,56444000.0,36738000.0,8622000.0,31427000.0,
Interest Expense Non Operating,73769000.0,92627000.0,56842000.0,43331000.0,
Interest Income Non Operating,116574000.0,63368000.0,56194000.0,67135000.0,
Operating Income,3484378000.0,3839474000.0,1165644000.0,1075030000.0,
Operating Expense,3780882000.0,3528880000.0,2595229000.0,2113989000.0,
Other Operating Expenses,494837000.0,482753000.0,309451000.0,204314000.0,
Depreciation And Amortization In Income Statement,441886000.0,412567000.0,354621000.0,350842000.0,
Amortization,43973000.0,60485000.0,57105000.0,64548000.0,
Depreciation Income Statement,441887000.0,412567000.0,297516000.0,286294000.0,
Selling General And Administration,1156374000.0,1147064000.0,915351000.0,781217000.0,
Selling And Marketing Expense,601600000.0,642318000.0,555439000.0,480983000.0,
General And Administrative Expense,554774000.0,504746000.0,359912000.0,300234000.0,
Rent And Landing Fees,32576000.0,29320000.0,22351000.0,14912000.0,
Gross Profit,7265260000.0,7368354000.0,3760873000.0,3189019000.0,
Cost Of Revenue,12271497000.0,14846186000.0,9815566000.0,8936690000.0,
Total Revenue,19536757000.0,22214540000.0,13576439000.0,12125709000.0,
Operating Revenue,19536757000.0,22214540000.0,13576439000.0,12125709000.0,
