,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-131684085.837467,19953455.093655,39447849.643992,71073624.656597,
Tax Rate For Calcs,0.282555,0.21169,0.21401,0.230907,
Normalized EBITDA,4391837000.0,5963263000.0,7869872000.0,6159923000.0,
Total Unusual Items,-466048000.0,94258000.0,184327000.0,307802000.0,
Total Unusual Items Excluding Goodwill,-466048000.0,94258000.0,184327000.0,307802000.0,
Net Income From Continuing Operation Net Minority Interest,1150554000.0,3116791000.0,5324084000.0,4310435000.0,
Reconciled Depreciation,2005948000.0,1746514000.0,1023033000.0,792876000.0,
Reconciled Cost Of Revenue,14074155000.0,16252271000.0,14196730000.0,12638218000.0,
EBITDA,3925789000.0,6057521000.0,8054199000.0,6467725000.0,
EBIT,1919841000.0,4311007000.0,7031166000.0,5674849000.0,
Net Interest Income,-149788000.0,74607000.0,249417000.0,253633000.0,
Interest Expense,316159000.0,357245000.0,257436000.0,70280000.0,
Interest Income,197706000.0,431993000.0,508057000.0,324539000.0,
Normalized Income,1484917914.162533,3042486455.093655,5179204849.643992,4073706624.656597,
Net Income From Continuing And Discontinued Operation,1150554000.0,3116791000.0,5324084000.0,4310435000.0,
Total Expenses,19499535000.0,21170403000.0,19120338000.0,17193696000.0,
Rent Expense Supplemental,3723000.0,3688000.0,3688000.0,3688000.0,
Diluted Average Shares,192977530.0,192977530.0,192977530.0,192977530.0,
Basic Average Shares,192977530.0,192977530.0,192977530.0,192977530.0,
Diluted EPS,5.96,16.15,27.59,22.336,
Basic EPS,5.96,16.15,27.59,22.336,
Diluted NI Availto Com Stockholders,1150554000.0,3116791000.0,5324084000.0,4310435000.0,
Net Income Common Stockholders,1150554000.0,3116791000.0,5324084000.0,4310435000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,1150554000.0,3116791000.0,5324084000.0,4310435000.0,
Net Income Including Noncontrolling Interests,1150554000.0,3116791000.0,5324084000.0,4310435000.0,
Net Income Continuous Operations,1150554000.0,3116791000.0,5324084000.0,4310435000.0,
Tax Provision,453128000.0,836971000.0,1449647000.0,1294134000.0,
Pretax Income,1603682000.0,3953762000.0,6773730000.0,5604569000.0,
Other Non Operating Income Expenses,142516000.0,300683000.0,237921000.0,81629000.0,
Special Income Charges,-724000.0,12860000.0,-19025000.0,-34032000.0,
Other Special Charges,724000.0,-12860000.0,3431000.0,28135000.0,
Write Off,,0.0,15594000.0,5897000.0,39509000.0
Net Non Operating Interest Income Expense,-149788000.0,74607000.0,249417000.0,253633000.0,
Total Other Finance Cost,31335000.0,141000.0,1204000.0,626000.0,
Interest Expense Non Operating,316159000.0,357245000.0,257436000.0,70280000.0,
Interest Income Non Operating,197706000.0,431993000.0,508057000.0,324539000.0,
Operating Income,1943672000.0,2627795000.0,5232820000.0,4538578000.0,
Operating Expense,5425380000.0,4918132000.0,4923608000.0,4555478000.0,
Other Operating Expenses,1069408000.0,737182000.0,1166445000.0,1382664000.0,
Depreciation And Amortization In Income Statement,2005948000.0,1746513000.0,1023032000.0,792876000.0,
Amortization,3250000.0,1530000.0,615000.0,987000.0,
Depreciation Income Statement,2002698000.0,1744983000.0,1022417000.0,791889000.0,
Selling General And Administration,2022598000.0,1619001000.0,2122100000.0,1854520000.0,
Selling And Marketing Expense,1737251000.0,1385006000.0,1896201000.0,1666718000.0,
General And Administrative Expense,285347000.0,233995000.0,225899000.0,187802000.0,
Rent And Landing Fees,3723000.0,3688000.0,3688000.0,3688000.0,
Gross Profit,7369052000.0,7545927000.0,10156428000.0,9094056000.0,
Cost Of Revenue,14074155000.0,16252271000.0,14196730000.0,12638218000.0,
Total Revenue,21443207000.0,23798198000.0,24353158000.0,21732274000.0,
Operating Revenue,21443207000.0,23798198000.0,24353158000.0,21732274000.0,
