,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,1499872172.018148,965412953.518526,828814088.342021,770801832.50439,
Tax Rate For Calcs,0.262532,0.26483,0.275317,0.238402,
Normalized EBITDA,62574900000.0,55593900000.0,43648400000.0,34774100000.0,
Total Unusual Items,5713100000.0,3645400000.0,3010400000.0,3233200000.0,
Total Unusual Items Excluding Goodwill,5713100000.0,3645400000.0,3010400000.0,3233200000.0,
Net Income From Continuing Operation Net Minority Interest,43784800000.0,37448300000.0,28099600000.0,23168800000.0,
Reconciled Depreciation,8245900000.0,7573600000.0,6973900000.0,6895200000.0,
Reconciled Cost Of Revenue,270383600000.0,256327500000.0,240344000000.0,210039500000.0,
EBITDA,68288000000.0,59239300000.0,46658800000.0,38007300000.0,
EBIT,60042100000.0,51665700000.0,39684900000.0,31112100000.0,
Net Interest Income,3750900000.0,2249400000.0,1559400000.0,1359500000.0,
Interest Expense,706500000.0,763700000.0,1048700000.0,531000000.0,
Interest Income,4457400000.0,3013100000.0,2608100000.0,1890500000.0,
Normalized Income,39571572172.01815,34768312953.518524,25918014088.342022,20706401832.50439,
Net Income From Continuing And Discontinued Operation,43784800000.0,37448300000.0,28099600000.0,23168800000.0,
Total Expenses,355492900000.0,330134000000.0,302891600000.0,261995600000.0,
Rent Expense Supplemental,363000000.0,421100000.0,418300000.0,382200000.0,
Diluted Average Shares,200217854.0,200224343.0,200014165.0,199858611.0,
Basic Average Shares,199970273.0,199871710.0,199825061.0,199796939.0,
Diluted EPS,218.69,187.04,140.49,115.93,
Basic EPS,218.96,187.36,140.62,115.96,
Diluted NI Availto Com Stockholders,43784800000.0,37448300000.0,28099600000.0,23168800000.0,
Net Income Common Stockholders,43784800000.0,37448300000.0,28099600000.0,23168800000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,43784800000.0,37448300000.0,28099600000.0,23168800000.0,
Minority Interests,26700000.0,26700000.0,100600000.0,-121700000.0,
Net Income Including Noncontrolling Interests,43758100000.0,37421600000.0,27999000000.0,23290500000.0,
Net Income Continuous Operations,43758100000.0,37421600000.0,27999000000.0,23290500000.0,
Tax Provision,15577500000.0,13480400000.0,10637200000.0,7290600000.0,
Pretax Income,59335600000.0,50902000000.0,38636200000.0,30581100000.0,
Other Non Operating Income Expenses,10440800000.0,8545400000.0,5690100000.0,5550100000.0,
Special Income Charges,-19000000.0,-1592900000.0,7300000.0,-96100000.0,
Other Special Charges,19000000.0,1592900000.0,-7300000.0,96100000.0,
Restructuring And Mergern Acquisition,0.0,1599900000.0,0.0,,
Net Non Operating Interest Income Expense,3750900000.0,2249400000.0,1559400000.0,1359500000.0,
Interest Expense Non Operating,706500000.0,763700000.0,1048700000.0,531000000.0,
Interest Income Non Operating,4457400000.0,3013100000.0,2608100000.0,1890500000.0,
Operating Income,51632000000.0,45856300000.0,34485600000.0,27780800000.0,
Operating Expense,85109300000.0,73806500000.0,62547600000.0,51956100000.0,
Other Operating Expenses,27423000000.0,21573500000.0,17443000000.0,12696400000.0,
Depreciation And Amortization In Income Statement,8245900000.0,7573600000.0,6973900000.0,6895200000.0,
Amortization,1684900000.0,1313400000.0,,514300000.0,501300000.0
Depreciation Income Statement,6561000000.0,6260200000.0,6973900000.0,6895200000.0,
Selling General And Administration,24386000000.0,21418700000.0,19418500000.0,17760900000.0,
Selling And Marketing Expense,23533600000.0,20595700000.0,18620100000.0,16987400000.0,
General And Administrative Expense,852400000.0,823000000.0,798400000.0,773500000.0,
Rent And Landing Fees,363000000.0,421100000.0,418300000.0,382200000.0,
Gross Profit,136741300000.0,119662800000.0,97033200000.0,79736900000.0,
Cost Of Revenue,270383600000.0,256327500000.0,240344000000.0,210039500000.0,
Total Revenue,407124900000.0,375990300000.0,337377200000.0,289776400000.0,
Operating Revenue,407124900000.0,375990300000.0,337377200000.0,289776400000.0,
