,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-29688151.494093,-409498301.608665,-47722000.0,6816000.0,
Tax Rate For Calcs,0.207609,0.247581,0.214,0.213,
Normalized EBITDA,22029000000.0,20705000000.0,16011000000.0,13925000000.0,
Total Unusual Items,-143000000.0,-1654000000.0,-223000000.0,32000000.0,
Total Unusual Items Excluding Goodwill,-143000000.0,-1654000000.0,-223000000.0,32000000.0,
Net Income From Continuing Operation Net Minority Interest,13692000000.0,11764000000.0,9976000000.0,8842000000.0,
Reconciled Depreciation,3613000000.0,2788000000.0,2836000000.0,2444000000.0,
Reconciled Cost Of Revenue,76783000000.0,68369000000.0,57255000000.0,51060000000.0,
EBITDA,21886000000.0,19051000000.0,15788000000.0,13957000000.0,
EBIT,18273000000.0,16263000000.0,12952000000.0,11513000000.0,
Net Interest Income,-1005000000.0,-660000000.0,-356000000.0,-362000000.0,
Interest Expense,1005000000.0,660000000.0,267000000.0,283000000.0,
Interest Income,,376000000.0,63000000.0,13000000.0,30000000.0
Normalized Income,13805311848.505907,13008501698.391335,10151278000.0,8816816000.0,
Net Income From Continuing And Discontinued Operation,13692000000.0,11764000000.0,9976000000.0,8842000000.0,
Total Expenses,80852000000.0,71606000000.0,90476000000.0,82183000000.0,
Rent Expense Supplemental,,187000000.0,143000000.0,130000000.0,39000000.0
Diluted Average Shares,617870036.0,609849663.0,607899339.0,304225136.0,
Basic Average Shares,608262994.0,607330924.0,606393643.0,301704713.0,
Diluted EPS,22.16,19.29,16.41,29.06,
Basic EPS,22.51,19.37,16.45,29.31,
Diluted NI Availto Com Stockholders,13692000000.0,11764000000.0,9976000000.0,8842000000.0,
Net Income Common Stockholders,13692000000.0,11764000000.0,9976000000.0,8842000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,13692000000.0,11764000000.0,9976000000.0,8842000000.0,
Minority Interests,9000000.0,24000000.0,0.0,,
Net Income Including Noncontrolling Interests,13683000000.0,11740000000.0,9976000000.0,8842000000.0,
Net Income Continuous Operations,13683000000.0,11740000000.0,9976000000.0,8842000000.0,
Tax Provision,3585000000.0,3863000000.0,2709000000.0,2388000000.0,
Pretax Income,17268000000.0,15603000000.0,12685000000.0,11230000000.0,
Other Non Operating Income Expenses,-34395000000.0,-30411000000.0,73000000.0,29000000.0,
Special Income Charges,-143000000.0,-1654000000.0,-307000000.0,2000000.0,
Other Special Charges,1111000000.0,9000000.0,-4000000.0,-2000000.0,
Write Off,1696000000.0,0.0,,,690000.0
Restructuring And Mergern Acquisition,-2664000000.0,1645000000.0,311000000.0,,
Net Non Operating Interest Income Expense,-1005000000.0,-660000000.0,-356000000.0,-362000000.0,
Total Other Finance Cost,,335000000.0,152000000.0,92000000.0,43000000.0
Interest Expense Non Operating,1005000000.0,660000000.0,267000000.0,283000000.0,
Interest Income Non Operating,,376000000.0,63000000.0,13000000.0,30000000.0
Operating Income,53452000000.0,48138000000.0,13327000000.0,9813000000.0,
Operating Expense,4069000000.0,3237000000.0,33221000000.0,31123000000.0,
Other Operating Expenses,,96000000.0,23657000000.0,21190000000.0,15513000000.0
Depreciation And Amortization In Income Statement,3613000000.0,2788000000.0,2836000000.0,2444000000.0,
Amortization,1082000000.0,743000000.0,588000000.0,602000000.0,
Depreciation Income Statement,2531000000.0,2045000000.0,2248000000.0,1842000000.0,
Selling General And Administration,,1960000000.0,2026000000.0,2272000000.0,1628000000.0
Selling And Marketing Expense,,844000000.0,916000000.0,758000000.0,483000000.0
General And Administrative Expense,,1116000000.0,1110000000.0,1514000000.0,1145000000.0
Rent And Landing Fees,,187000000.0,143000000.0,130000000.0,39000000.0
Gross Profit,57521000000.0,51375000000.0,46548000000.0,40936000000.0,
Cost Of Revenue,76783000000.0,68369000000.0,57255000000.0,51060000000.0,
Total Revenue,134304000000.0,119744000000.0,103803000000.0,91996000000.0,
Operating Revenue,134304000000.0,119744000000.0,103803000000.0,91996000000.0,
