,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,16684620.711944,25197788.643672,-891433.0833,-18248286.6255,
Tax Rate For Calcs,0.200055,0.256597,0.262186,0.262944,
Normalized EBITDA,4299200000.0,6031800000.0,5966000000.0,6018300000.0,
Total Unusual Items,83400000.0,98200000.0,-3400000.0,-69400000.0,
Total Unusual Items Excluding Goodwill,83400000.0,98200000.0,-3400000.0,-69400000.0,
Net Income From Continuing Operation Net Minority Interest,1774100000.0,3298100000.0,3009700000.0,3131200000.0,
Reconciled Depreciation,1025300000.0,817800000.0,829900000.0,781900000.0,
Reconciled Cost Of Revenue,29438400000.0,32204400000.0,34789100000.0,34987400000.0,
EBITDA,4382600000.0,6130000000.0,5962600000.0,5948900000.0,
EBIT,3327500000.0,5312200000.0,5132700000.0,5166400000.0,
Net Interest Income,-1589500000.0,-891800000.0,-1374700000.0,-1508600000.0,
Interest Expense,1161600000.0,772000000.0,826600000.0,745300000.0,
Interest Income,260600000.0,581000000.0,147200000.0,155400000.0,
Normalized Income,1707384620.711944,3225097788.643672,3012208566.9167,3182351713.3745,
Net Income From Continuing And Discontinued Operation,1774100000.0,3298100000.0,3009700000.0,3131200000.0,
Total Expenses,37114700000.0,39434600000.0,41919700000.0,41166700000.0,
Rent Expense Supplemental,83600000.0,49400000.0,31500000.0,19900000.0,
Diluted Average Shares,1442630894.0,1415093024.0,1379162051.0,1315992715.0,
Basic Average Shares,1442630894.0,1415093024.0,1379162051.0,1314671615.0,
Diluted EPS,1.23,2.33,2.18,2.38,
Basic EPS,1.23,2.33,2.18,2.38,
Diluted NI Availto Com Stockholders,1774100000.0,3298100000.0,3009700000.0,3131200000.0,
Net Income Common Stockholders,1774100000.0,3298100000.0,3009700000.0,3131200000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,1774100000.0,3298100000.0,3009700000.0,3131200000.0,
Minority Interests,41400000.0,-77200000.0,-167400000.0,-127500000.0,
Net Income Including Noncontrolling Interests,1732600000.0,3375200000.0,3177100000.0,3258600000.0,
Net Income Continuous Operations,1732600000.0,3375200000.0,3177100000.0,3258600000.0,
Tax Provision,433300000.0,1165000000.0,1129000000.0,1162500000.0,
Pretax Income,2165900000.0,4540200000.0,4306100000.0,4421100000.0,
Other Non Operating Income Expenses,96900000.0,93100000.0,65600000.0,34900000.0,
Special Income Charges,83400000.0,98200000.0,-3400000.0,-69400000.0,
Other Special Charges,-66700000.0,,-27300000.0,63800000.0,41300000.0
Write Off,-16700000.0,-98200000.0,3400000.0,5600000.0,
Net Non Operating Interest Income Expense,-1589500000.0,-891800000.0,-1374700000.0,-1508600000.0,
Total Other Finance Cost,688500000.0,700800000.0,695300000.0,918700000.0,
Interest Expense Non Operating,1161600000.0,772000000.0,826600000.0,745300000.0,
Interest Income Non Operating,260600000.0,581000000.0,147200000.0,155400000.0,
Operating Income,3451800000.0,5141600000.0,5428100000.0,6013100000.0,
Operating Expense,7676300000.0,7230200000.0,7130600000.0,6179300000.0,
Other Operating Expenses,1549800000.0,1427700000.0,1497100000.0,1300300000.0,
Depreciation And Amortization In Income Statement,1055100000.0,817600000.0,829700000.0,782500000.0,
Depreciation Income Statement,1055100000.0,817600000.0,829700000.0,782500000.0,
Research And Development,61000000.0,97700000.0,45000000.0,207100000.0,
Selling General And Administration,1362400000.0,1430900000.0,1377800000.0,1089000000.0,
Selling And Marketing Expense,640100000.0,676100000.0,606100000.0,368100000.0,
General And Administrative Expense,722300000.0,754800000.0,771700000.0,720900000.0,
Rent And Landing Fees,83600000.0,49400000.0,31500000.0,19900000.0,
Gross Profit,11128100000.0,12371800000.0,12558700000.0,12192400000.0,
Cost Of Revenue,29438400000.0,32204400000.0,34789100000.0,34987400000.0,
Total Revenue,40566500000.0,44576200000.0,47347800000.0,47179800000.0,
Operating Revenue,40566500000.0,44576200000.0,47347800000.0,47179800000.0,
