,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-63058990.221686,-42264089.985672,29611034.193761,-10696158.853325,
Tax Rate For Calcs,0.260885,0.280023,0.253621,0.021014,
Normalized EBITDA,8342270000.0,6095897000.0,5664556000.0,5867316000.0,
Total Unusual Items,-241712000.0,-150931000.0,116753000.0,-509010000.0,
Total Unusual Items Excluding Goodwill,-241712000.0,-150931000.0,116753000.0,-509010000.0,
Net Income From Continuing Operation Net Minority Interest,4674291000.0,2957282000.0,2953563000.0,3741110000.0,
Reconciled Depreciation,1755593000.0,1748702000.0,1749266000.0,1483063000.0,
Reconciled Cost Of Revenue,10164751000.0,9264690000.0,8980240000.0,9055561000.0,
EBITDA,8100558000.0,5944966000.0,5781309000.0,5358306000.0,
EBIT,6344965000.0,4196264000.0,4032043000.0,3875243000.0,
Net Interest Income,33514000.0,82920000.0,44008000.0,-126786000.0,
Interest Expense,20971000.0,88799000.0,75327000.0,54108000.0,
Interest Income,111153000.0,248830000.0,217096000.0,177892000.0,
Normalized Income,4852944009.778314,3065948910.014328,2866421034.193761,4239423841.146675,
Net Income From Continuing And Discontinued Operation,4674291000.0,2957282000.0,2953563000.0,3738513000.0,
Total Expenses,14276226000.0,13105688000.0,13072428000.0,13842445000.0,
Rent Expense Supplemental,50259000.0,35811000.0,32589000.0,28898000.0,
Diluted Average Shares,967024020.0,967024020.0,967024020.0,967024020.0,
Basic Average Shares,967024020.0,967024020.0,967024020.0,967024020.0,
Diluted EPS,4.81,3.05,3.06,3.87,
Basic EPS,4.81,3.05,3.06,3.87,
Diluted NI Availto Com Stockholders,4651160000.0,2953068000.0,2954594000.0,3738284000.0,
Net Income Common Stockholders,4651160000.0,2953068000.0,2954594000.0,3738284000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,4651160000.0,2953068000.0,2954594000.0,3738284000.0,
Minority Interests,131000.0,0.0,354000.0,271000.0,
Net Income Including Noncontrolling Interests,4651029000.0,2953068000.0,2954240000.0,3738013000.0,
Net Income Extraordinary,-23131000.0,-4214000.0,1031000.0,-229000.0,
Net Income Discontinuous Operations,0.0,0.0,0.0,-2597000.0,
Net Income Continuous Operations,4674160000.0,2957282000.0,2953209000.0,3740839000.0,
Tax Provision,1649834000.0,1150183000.0,1003507000.0,80296000.0,
Pretax Income,6323994000.0,4107465000.0,3956716000.0,3821135000.0,
Other Non Operating Income Expenses,220447000.0,270671000.0,316133000.0,289504000.0,
Special Income Charges,-245761000.0,-150931000.0,116727000.0,-512999000.0,
Other Special Charges,-68100000.0,13000.0,-16540000.0,-5975000.0,
Write Off,82770000.0,150918000.0,-100187000.0,518974000.0,
Impairment Of Capital Assets,231091000.0,0.0,,,
Net Non Operating Interest Income Expense,33514000.0,82920000.0,44008000.0,-126786000.0,
Total Other Finance Cost,56668000.0,77111000.0,97761000.0,250570000.0,
Interest Expense Non Operating,20971000.0,88799000.0,75327000.0,54108000.0,
Interest Income Non Operating,111153000.0,248830000.0,217096000.0,177892000.0,
Operating Income,6313274000.0,3939965000.0,3578926000.0,4196208000.0,
Operating Expense,4111475000.0,3840998000.0,4092188000.0,4786884000.0,
Other Operating Expenses,390637000.0,787333000.0,410823000.0,794657000.0,
Depreciation And Amortization In Income Statement,,,,1498800000.0,2948300000.0
Depreciation Income Statement,,,,1498800000.0,2948300000.0
Selling General And Administration,655402000.0,477629000.0,721075000.0,321799000.0,
Selling And Marketing Expense,16642000.0,14018000.0,9742000.0,2333000.0,
General And Administrative Expense,638760000.0,463611000.0,711333000.0,319466000.0,
Rent And Landing Fees,50259000.0,35811000.0,32589000.0,28898000.0,
Gross Profit,10424749000.0,7780963000.0,7671114000.0,8983092000.0,
Cost Of Revenue,10164751000.0,9264690000.0,8980240000.0,9055561000.0,
Total Revenue,20589500000.0,17045653000.0,16651354000.0,18038653000.0,
Operating Revenue,20589500000.0,17045653000.0,16651354000.0,18038653000.0,
