,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,27371904.0,-411275276.0,-614425955.0,191277282.0
Tax Rate For Calcs,0.25158,0.21881,0.30085,0.20226
Normalized EBITDA,183352700000.0,286936400000.0,-32076500000.0,138533600000.0
Total Unusual Items,108800000.0,-1879600000.0,-2042300000.0,945700000.0
Total Unusual Items Excluding Goodwill,108800000.0,-1879600000.0,-2042300000.0,945700000.0
Net Income From Continuing Operation Net Minority Interest,67357000000.0,160146100000.0,-69802300000.0,72942300000.0
Reconciled Depreciation,61541000000.0,55964300000.0,45601500000.0,40003600000.0
Reconciled Cost Of Revenue,4020286000000.0,3939633800000.0,4321851800000.0,3268621600000.0
EBITDA,183461500000.0,285056800000.0,-34118800000.0,139479300000.0
EBIT,121920500000.0,229092500000.0,-79720300000.0,99475700000.0
Net Interest Income,-17556300000.0,-12216300000.0,-11704400000.0,2422700000.0
Interest Expense,31921700000.0,24089800000.0,20118900000.0,8039500000.0
Interest Income,14524600000.0,12265800000.0,8541700000.0,10604400000.0
Normalized Income,67275571904.0,161614424724.0,-68374425955.0,72187877282.0
Net Income From Continuing And Discontinued Operation,67357000000.0,160146100000.0,-69802300000.0,72942300000.0
Total Expenses,4222072100000.0,4130761900000.0,4441891300000.0,3424790800000.0
Rent Expense Supplemental,2402500000.0,3899600000.0,3978600000.0,2370700000.0
Diluted Average Shares,2127822517.0,2127822517.0,2127822517.0,2130260077.0
Basic Average Shares,2127822517.0,2127822517.0,2127822517.0,2130260077.0
Diluted EPS,31.66,75.26,-32.806667,34.24
Basic EPS,31.66,75.26,-32.806667,34.24
Diluted NI Availto Com Stockholders,67357000000.0,160146100000.0,-69802300000.0,72942300000.0
Net Income Common Stockholders,67357000000.0,160146100000.0,-69802300000.0,72942300000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,67357000000.0,160146100000.0,-69802300000.0,72942300000.0
Net Income Including Noncontrolling Interests,67357000000.0,160146100000.0,-69802300000.0,72942300000.0
Net Income Continuous Operations,67357000000.0,160146100000.0,-69802300000.0,72942300000.0
Tax Provision,22641800000.0,44856600000.0,-30036900000.0,18493900000.0
Pretax Income,89998800000.0,205002700000.0,-99839200000.0,91436200000.0
Other Non Operating Income Expenses,16335800000.0,14935100000.0,14978100000.0,12943700000.0
Special Income Charges,-167700000.0,-2600500000.0,-204700000.0,1403500000.0
Other Special Charges,161300000.0,-364900000.0,153800000.0,-1406200000.0
Write Off,6400000.0,2965400000.0,50900000.0,2700000.0
Net Non Operating Interest Income Expense,-17556300000.0,-12216300000.0,-11704400000.0,2422700000.0
Total Other Finance Cost,159200000.0,392300000.0,127200000.0,142200000.0
Interest Expense Non Operating,31921700000.0,24089800000.0,20118900000.0,8039500000.0
Interest Income Non Operating,14524600000.0,12265800000.0,8541700000.0,10604400000.0
Operating Income,97872600000.0,189182000000.0,-106908000000.0,61094700000.0
Operating Expense,201786100000.0,191128100000.0,120039500000.0,156169200000.0
Other Operating Expenses,167866000000.0,153270000000.0,140450000000.0,119952900000.0
Selling General And Administration,8042600000.0,8296900000.0,8331100000.0,8964600000.0
Selling And Marketing Expense,3057600000.0,3757500000.0,4209100000.0,5700900000.0
General And Administrative Expense,4985000000.0,4539400000.0,4122000000.0,3263700000.0
Rent And Landing Fees,2402500000.0,3899600000.0,3978600000.0,2370700000.0
Gross Profit,299658700000.0,380310100000.0,13131500000.0,217263900000.0
Cost Of Revenue,4020286000000.0,3939633800000.0,4321851800000.0,3268621600000.0
Total Revenue,4319944700000.0,4319943900000.0,4334983300000.0,3485885500000.0
Operating Revenue,4319944700000.0,4319943900000.0,4334983300000.0,3485885500000.0
