,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,1458600000.0,668100000.0,83650000.0,37350000.0,
Tax Rate For Calcs,0.26,0.262,0.239,0.249,
Normalized EBITDA,156120000000.0,152210000000.0,145750000000.0,130710000000.0,
Total Unusual Items,5610000000.0,2550000000.0,350000000.0,150000000.0,
Total Unusual Items Excluding Goodwill,5610000000.0,2550000000.0,350000000.0,150000000.0,
Net Income From Continuing Operation Net Minority Interest,106490000000.0,102770000000.0,101200000000.0,88740000000.0,
Reconciled Depreciation,13630000000.0,12160000000.0,11520000000.0,11060000000.0,
Reconciled Cost Of Revenue,318590000000.0,308920000000.0,327190000000.0,265870000000.0,
EBITDA,161730000000.0,154760000000.0,146100000000.0,130860000000.0,
EBIT,148100000000.0,142600000000.0,134580000000.0,119800000000.0,
Net Interest Income,3600000000.0,2120000000.0,2970000000.0,920000000.0,
Interest Expense,3950000000.0,3340000000.0,1140000000.0,1060000000.0,
Interest Income,7550000000.0,5460000000.0,4110000000.0,1980000000.0,
Normalized Income,102338600000.0,100888100000.0,100933650000.0,88627350000.0,
Net Income From Continuing And Discontinued Operation,106490000000.0,102770000000.0,101200000000.0,88770000000.0,
Total Expenses,487920000000.0,475190000000.0,465390000000.0,397820000000.0,
Rent Expense Supplemental,530000000.0,810000000.0,790000000.0,820000000.0,
Diluted Average Shares,2349760716.0,2349591262.0,2349591262.0,2349591262.0,
Basic Average Shares,2349591262.0,2349591262.0,2349591262.0,2349587637.0,
Diluted EPS,45.32,43.74,43.07,37.79,
Basic EPS,45.32,43.74,43.07,37.79,
Diluted NI Availto Com Stockholders,106490000000.0,102770000000.0,101200000000.0,88790000000.0,
Net Income Common Stockholders,106490000000.0,102770000000.0,101200000000.0,88790000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,106490000000.0,102770000000.0,101200000000.0,88790000000.0,
Minority Interests,-220000000.0,-50000000.0,-230000000.0,-130000000.0,
Net Income Including Noncontrolling Interests,106710000000.0,102820000000.0,101430000000.0,88920000000.0,
Net Income Extraordinary,,,0.0,20000000.0,0.0
Net Income Discontinuous Operations,,,-10000000.0,30000000.0,-10000000.0
Net Income Continuous Operations,106710000000.0,102820000000.0,101430000000.0,88870000000.0,
Tax Provision,37440000000.0,36440000000.0,32010000000.0,29870000000.0,
Pretax Income,144150000000.0,139260000000.0,133440000000.0,118740000000.0,
Other Non Operating Income Expenses,60000000.0,130000000.0,5120000000.0,2580000000.0,
Special Income Charges,3050000000.0,60000000.0,-640000000.0,-440000000.0,
Other Special Charges,-6000000000.0,20000000.0,-1730000000.0,-1690000000.0,
Restructuring And Mergern Acquisition,2950000000.0,-80000000.0,2370000000.0,2130000000.0,
Net Non Operating Interest Income Expense,3600000000.0,2120000000.0,2970000000.0,920000000.0,
Total Other Finance Cost,,,,20000000.0,
Interest Expense Non Operating,3950000000.0,3340000000.0,1140000000.0,1060000000.0,
Interest Income Non Operating,7550000000.0,5460000000.0,4110000000.0,1980000000.0,
Operating Income,134960000000.0,134470000000.0,130100000000.0,117660000000.0,
Operating Expense,169330000000.0,166270000000.0,138200000000.0,131950000000.0,
Other Operating Expenses,50140000000.0,47570000000.0,39010000000.0,37570000000.0,
Depreciation And Amortization In Income Statement,13550000000.0,12160000000.0,11380000000.0,10910000000.0,
Amortization,250000000.0,250000000.0,240000000.0,260000000.0,
Depreciation Income Statement,13300000000.0,11910000000.0,11140000000.0,10650000000.0,
Selling General And Administration,82670000000.0,84940000000.0,68790000000.0,66180000000.0,
Selling And Marketing Expense,82670000000.0,84940000000.0,68790000000.0,66180000000.0,
Rent And Landing Fees,530000000.0,810000000.0,790000000.0,820000000.0,
Gross Profit,304290000000.0,300740000000.0,268300000000.0,249610000000.0,
Cost Of Revenue,318590000000.0,308920000000.0,327190000000.0,265870000000.0,
Total Revenue,622880000000.0,609660000000.0,595490000000.0,515480000000.0,
Operating Revenue,622880000000.0,609660000000.0,595490000000.0,515480000000.0,
