,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-214851000.0,200232000.0,21875000.0,171180000.0
Tax Rate For Calcs,0.2361,0.2472,0.3125,0.317
Normalized EBITDA,182640000000.0,145790000000.0,188300000000.0,172280000000.0
Total Unusual Items,-910000000.0,810000000.0,70000000.0,540000000.0
Total Unusual Items Excluding Goodwill,-910000000.0,810000000.0,70000000.0,540000000.0
Net Income From Continuing Operation Net Minority Interest,103530000000.0,77590000000.0,105110000000.0,96290000000.0
Reconciled Depreciation,36400000000.0,34680000000.0,32640000000.0,29170000000.0
Reconciled Cost Of Revenue,123590000000.0,112130000000.0,118690000000.0,102220000000.0
EBITDA,181730000000.0,146600000000.0,188370000000.0,172820000000.0
EBIT,145330000000.0,111920000000.0,155730000000.0,143650000000.0
Net Interest Income,-3900000000.0,-1970000000.0,8210000000.0,5480000000.0
Interest Expense,9800000000.0,8850000000.0,2850000000.0,2650000000.0
Interest Income,7050000000.0,7580000000.0,11540000000.0,8380000000.0
Normalized Income,104225149000.0,76980232000.0,105061875000.0,95921180000.0
Net Income From Continuing And Discontinued Operation,103530000000.0,77590000000.0,105110000000.0,96290000000.0
Total Expenses,190470000000.0,176950000000.0,188480000000.0,153190000000.0
Diluted Average Shares,4230000000.0,4230000000.0,4230000000.0,4230000000.0
Basic Average Shares,4230000000.0,4230000000.0,4230000000.0,4230000000.0
Diluted EPS,24.5,18.36,24.88,22.79
Basic EPS,24.5,18.36,24.88,22.79
Diluted NI Availto Com Stockholders,103530000000.0,77590000000.0,105110000000.0,96290000000.0
Net Income Common Stockholders,103530000000.0,77590000000.0,105110000000.0,96290000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,103530000000.0,77590000000.0,105110000000.0,96290000000.0
Net Income Including Noncontrolling Interests,103530000000.0,77590000000.0,105110000000.0,96290000000.0
Net Income Continuous Operations,103530000000.0,77590000000.0,105110000000.0,96290000000.0
Tax Provision,32000000000.0,25480000000.0,47770000000.0,44710000000.0
Pretax Income,135530000000.0,103070000000.0,152880000000.0,141000000000.0
Other Non Operating Income Expenses,9830000000.0,10740000000.0,13790000000.0,12160000000.0
Special Income Charges,-1260000000.0,-200000000.0,-90000000.0,-1230000000.0
Other Special Charges,1260000000.0,200000000.0,90000000.0,1230000000.0
Net Non Operating Interest Income Expense,-3900000000.0,-1970000000.0,8210000000.0,5480000000.0
Total Other Finance Cost,1150000000.0,700000000.0,480000000.0,250000000.0
Interest Expense Non Operating,9800000000.0,8850000000.0,2850000000.0,2650000000.0
Interest Income Non Operating,7050000000.0,7580000000.0,11540000000.0,8380000000.0
Operating Income,139940000000.0,103870000000.0,144240000000.0,134710000000.0
Operating Expense,66880000000.0,64820000000.0,69790000000.0,50970000000.0
Other Operating Expenses,66300000000.0,63710000000.0,67160000000.0,47390000000.0
Research And Development,120000000.0,110000000.0,110000000.0,80000000.0
Selling General And Administration,3750000000.0,2990000000.0,3880000000.0,4160000000.0
Selling And Marketing Expense,3330000000.0,2680000000.0,3350000000.0,3490000000.0
General And Administrative Expense,420000000.0,310000000.0,530000000.0,670000000.0
Gross Profit,253620000000.0,212540000000.0,214030000000.0,185680000000.0
Cost Of Revenue,123590000000.0,112130000000.0,118690000000.0,102220000000.0
Total Revenue,330410000000.0,280820000000.0,332720000000.0,287900000000.0
Operating Revenue,330410000000.0,280820000000.0,332720000000.0,287900000000.0
