,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,232476250.628005,164484619.911991,77975359.392995,100333076.205838
Tax Rate For Calcs,0.238283,0.235631,0.226706,0.177631
Normalized EBITDA,4505520000.0,3723790000.0,2890840000.0,1984740000.0
Total Unusual Items,975630000.0,698060000.0,343950000.0,564840000.0
Total Unusual Items Excluding Goodwill,975630000.0,698060000.0,343950000.0,564840000.0
Net Income From Continuing Operation Net Minority Interest,3820680000.0,3057170000.0,2282920000.0,1860980000.0
Reconciled Depreciation,155300000.0,117290000.0,90660000.0,75210000.0
Reconciled Cost Of Revenue,8375110000.0,5861650000.0,3717730000.0,2650710000.0
EBITDA,5481150000.0,4421850000.0,3234790000.0,2549580000.0
EBIT,5325850000.0,4304560000.0,3144130000.0,2474370000.0
Net Interest Income,394700000.0,244870000.0,167590000.0,101650000.0
Interest Expense,309970000.0,304960000.0,191930000.0,211420000.0
Interest Income,738710000.0,580760000.0,397270000.0,346510000.0
Normalized Income,3077526250.628005,2523594619.911991,2016945359.392995,1396473076.205838
Net Income From Continuing And Discontinued Operation,3820680000.0,3057170000.0,2282920000.0,1860980000.0
Total Expenses,9701590000.0,6929790000.0,4534520000.0,3187470000.0
Rent Expense Supplemental,13350000.0,12650000.0,11130000.0,8130000.0
Diluted Average Shares,90822160.0,90784799.0,90583834.0,90591688.0
Basic Average Shares,89214830.0,88228829.0,87759811.0,87524788.0
Diluted EPS,42.07,33.67,25.2,20.54
Basic EPS,42.83,34.65,26.01,21.26
Diluted NI Availto Com Stockholders,3820680000.0,3057170000.0,2282920000.0,1860980000.0
Net Income Common Stockholders,3820680000.0,3057170000.0,2282920000.0,1860980000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,3820680000.0,3057170000.0,2282920000.0,1860980000.0
Net Income Including Noncontrolling Interests,3820680000.0,3057170000.0,2282920000.0,1860980000.0
Net Income Continuous Operations,3820680000.0,3057170000.0,2282920000.0,1860980000.0
Tax Provision,1195200000.0,942430000.0,669280000.0,401970000.0
Pretax Income,5015880000.0,3999600000.0,2952200000.0,2262950000.0
Other Non Operating Income Expenses,92560000.0,190990000.0,46130000.0,310000.0
Special Income Charges,624580000.0,376760000.0,165140000.0,428120000.0
Write Off,-624580000.0,-376760000.0,-165140000.0,-428120000.0
Net Non Operating Interest Income Expense,394700000.0,244870000.0,167590000.0,101650000.0
Total Other Finance Cost,34040000.0,30930000.0,37750000.0,33440000.0
Interest Expense Non Operating,309970000.0,304960000.0,191930000.0,211420000.0
Interest Income Non Operating,738710000.0,580760000.0,397270000.0,346510000.0
Operating Income,3552990000.0,2865680000.0,2394530000.0,1596150000.0
Operating Expense,1326480000.0,1068140000.0,816790000.0,536760000.0
Other Operating Expenses,566200000.0,484490000.0,401390000.0,244220000.0
Depreciation And Amortization In Income Statement,155300000.0,117290000.0,90660000.0,75210000.0
Amortization,2660000.0,2030000.0,2040000.0,2070000.0
Depreciation Income Statement,152640000.0,115260000.0,88620000.0,73140000.0
Selling General And Administration,210590000.0,176330000.0,127280000.0,110520000.0
Selling And Marketing Expense,43650000.0,43210000.0,23290000.0,7580000.0
General And Administrative Expense,166940000.0,133120000.0,103990000.0,102940000.0
Rent And Landing Fees,13350000.0,12650000.0,11130000.0,8130000.0
Gross Profit,4879470000.0,3933820000.0,3211320000.0,2132910000.0
Cost Of Revenue,8375110000.0,5861650000.0,3717730000.0,2650710000.0
Total Revenue,13254580000.0,9795470000.0,6929050000.0,4783620000.0
Operating Revenue,13254580000.0,9795470000.0,6929050000.0,4783620000.0
