,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-82044000.0,-45506700.0,-45619200.0,-39611700.0,
Tax Rate For Calcs,0.258,0.2571,0.2592,0.2589,
Normalized EBITDA,7985000000.0,7499000000.0,6648000000.0,5308700000.0,
Total Unusual Items,-318000000.0,-177000000.0,-176000000.0,-153000000.0,
Total Unusual Items Excluding Goodwill,-318000000.0,-177000000.0,-176000000.0,-153000000.0,
Net Income From Continuing Operation Net Minority Interest,5236000000.0,5014000000.0,4380000000.0,3391300000.0,
Reconciled Depreciation,544000000.0,537000000.0,519000000.0,524600000.0,
Reconciled Cost Of Revenue,25463000000.0,23112000000.0,18332000000.0,15449800000.0,
EBITDA,7667000000.0,7322000000.0,6472000000.0,5155700000.0,
EBIT,7123000000.0,6785000000.0,5953000000.0,4631100000.0,
Net Interest Income,1658000000.0,1217000000.0,1114000000.0,480200000.0,
Interest Expense,67000000.0,36000000.0,40000000.0,54900000.0,
Interest Income,1782000000.0,1307000000.0,1179000000.0,567300000.0,
Normalized Income,5471956000.0,5145493300.0,4510380800.0,3504688300.0,
Net Income From Continuing And Discontinued Operation,5236000000.0,5014000000.0,4380000000.0,3391300000.0,
Total Expenses,36140000000.0,34960000000.0,29447000000.0,25378700000.0,
Rent Expense Supplemental,82000000.0,81000000.0,53000000.0,42000000.0,
Diluted Average Shares,8841523.0,8841523.0,8841523.0,8841523.0,
Basic Average Shares,8841523.0,8841523.0,8841523.0,8841523.0,
Diluted EPS,592.15,567.13,495.4,383.57,
Basic EPS,592.15,567.13,495.4,383.57,
Diluted NI Availto Com Stockholders,5236000000.0,5014000000.0,4380000000.0,3391300000.0,
Net Income Common Stockholders,5236000000.0,5014000000.0,4380000000.0,3391300000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,5236000000.0,5014000000.0,4380000000.0,3391300000.0,
Net Income Including Noncontrolling Interests,5236000000.0,5014000000.0,4380000000.0,3391300000.0,
Net Income Continuous Operations,5236000000.0,5014000000.0,4380000000.0,3391300000.0,
Tax Provision,1820000000.0,1735000000.0,1533000000.0,1184900000.0,
Pretax Income,7056000000.0,6749000000.0,5913000000.0,4576200000.0,
Other Non Operating Income Expenses,35000000.0,119000000.0,125000000.0,61000000.0,
Special Income Charges,-318000000.0,-177000000.0,-176000000.0,-153000000.0,
Other Special Charges,2000000.0,,-1000000.0,-2500000.0,-100000.0
Write Off,316000000.0,177000000.0,177000000.0,155500000.0,
Net Non Operating Interest Income Expense,1658000000.0,1217000000.0,1114000000.0,480200000.0,
Total Other Finance Cost,57000000.0,54000000.0,25000000.0,32200000.0,
Interest Expense Non Operating,67000000.0,36000000.0,40000000.0,54900000.0,
Interest Income Non Operating,1782000000.0,1307000000.0,1179000000.0,567300000.0,
Operating Income,5677000000.0,5588000000.0,4872000000.0,3995400000.0,
Operating Expense,10677000000.0,11848000000.0,11115000000.0,9928900000.0,
Other Operating Expenses,2380000000.0,4283000000.0,3947000000.0,3119200000.0,
Depreciation And Amortization In Income Statement,544000000.0,537000000.0,519000000.0,524600000.0,
Amortization,0.0,1000000.0,0.0,0.0,
Depreciation Income Statement,544000000.0,536000000.0,519000000.0,524600000.0,
Selling General And Administration,422000000.0,350000000.0,341000000.0,668400000.0,
Selling And Marketing Expense,29000000.0,6000000.0,0.0,13700000.0,
General And Administrative Expense,393000000.0,344000000.0,341000000.0,654700000.0,
Rent And Landing Fees,82000000.0,81000000.0,53000000.0,42000000.0,
Gross Profit,16354000000.0,17436000000.0,15987000000.0,13924300000.0,
Cost Of Revenue,25463000000.0,23112000000.0,18332000000.0,15449800000.0,
Total Revenue,41817000000.0,40548000000.0,34319000000.0,29374100000.0,
Operating Revenue,41817000000.0,40548000000.0,34319000000.0,29374100000.0,
