,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,11774968.2,9229052.814983,-57588799.2,-63730551.5,
Tax Rate For Calcs,0.3114,0.284347,0.2298,0.2695,
Normalized EBITDA,8981940000.0,6782677000.0,4051377000.0,1559171000.0,
Total Unusual Items,37813000.0,32457000.0,-250604000.0,-236477000.0,
Total Unusual Items Excluding Goodwill,37813000.0,32457000.0,-250604000.0,-236477000.0,
Net Income From Continuing Operation Net Minority Interest,5556336000.0,4107716000.0,2159773000.0,409465000.0,
Reconciled Depreciation,549652000.0,498587000.0,508476000.0,495476000.0,
Reconciled Cost Of Revenue,31557616000.0,30393628000.0,32606142000.0,22549994000.0,
EBITDA,9019753000.0,6815134000.0,3800773000.0,1322694000.0,
EBIT,8470101000.0,6316547000.0,3292297000.0,827218000.0,
Net Interest Income,12253000.0,-245895000.0,-349914000.0,-306264000.0,
Interest Expense,408292000.0,577986000.0,489800000.0,292565000.0,
Interest Income,438959000.0,361539000.0,175789000.0,27497000.0,
Normalized Income,5530297968.2,4084488052.814983,2352788200.8,582211448.5,
Net Income From Continuing And Discontinued Operation,5556336000.0,4107716000.0,2159773000.0,409465000.0,
Total Expenses,38074340000.0,35990908000.0,38036805000.0,26774035000.0,
Rent Expense Supplemental,274166000.0,166523000.0,54774000.0,34246000.0,
Diluted Average Shares,497211522.0,448601188.0,420906342.0,418965278.0,
Basic Average Shares,493507929.0,448358106.0,420906342.0,418965278.0,
Diluted EPS,11.17,9.16,5.13,0.98,
Basic EPS,11.26,9.16,5.13,0.98,
Diluted NI Availto Com Stockholders,5556336000.0,4107716000.0,2159773000.0,409465000.0,
Net Income Common Stockholders,5556336000.0,4107716000.0,2159773000.0,409465000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,5556336000.0,4107716000.0,2159773000.0,409465000.0,
Minority Interests,5339000.0,898000.0,1183000.0,18917000.0,
Net Income Including Noncontrolling Interests,5550997000.0,4106818000.0,2158590000.0,390548000.0,
Net Income Continuous Operations,5550997000.0,4106818000.0,2158590000.0,390548000.0,
Tax Provision,2510812000.0,1631743000.0,643907000.0,144105000.0,
Pretax Income,8061809000.0,5738561000.0,2802497000.0,534653000.0,
Other Non Operating Income Expenses,40146000.0,31181000.0,54561000.0,34690000.0,
Special Income Charges,1963000.0,11636000.0,-264924000.0,-236477000.0,
Other Special Charges,-1963000.0,-11636000.0,264924000.0,236477000.0,
Write Off,,,,,0.0
Impairment Of Capital Assets,,,300000000.0,246506000.0,0.0
Net Non Operating Interest Income Expense,12253000.0,-245895000.0,-349914000.0,-306264000.0,
Total Other Finance Cost,18414000.0,29448000.0,35903000.0,41196000.0,
Interest Expense Non Operating,408292000.0,577986000.0,489800000.0,292565000.0,
Interest Income Non Operating,438959000.0,361539000.0,175789000.0,27497000.0,
Operating Income,7917815000.0,5855172000.0,3681455000.0,1133237000.0,
Operating Expense,6516724000.0,5597280000.0,5430663000.0,4224041000.0,
Other Operating Expenses,1838799000.0,1806032000.0,1737616000.0,1305354000.0,
Depreciation And Amortization In Income Statement,549652000.0,498587000.0,508476000.0,495476000.0,
Amortization,32679000.0,2220000.0,,,
Depreciation Income Statement,516973000.0,496367000.0,508476000.0,495476000.0,
Selling General And Administration,2594409000.0,2024151000.0,2214820000.0,1587204000.0,
Selling And Marketing Expense,2546549000.0,1953078000.0,2150757000.0,1531501000.0,
General And Administrative Expense,47860000.0,71073000.0,64063000.0,55703000.0,
Rent And Landing Fees,274166000.0,166523000.0,54774000.0,34246000.0,
Gross Profit,14434539000.0,11452452000.0,9112118000.0,5357278000.0,
Cost Of Revenue,31557616000.0,30393628000.0,32606142000.0,22549994000.0,
Total Revenue,45992155000.0,41846080000.0,41718260000.0,27907272000.0,
Operating Revenue,45992155000.0,41846080000.0,41718260000.0,27907272000.0,
