,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-2945458.982323,20983830.044003,-13731506.798044,-11283680.517448
Tax Rate For Calcs,0.257021,0.264547,0.257869,0.230797
Normalized EBITDA,98249530000.0,105979520000.0,86831670000.0,60785950000.0
Total Unusual Items,-11460000.0,79320000.0,-53250000.0,-48890000.0
Total Unusual Items Excluding Goodwill,-11460000.0,79320000.0,-53250000.0,-48890000.0
Net Income From Continuing Operation Net Minority Interest,56402140000.0,60600440000.0,47092500000.0,29015910000.0
Reconciled Depreciation,21052580000.0,22079310000.0,21898660000.0,21695870000.0
Reconciled Cost Of Revenue,500583800000.0,516720940000.0,450981630000.0,359065320000.0
EBITDA,98238070000.0,106058840000.0,86778420000.0,60737060000.0
EBIT,77185490000.0,83979530000.0,64879760000.0,39041190000.0
Net Interest Income,4889400000.0,10919410000.0,7809900000.0,3139870000.0
Interest Expense,1272000000.0,1580790000.0,1424010000.0,1319130000.0
Interest Income,6161400000.0,12500200000.0,9233910000.0,4459000000.0
Normalized Income,56410654541.01768,60542103830.04401,47132018493.20196,29053516319.48255
Net Income From Continuing And Discontinued Operation,56402140000.0,60600440000.0,47092500000.0,29015910000.0
Total Expenses,610907280000.0,616651010000.0,537385490000.0,431390460000.0
Rent Expense Supplemental,423220000.0,445100000.0,354590000.0,317320000.0
Diluted Average Shares,812541100.0,812541100.0,812541100.0,812541100.0
Basic Average Shares,812541100.0,812541100.0,812541100.0,812541100.0
Diluted EPS,69.41,74.581384,57.957068,35.710083
Basic EPS,69.41,74.581384,57.957068,35.710083
Diluted NI Availto Com Stockholders,56402140000.0,60600440000.0,47092500000.0,29015910000.0
Net Income Common Stockholders,56402140000.0,60600440000.0,47092500000.0,29015910000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,56402140000.0,60600440000.0,47092500000.0,29015910000.0
Net Income Including Noncontrolling Interests,56402140000.0,60600440000.0,47092500000.0,29015910000.0
Net Income Continuous Operations,56402140000.0,60600440000.0,47092500000.0,29015910000.0
Tax Provision,19511350000.0,21798300000.0,16363250000.0,8706150000.0
Pretax Income,75913490000.0,82398740000.0,63455750000.0,37722060000.0
Other Non Operating Income Expenses,2385310000.0,2067730000.0,1174440000.0,999430000.0
Special Income Charges,20040000.0,68880000.0,-53250000.0,-48890000.0
Other Special Charges,-20040000.0,-68880000.0,53250000.0,48890000.0
Net Non Operating Interest Income Expense,4889400000.0,10919410000.0,7809900000.0,3139870000.0
Interest Expense Non Operating,1272000000.0,1580790000.0,1424010000.0,1319130000.0
Interest Income Non Operating,6161400000.0,12500200000.0,9233910000.0,4459000000.0
Operating Income,68516500000.0,69246850000.0,53642390000.0,33218140000.0
Operating Expense,110323480000.0,99930070000.0,86403860000.0,72325140000.0
Other Operating Expenses,37468010000.0,31734570000.0,29887780000.0,22651950000.0
Depreciation And Amortization In Income Statement,21052580000.0,22079310000.0,21898660000.0,21695860000.0
Amortization,1154020000.0,1142010000.0,1501340000.0,1490240000.0
Depreciation Income Statement,19898560000.0,20937300000.0,20397320000.0,20205620000.0
Selling General And Administration,40772680000.0,38308920000.0,28648490000.0,20359350000.0
Selling And Marketing Expense,40237620000.0,37944410000.0,28160920000.0,20097580000.0
General And Administrative Expense,535060000.0,364510000.0,487570000.0,261770000.0
Rent And Landing Fees,423220000.0,445100000.0,354590000.0,317320000.0
Gross Profit,178839980000.0,169176920000.0,140046250000.0,105543280000.0
Cost Of Revenue,500583800000.0,516720940000.0,450981630000.0,359065320000.0
Total Revenue,679423780000.0,685897860000.0,591027880000.0,464608600000.0
Operating Revenue,679423780000.0,685897860000.0,591027880000.0,464608600000.0
