,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-21951.219512,0.0,0.0,0.0
Tax Rate For Calcs,0.109756,0.075892,0.096436,0.044757
Total Unusual Items,-200000.0,0.0,0.0,0.0
Total Unusual Items Excluding Goodwill,-200000.0,0.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,11855200000.0,8506600000.0,8134940000.0,7592020000.0
Reconciled Depreciation,1339500000.0,1132300000.0,837646000.0,670132000.0
EBIT,14775500000.0,10431000000.0,10136086000.0,9087811000.0
Net Interest Income,-1458700000.0,-1225800000.0,-1132912000.0,-1140077000.0
Interest Expense,1458700000.0,1225800000.0,1132912000.0,1140077000.0
Interest Income,117972300000.0,108543000000.0,93389553000.0,83904041000.0
Normalized Income,11855378048.780487,8506600000.0,8134940000.0,7592020000.0
Net Income From Continuing And Discontinued Operation,11855200000.0,8506600000.0,8134940000.0,7592020000.0
Total Expenses,679141300000.0,882113600000.0,477832217000.0,610993840000.0
Rent Expense Supplemental,1057000000.0,827900000.0,2278044000.0,1862278000.0
Diluted Average Shares,1453292720.0,1444992175.0,1440254367.0,1442949784.0
Basic Average Shares,1443599020.0,1439508373.0,1438072813.0,1436879736.0
Diluted EPS,8.16,5.89,5.65,5.26
Basic EPS,8.21,5.91,5.66,5.28
Diluted NI Availto Com Stockholders,11855200000.0,8506600000.0,8134940000.0,7592020000.0
Net Income Common Stockholders,11855200000.0,8506600000.0,8134940000.0,7592020000.0
Net Income,11855200000.0,8506600000.0,8134940000.0,7592020000.0
Net Income Including Noncontrolling Interests,11855200000.0,8506600000.0,8134940000.0,7592020000.0
Net Income Extraordinary,0.0,0.0,0.0,
Net Income Continuous Operations,11855200000.0,8506600000.0,8134940000.0,7592020000.0
Tax Provision,1461600000.0,698600000.0,868234000.0,355714000.0
Pretax Income,13316800000.0,9205200000.0,9003174000.0,7947734000.0
Other Income Expense,0.0,0.0,0.0,0.0
Special Income Charges,-200000.0,0.0,0.0,0.0
Other Special Charges,0.0,0.0,0.0,0.0
Write Off,200000.0,0.0,0.0,0.0
Net Non Operating Interest Income Expense,-1458700000.0,-1225800000.0,-1132912000.0,-1140077000.0
Interest Expense Non Operating,1458700000.0,1225800000.0,1132912000.0,1140077000.0
Other Operating Expenses,127100000.0,-2202700000.0,4276900000.0,5223671000.0
Depreciation And Amortization In Income Statement,1339500000.0,1132300000.0,837646000.0,670132000.0
Depreciation Income Statement,1339500000.0,1132300000.0,837646000.0,670132000.0
Selling General And Administration,8634100000.0,13810400000.0,21447660000.0,15403264000.0
Selling And Marketing Expense,6379000000.0,11474300000.0,17441516000.0,12268548000.0
General And Administrative Expense,2255100000.0,2336100000.0,4006144000.0,3134716000.0
Rent And Landing Fees,1057000000.0,827900000.0,2278044000.0,1862278000.0
Total Revenue,698860700000.0,891363800000.0,486835391000.0,618941574000.0
Operating Revenue,698860700000.0,891363800000.0,486835391000.0,618941574000.0
Net Policyholder Benefits And Claims,462366600000.0,404380400000.0,314168159000.0,297832558000.0
