,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-7006200.0,249757200.0,-5592900.0,1823700.0
Tax Rate For Calcs,0.3,0.3,0.3,0.3
Total Unusual Items,-23354000.0,832524000.0,-18643000.0,6079000.0
Total Unusual Items Excluding Goodwill,-23354000.0,832524000.0,-18643000.0,6079000.0
Net Income From Continuing Operation Net Minority Interest,76306827000.0,57881117000.0,37060593000.0,25336670000.0
Reconciled Depreciation,5381181000.0,5433089000.0,4992077000.0,4903194000.0
Net Interest Income,146605152000.0,142192935000.0,114610814000.0,91942469000.0
Interest Expense,142565498000.0,122263592000.0,91304457000.0,91215447000.0
Interest Income,289170650000.0,264456527000.0,205915271000.0,183157916000.0
Normalized Income,76323174800.0,57298350200.0,37073643100.0,25332414700.0
Net Income From Continuing And Discontinued Operation,76306827000.0,57881117000.0,37060593000.0,25336670000.0
Diluted Average Shares,10752402175.0,10752402175.0,10752402175.0,10752402175.0
Basic Average Shares,10752402175.0,10752402175.0,10752402175.0,10752402175.0
Diluted EPS,7.1,5.38,3.45,2.36
Basic EPS,7.1,5.38,3.45,2.36
Diluted NI Availto Com Stockholders,76306827000.0,57881117000.0,37060593000.0,25336670000.0
Net Income Common Stockholders,76306827000.0,57881117000.0,37060593000.0,25336670000.0
Net Income,76306827000.0,57881117000.0,37060593000.0,25336670000.0
Minority Interests,-256383000.0,-259882000.0,-219124000.0,-234021000.0
Net Income Including Noncontrolling Interests,76563210000.0,58140999000.0,37279717000.0,25570691000.0
Net Income Extraordinary,0.0,0.0,0.0,0.0
Net Income Continuous Operations,76563210000.0,58140999000.0,37279717000.0,25570691000.0
Tax Provision,30814800000.0,26040500000.0,16184600000.0,12027300000.0
Pretax Income,75889879000.0,57634104000.0,36868425000.0,25177382000.0
Special Income Charges,-23354000.0,832524000.0,-18643000.0,6079000.0
Other Special Charges,23354000.0,-832524000.0,18643000.0,-6079000.0
Gain On Sale Of Security,8253557000.0,7303380000.0,9192315000.0,10791504000.0
Operating Expense,82427164000.0,80275542000.0,69001366000.0,61869722000.0
Other Operating Expenses,24158799000.0,20841138000.0,17923258000.0,16723800000.0
Depreciation And Amortization In Income Statement,5381181000.0,5433089000.0,4992077000.0,4172641000.0
Depreciation Income Statement,5381181000.0,5433089000.0,4992077000.0,4172641000.0
Selling General And Administration,1222722000.0,1121074000.0,948723000.0,736893000.0
Selling And Marketing Expense,608911000.0,488994000.0,426230000.0,269630000.0
General And Administrative Expense,613811000.0,632080000.0,522493000.0,467263000.0
Insurance And Claims,3370078000.0,3030930000.0,2968152000.0,2844980000.0
Rent And Landing Fees,5675426000.0,5430175000.0,5075902000.0,4753369000.0
Total Revenue,179937321000.0,172190776000.0,149981096000.0,129618353000.0
Operating Revenue,179937321000.0,172190776000.0,149981096000.0,129618353000.0
