,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,22118340.065552,20847410.789285,1899819.493236,-12801654.829176,
Tax Rate For Calcs,0.200529,0.237172,0.254088,0.243818,
Total Unusual Items,110300000.0,87900000.0,7477000.0,-52505000.0,
Total Unusual Items Excluding Goodwill,110300000.0,87900000.0,7477000.0,-52505000.0,
Net Income From Continuing Operation Net Minority Interest,14903500000.0,29423500000.0,24849294000.0,1323070000.0,
Reconciled Depreciation,8355500000.0,6307600000.0,4349870000.0,3732630000.0,
Net Interest Income,192938400000.0,164548100000.0,126371761000.0,97076208000.0,
Interest Expense,172078000000.0,138703000000.0,100906368000.0,74650703000.0,
Interest Income,365016400000.0,303251100000.0,227278129000.0,171726911000.0,
Normalized Income,14815318340.065552,29356447410.789284,24843716819.493237,1362773345.170824,
Net Income From Continuing And Discontinued Operation,14903500000.0,29423500000.0,24849294000.0,1323070000.0,
Diluted Average Shares,7336800000.0,6963600000.0,6338900000.0,6281800000.0,
Basic Average Shares,7295500000.0,6845700000.0,6236000000.0,6203100000.0,
Diluted EPS,2.03,4.23,3.92,0.21,
Basic EPS,2.04,4.3,3.98,0.21,
Diluted NI Availto Com Stockholders,14903500000.0,29423500000.0,24849294000.0,1323070000.0,
Net Income Common Stockholders,14903500000.0,29423500000.0,24849294000.0,1323070000.0,
Net Income,14903500000.0,29423500000.0,24849294000.0,1323070000.0,
Minority Interests,0.0,0.0,0.0,0.0,
Net Income Including Noncontrolling Interests,14903500000.0,29423500000.0,24849287000.0,1323067000.0,
Net Income Extraordinary,,0.0,0.0,0.0,0.0
Net Income Continuous Operations,14903500000.0,29423500000.0,24849287000.0,1323067000.0,
Tax Provision,3738200000.0,9148100000.0,8464700000.0,426600000.0,
Pretax Income,18641700000.0,38571600000.0,33313987000.0,1749667000.0,
Special Income Charges,110300000.0,87900000.0,7477000.0,-52505000.0,
Other Special Charges,-110300000.0,-87900000.0,-7477000.0,52505000.0,
Gain On Sale Of Security,4806300000.0,2054200000.0,3265100000.0,5903148000.0,
Operating Expense,192486400000.0,160247800000.0,115856656000.0,94534047000.0,
Other Operating Expenses,102501100000.0,84070700000.0,59138188000.0,52997234000.0,
Depreciation And Amortization In Income Statement,8355500000.0,6307600000.0,4349870000.0,3824062000.0,
Amortization,0.0,0.0,0.0,0.0,
Depreciation Income Statement,8355500000.0,6307600000.0,4349870000.0,3824062000.0,
Selling General And Administration,5569200000.0,4558500000.0,3295650000.0,2002646000.0,
Selling And Marketing Expense,4682500000.0,4070700000.0,2809346000.0,1575433000.0,
General And Administrative Expense,886700000.0,487800000.0,486304000.0,427213000.0,
Insurance And Claims,2810700000.0,2100800000.0,1499672000.0,1196959000.0,
Rent And Landing Fees,8176800000.0,6820700000.0,4746040000.0,3488736000.0,
Total Revenue,264015000000.0,224796900000.0,171927766000.0,132972419000.0,
Operating Revenue,264015000000.0,224796900000.0,171927766000.0,132972419000.0,
