,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,139325260.113793,133687191.679469,94057048.8,104424633.0,
Tax Rate For Calcs,0.239784,0.247479,0.2469,0.243,
Normalized EBITDA,5303000000.0,4354322000.0,3847780000.0,3814693000.0,
Total Unusual Items,581044000.0,540196000.0,380952000.0,429731000.0,
Total Unusual Items Excluding Goodwill,581044000.0,540196000.0,380952000.0,429731000.0,
Net Income From Continuing Operation Net Minority Interest,4291691000.0,3507826000.0,3058863000.0,3092555000.0,
Reconciled Depreciation,212516000.0,204737000.0,185913000.0,172277000.0,
Reconciled Cost Of Revenue,383759000.0,335770000.0,295885000.0,359513000.0,
EBITDA,5884044000.0,4894518000.0,4228732000.0,4244424000.0,
EBIT,5671528000.0,4689781000.0,4042819000.0,4072147000.0,
Net Interest Income,558331000.0,430842000.0,292383000.0,129099000.0,
Interest Expense,26168000.0,28348000.0,24565000.0,19749000.0,
Interest Income,584499000.0,459190000.0,316948000.0,148848000.0,
Normalized Income,3849972260.113793,3101317191.679469,2771968048.8,2767248633.0,
Net Income From Continuing And Discontinued Operation,4291691000.0,3507826000.0,3058863000.0,3092555000.0,
Total Expenses,1043594000.0,923620000.0,826049000.0,841167000.0,
Rent Expense Supplemental,1482000.0,1113000.0,4944000.0,10226000.0,
Diluted Average Shares,889340333.0,889228839.0,895484156.0,895993042.0,
Basic Average Shares,889249750.0,889227425.0,895484156.0,895853573.0,
Diluted EPS,4.83,3.94,3.42,3.45,
Basic EPS,4.83,3.94,3.42,3.45,
Diluted NI Availto Com Stockholders,4291691000.0,3507826000.0,3058863000.0,3092555000.0,
Net Income Common Stockholders,4291691000.0,3507826000.0,3058863000.0,3092555000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,4291691000.0,3507826000.0,3058863000.0,3092555000.0,
Minority Interests,0.0,0.0,0.0,6197000.0,
Net Income Including Noncontrolling Interests,4291691000.0,3507826000.0,3058863000.0,3086358000.0,
Net Income Continuous Operations,4291691000.0,3507826000.0,3058863000.0,3086358000.0,
Tax Provision,1353669000.0,1153607000.0,959391000.0,966040000.0,
Pretax Income,5645360000.0,4661433000.0,4018254000.0,4052398000.0,
Other Non Operating Income Expenses,33461000.0,13749000.0,27279000.0,8316000.0,
Special Income Charges,0.0,-818000.0,-1052000.0,59777000.0,
Other Special Charges,,818000.0,1052000.0,-59777000.0,1917000.0
Net Non Operating Interest Income Expense,558331000.0,430842000.0,292383000.0,129099000.0,
Interest Expense Non Operating,26168000.0,28348000.0,24565000.0,19749000.0,
Interest Income Non Operating,584499000.0,459190000.0,316948000.0,148848000.0,
Operating Income,4324451000.0,3564668000.0,3179966000.0,3467071000.0,
Operating Expense,659835000.0,587850000.0,530164000.0,481654000.0,
Other Operating Expenses,269242000.0,216761000.0,173991000.0,164725000.0,
Depreciation And Amortization In Income Statement,212516000.0,204737000.0,185913000.0,172277000.0,
Amortization,129024000.0,121810000.0,114180000.0,111488000.0,
Depreciation Income Statement,83492000.0,82927000.0,71733000.0,60789000.0,
Selling General And Administration,96673000.0,108239000.0,111657000.0,72279000.0,
Selling And Marketing Expense,12258000.0,11994000.0,5675000.0,6209000.0,
General And Administrative Expense,84415000.0,96245000.0,105982000.0,66070000.0,
Rent And Landing Fees,1482000.0,1113000.0,4944000.0,10226000.0,
Gross Profit,4984286000.0,4152518000.0,3710130000.0,3948725000.0,
Cost Of Revenue,383759000.0,335770000.0,295885000.0,359513000.0,
Total Revenue,5368045000.0,4488288000.0,4006015000.0,4308238000.0,
Operating Revenue,5368045000.0,4488288000.0,4006015000.0,4308238000.0,
