,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,186708273.425795,136690879.056047,135238112.110518,151125731.107925
Tax Rate For Calcs,0.215126,0.219902,0.227444,0.230867
Normalized EBITDA,25790300000.0,29011100000.0,24349600000.0,22162600000.0
Total Unusual Items,867900000.0,621600000.0,594600000.0,654600000.0
Total Unusual Items Excluding Goodwill,867900000.0,621600000.0,594600000.0,654600000.0
Net Income From Continuing Operation Net Minority Interest,17177600000.0,19850700000.0,16396500000.0,15022700000.0
Reconciled Depreciation,4758600000.0,4139600000.0,3633600000.0,3170600000.0
Reconciled Cost Of Revenue,120132300000.0,107129100000.0,112861800000.0,50794400000.0
EBITDA,26658200000.0,29632700000.0,24944200000.0,22817200000.0
EBIT,21899200000.0,25493100000.0,21310600000.0,19646600000.0
Net Interest Income,1656000000.0,1238600000.0,911000000.0,289000000.0
Interest Expense,73900000.0,68100000.0,86900000.0,114600000.0
Interest Income,1919400000.0,1514100000.0,1179400000.0,536600000.0
Normalized Income,16496408273.425795,19365790879.056046,15937138112.110518,14519225731.107925
Net Income From Continuing And Discontinued Operation,17177600000.0,19850700000.0,16396500000.0,15022700000.0
Total Expenses,133426100000.0,119726400000.0,124061300000.0,60896300000.0
Rent Expense Supplemental,2204500000.0,2039100000.0,1955700000.0,1683100000.0
Diluted Average Shares,1400000000.0,1400000000.0,1400000000.0,1400000000.0
Basic Average Shares,1400000000.0,1400000000.0,1400000000.0,1400000000.0
Diluted EPS,12.27,14.18,11.71,10.73
Basic EPS,12.27,14.18,11.71,10.73
Diluted NI Availto Com Stockholders,17177600000.0,19850700000.0,16396500000.0,15022700000.0
Net Income Common Stockholders,17177600000.0,19850700000.0,16396500000.0,15022700000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,17177600000.0,19850700000.0,16396500000.0,15022700000.0
Minority Interests,47500000.0,16700000.0,0.0,
Net Income Including Noncontrolling Interests,17130100000.0,19834000000.0,16396500000.0,15022700000.0
Net Income Continuous Operations,17130100000.0,19834000000.0,16396500000.0,15022700000.0
Tax Provision,4695200000.0,5591000000.0,4827200000.0,4509300000.0
Pretax Income,21825300000.0,25425000000.0,21223700000.0,19532000000.0
Other Non Operating Income Expenses,507300000.0,412400000.0,379500000.0,542200000.0
Special Income Charges,-46600000.0,-59000000.0,-18800000.0,-15900000.0
Other Special Charges,46600000.0,59000000.0,18800000.0,15900000.0
Net Non Operating Interest Income Expense,1656000000.0,1238600000.0,911000000.0,289000000.0
Total Other Finance Cost,189500000.0,207400000.0,181500000.0,133000000.0
Interest Expense Non Operating,73900000.0,68100000.0,86900000.0,114600000.0
Interest Income Non Operating,1919400000.0,1514100000.0,1179400000.0,536600000.0
Operating Income,15181600000.0,19739800000.0,16803700000.0,15784300000.0
Operating Expense,13293800000.0,12597300000.0,11199500000.0,10101900000.0
Other Operating Expenses,4113600000.0,3735900000.0,3515500000.0,3257700000.0
Depreciation And Amortization In Income Statement,4759000000.0,4139600000.0,3632200000.0,3170600000.0
Amortization,54900000.0,52400000.0,57700000.0,62800000.0
Depreciation Income Statement,4704100000.0,4087200000.0,3574500000.0,3170600000.0
Selling General And Administration,845500000.0,933100000.0,675600000.0,650000000.0
Selling And Marketing Expense,526200000.0,498600000.0,380500000.0,423100000.0
General And Administrative Expense,319300000.0,434500000.0,295100000.0,226900000.0
Rent And Landing Fees,2204500000.0,2039100000.0,1955700000.0,1683100000.0
Gross Profit,28475400000.0,32337100000.0,28003200000.0,25886200000.0
Cost Of Revenue,120132300000.0,107129100000.0,112861800000.0,50794400000.0
Total Revenue,148607700000.0,139466200000.0,140865000000.0,76680600000.0
Operating Revenue,148607700000.0,139466200000.0,140865000000.0,76680600000.0
